Client;Country;Currency;Transaction
AGJbb;BAHRAIN;LRD;39514.31070198863
AGJbb;QATAR;VND;789477.7392374075
AGJbb;MOZAMBIQUE;KHR;242866.7296249056
AGJbb;EURO;GYD;52260.21962637655
AGJbb;NORWAY;XOF;31540.777724559353
AGJbb;GUATEMALA;BWP;2611.2428977868767
AGJbb;YEMEN;PLN;1666.6384433180042
AGJbb;EGYPT;HUF;36751.10115070856
AGJbb;RWANDA;BMD;472.3352123561284
AGJbb;BOLIVIA;JOD;238.47568530503125
AGJbb;ARGENTINA;ZMW;6953.19683171612
AGJbb;MALDIVES;BDT;50962.379325382055
AGJbb;PAPUA NEW GUINEA;COP;623484.4580561896
AGJbb;EL SALVADOR;EGP;5940.7504907419925
AGJbb;SURINAME;ANG;253.91837089808735
AGJbb;DENMARK;XPF;37275.98502362906
CIMMa;ANGOLA;OMR;1350.2888068575237
CIMMa;KOREA, REPUBLIC OF;IDR;128856102.54135166
CIMMa;MALAYSIA;MXN;76137.34482050448
CIMMa;SUDAN;DKK;56752.16114456957
CIMMa;KOREA, REPUBLIC OF;PGK;12266.346865314865
CIMMa;RWANDA;SZL;91537.8015694158
CIMMa;CYPRUS;YER;1598096.153811971
CIMMa;SUDAN;BOB;15837.173005936611
CIMMa;IRAQ;HUF;2345115.8894705465
IMYYa;ISRAEL;PYG;3626817.862114318
IMYYa;MOROCCO;PEN;5832.319720921232
IMYYa;NEW ZEALAND;QAR;982.0494926906173
IMYYa;GUATEMALA;ZAR;11484.132234730356
IMYYa;HUNGARY;CLP;1062878.103287696
IMYYa;FRENCH POLYNESIA;LBP;1997547.7565229754
IMYYa;ARGENTINA;ILS;5315.085217207467
IMYYa;VANUATU;TND;1611.5250937426767
DIac1;UNITED KINGDOM;BWP;73254.25128653867
DIac1;LIBERIA;PAB;6028.726901159719
DIac1;PARAGUAY;IRR;225342399.5676043
DIac1;JAMAICA;BYR;139983846.2974974
DIac1;EURO;SOS;1706567.5223544033
DIac1;MEXICO;KZT;327102.59051177895
DIac1;JAPAN;VND;37057902.70284593
DIac1;MADAGASCAR;TZS;5055360.291110011
DIac1;ZIMBABWE;CAD;6890.793933936576
DIac1;ARGENTINA;BGN;11417.063099354167
DIac1;UKRAINE;STD;12157510.561758436
DIac1;MAURITANIA;BHD;623.3125982043803
DIac1;ARGENTINA;LAK;71511519.79608515
