;Client;Country;Currency;Transaction
0;KVYc2;DJIBOUTI;MGA;805701.6674458019
1;KVYc2;NICARAGUA;BTN;585544.7429834227
2;KVYc2;MOZAMBIQUE;CRC;1494278.900295847
3;GGGGJ;AZERBAIJAN;XAF;331291.8470626998
4;GGGGJ;RUSSIAN FEDERATION;CVE;98037.76033576332
5;GGGGJ;NIGERIA;SEK;4709.21482183201
6;GGGGJ;BAHRAIN;EGP;14376.430126441084
7;GGGGJ;INDONESIA;TZS;1282794.851364313
8;DIVWW;KUWAIT;GTQ;13557.868804094442
9;DIVWW;GUATEMALA;RUB;109284.0986890225
10;DIVWW;BARBADOS;KYD;141.64235184847917
11;DIVWW;CYPRUS;STD;38389107.96150488
12;DIVWW;TAIWAN, PROVINCE OF CHINA;JPY;71494.69422673869
13;DIVWW;NAMIBIA;KWD;-0.7707093810699528
14;DIVWW;MYANMAR;KWD;432.8817690342902
15;DIVWW;CAPE VERDE;IDR;31270806.155641653
16;DIVWW;CANADA;BDT;132183.35689926788
17;DIVWW;GHANA;ANG;1155.0868455472303
18;CELVc;MAURITANIA;XOF;980014.7342020654
19;CELVc;BELIZE;PYG;53536607.20275673
20;CELVc;BOLIVIA;NZD;6699.375750429986
21;CELVc;DENMARK;HKD;28756.602014531745
22;EHWc1;BAHAMAS;QAR;364.00959592451136
23;EHWc1;SRI LANKA;JMD;69027.50126649361
24;EHWc1;KOREA, REPUBLIC OF;SOS;522397.5372302481
25;EHWc1;ALGERIA;PKR;118560.59823448404
26;EHWc1;KUWAIT;DOP;16043.685163452043
27;EHWc1;BARBADOS;CHF;497.25926721572404
28;EHWc1;UNITED KINGDOM;PKR;157953.00395345973
29;EHWc1;HONDURAS;RSD;24521.423644450282
30;EHWc1;BULGARIA;AED;1814.549331182457
31;GHJMb;SUDAN;MRO;540568.3750248628
32;GHJMb;SAMOA;JOD;7524.485592592551
33;GHJMb;SIERRA LEONE;BTN;758376.7853420032
34;GHJMb;PAPUA NEW GUINEA;BDT;404142.3015330274
35;GHJMb;SURINAME;ARS;334276.6875136164
36;GHJMb;HONG KONG;GTQ;32130.570765882203
37;GHJMb;AUSTRALIA;BND;12086.92554093938
38;GHJMb;MEXICO;BZD;11131.163550075466
39;GHJMb;SAMOA;NPR;1319931.7526026769
40;GHJMb;BANGLADESH;RSD;646915.7722151483
41;GHJMb;TANZANIA, UNITED REPUBLIC OF;HNL;136996.31156359543
42;GHJMb;KAZAKHSTAN;MAD;67196.56901713012
43;GHJMb;UNITED KINGDOM;PKR;1406931.575741464
44;BCFVY;HUNGARY;IQD;17229915.572624147
45;BCFVY;ALGERIA;PAB;1895.6396526961587
46;BCFVY;EGYPT;MWK;30630561.953496225
47;AGLY1;KENYA;RON;531.3039696256187
48;AGLY1;UGANDA;BMD;249.84010683479067
49;AGLY1;LIBERIA;KYD;198.1508382006971
50;AGLY1;URUGUAY;BWP;909.5744312955686
51;AGLY1;CAMBODIA;MWK;254699.44740034145
52;AGLY1;BANGLADESH;INR;21914.34569086185
53;AGLY1;TONGA;KES;33273.628684435855
54;AGLY1;GAMBIA;NIO;1543.7304269812316
55;AGLY1;ICELAND;GBP;64.95525017857474
56;AGLY1;CAPE VERDE;CYP;153.97919119915716
57;AGLY1;MALDIVES;PKR;51627.336017074784
58;AGLY1;SRI LANKA;JOD;73.83575026522371
59;AGLY1;IRAQ;LVL;4.2562181929678555
60;AGLY1;TONGA;JMD;18044.905297038866
61;AGLY1;GUYANA;XOF;32517.387604698735
