Client;Country;Currency;Transaction
DIJMX;COSTA RICA;BGN;11087.522005322038
CKVXc;TURKEY;GTQ;21415.07442011067
CKVXc;BOLIVIA;VUV;451840.3564776258
CKVXc;TAIWAN, PROVINCE OF CHINA;TND;30424.660509526122
EMXb3;BHUTAN;SOS;3528550.263917079
EMXb3;BHUTAN;AWG;13426.952830147799
EMXb3;NEPAL;ILS;32622.951655472665
EMXb3;ZIMBABWE;GYD;1135659.328420125
EMXb3;GAMBIA;QAR;28979.9682265789
EMXb3;MALDIVES;SOS;1710406.5687605285
EMXb3;CROATIA;ZWL;3565449.3786901105
CNZb2;GUYANA;SGD;982.9406037839078
CNZb2;IRAN (ISLAMIC REPUBLIC OF);IRR;77054792.96466373
CNZb2;VENEZUELA;SRD;13800.805918937047
CNZb2;NETHERLANDS ANTILLES;KWD;298.6012694258105
CNZb2;NIGERIA;KYD;374.55309672054875
CNZb2;BRUNEI DARUSSALAM;SRD;27060.992672387987
CNZb2;BURUNDI;MXN;22775.70307259321
CNZb2;ZIMBABWE;SYP;313477.7173880277
CNZb2;CHINA;RWF;2129562.788340262
CNZb2;BAHAMAS;AUD;1673.3125765152272
CNZb2;HONDURAS;PHP;21637.412188623708
CNZb2;UNITED KINGDOM;NOK;6952.023712780902
CNZb2;JAMAICA;THB;34139.901402066
AIJLY;CYPRUS;BYR;78505959.85651512
AIJLY;NICARAGUA;NGN;1089490.6879397072
AIJLY;ALGERIA;GTQ;101647.54743751348
AIJLY;MOZAMBIQUE;UGX;51596184.66880654
AIJLY;BRAZIL;PLN;57791.47085156201
AIJLY;CROATIA;PEN;58388.661594414705
AIJLY;TONGA;SRD;109436.81101712576
AIJLY;MALAWI;STD;106114171.92006305
AIJLY;SOLOMON ISLANDS;BND;2732.852536086196
AIJLY;OMAN;BSD;14436.675338230147
AIJLY;ETHIOPIA;VES;245716.2019365662
AIJLY;PAPUA NEW GUINEA;RUB;295346.20977065584
AIJLY;CHINA;DKK;62061.74802363242
AIJLY;VANUATU;HTG;986850.0325977132
AIJLY;EGYPT;VUV;266899.29658118286
AIJLY;TUNISIA;MXN;227565.94808626143
AIJLY;BERMUDA;RSD;1283386.071357623
AIJLY;HUNGARY;DOP;627438.0873816129
AIJLY;CAYMAN ISLANDS;XPF;889109.0250802196
AIJLY;AZERBAIJAN;DJF;438613.41503639123
KLZc3;ETHIOPIA;BZD;6801.052744301285
KLZc3;TRINIDAD AND TOBAGO;RSD;182663.99195771175
KLZc3;NEW ZEALAND;LAK;62764946.9976816
KLZc3;JAPAN;SGD;5127.444048320974
KLZc3;CROATIA;VUV;89324.32691126631
KLZc3;ETHIOPIA;MZN;231493.6642336649
KLZc3;LATVIA;ETB;28651.437527833128
KLZc3;UNITED KINGDOM;ILS;756.6924097558492
KLZc3;BELARUS;ZWL;2622367.6763487114
KLZc3;EL SALVADOR;ARS;573027.4748963428
KLZc3;SWAZILAND;ISK;56574.49581520632
KLZc3;TANZANIA, UNITED REPUBLIC OF;IRR;30070090.054073427
KLZc3;CHINA;MRO;194441.58918367873
KLZc3;URUGUAY;DZD;538745.8927883537
KLZc3;ARUBA;KRW;1705173.0252744309
KLZc3;MOZAMBIQUE;MGA;15228661.801632693
BDEGY;BRAZIL;CNY;4077.111219242699
BDEGY;HONG KONG;TRY;27503.046559644095
BDEGY;MAURITANIA;CHF;7997.729594510243
BDEGY;VIET NAM;KZT;3430715.0336841103
BDEGY;VIET NAM;AED;11329.64579106923
BDEGY;GUYANA;SRD;204895.6708219261
BDEGY;ANGOLA;MXN;124714.14197743211
BDEGY;ARUBA;MUR;384692.7519584034
BDEGY;RWANDA;SRD;6484.877838957744
BDEGY;KUWAIT;MUR;214477.46889566214
BDEGY;PHILIPPINES;PKR;430536.5501312297
BDEGY;UGANDA;ZWL;1521336.6556896542
BDEGY;QATAR;CZK;74304.85302685424
BDEGY;NETHERLANDS ANTILLES;LYD;40217.53703665565
BDEGY;GAMBIA;NIO;125885.86939051034
BDEGY;ICELAND;MWK;3142476.445717919
BDEGY;ISRAEL;LAK;25170184.55992591
ADFLW;EL SALVADOR;KYD;1075.288596484363
ADFLW;INDONESIA;XOF;464888.78983297053
ADFLW;JAPAN;TTD;2096.035977818605
ADFLW;TAIWAN, PROVINCE OF CHINA;GHS;15620.530307768318
ADFLW;ZIMBABWE;LBP;2706917.050811535
ADFLW;HAITI;PHP;51951.25483831328
ADFLW;KENYA;DKK;10352.189695559297
ADFLW;GHANA;LAK;412627.97866953677
ADFLW;AUSTRALIA;DJF;89728.88151766289
ADFLW;PERU;BRL;9034.460924565454
ADFLW;MOZAMBIQUE;RWF;13658.256846761775
ADFLW;SYRIAN ARAB REPUBLIC;AOA;165309.25900479822
ADFLW;ETHIOPIA;SCR;28.777155374228204
ADFLW;POLAND;TRY;22552.1417890616
ADFLW;LATVIA;FJD;2641.6414540604746
GGVWW;NORWAY;SYP;1374931.7022788872
GGVWW;ZAMBIA;ZAR;19312.823915144585
GGVWW;MALAYSIA;RUB;62420.240915239876
GGVWW;UKRAINE;TND;7119.402155060253
GGVWW;BOLIVIA;MWK;274742.09882533737
GGVWW;POLAND;TWD;39551.49208777025
GGVWW;EURO;MUR;176792.93558430407
GGVWW;BANGLADESH;LVL;336.93938761998515
GGVWW;POLAND;OMR;424.07779261808093
GGVWW;BRAZIL;COP;16613907.090430664
GGVWW;ZIMBABWE;LKR;1130535.5359402678
GGVWW;DOMINICA;UAH;107879.13517031823
GGVWW;INDIA;EUR;3933.3449226907774
FLMY1;BARBADOS;CLP;2513517.657078024
FLMY1;UNITED KINGDOM;SVC;7748.871643679892
FLMY1;SWAZILAND;MAD;15978.273871295012
FLMY1;MEXICO;IRR;157831935.2190429
FLMY1;VIET NAM;MWK;3493485.2598275687
FLMY1;ALGERIA;GYD;18337.69911517119
FLMY1;BERMUDA;ANG;5278.1336708219
FLMY1;MADAGASCAR;PLN;1231.4042895066314
FLMY1;MOZAMBIQUE;SAR;7371.337055809294
BCXWc;KAZAKHSTAN;EGP;1017211.0969204456
BCXWc;BOLIVIA;DKK;269113.719516949
BCXWc;BHUTAN;IQD;8572435.509251019
BCXWc;NETHERLANDS ANTILLES;IRR;521434177.1140839
BCXWc;POLAND;DZD;3581794.4144969885
BCXWc;CAPE VERDE;INR;2984298.382186321
BCXWc;ARUBA;ZMW;690626.0707849191
EGHLW;JAMAICA;GBP;5492.696970849598
BCEEV;GUYANA;PGK;36486.80214659685
BCEEV;SAO TOME AND PRINCIPE;OMR;3400.0826917285995
BCEEV;TURKEY;ALL;245410.28004355408
BCEEV;SWEDEN;BZD;22304.620724362732
BCEEV;SRI LANKA;XCD;11973.00545387131
BCEEV;FIJI;QAR;40157.810508756964
BCEEV;PAKISTAN;EGP;226249.60813870787
BCEEV;SWITZERLAND;BOB;4371.805440731456
BCEEV;JAPAN;IQD;10282235.522050105
BCEEV;INDONESIA;VND;102109804.71954095
BCEEV;CHILE;HKD;28343.834666960687
BCEEV;SEYCHELLES;EGP;75407.29495616781
CHXa2;COSTA RICA;SBD;33789.61566732879
CHXa2;BANGLADESH;HTG;580137.3581366071
CHXa2;RWANDA;CRC;3611774.28718513
CHXa2;NIGERIA;MUR;132121.40682730335
CHXa2;SIERRA LEONE;CZK;110393.36314494492
CHXa2;BAHRAIN;NAD;122763.04165534484
CHXa2;FIJI;MRO;2809213.9733673115
CHXa2;SWEDEN;NZD;6562.883500871268
CHXa2;NORWAY;HTG;879108.400756879
AMVXY;KENYA;TRY;60617.36709365272
AMVXY;INDIA;HKD;394.62829042158626
AMVXY;BOTSWANA;KRW;7123376.264882064
AMVXY;INDIA;SCR;59795.94642258474
AMVXY;BELIZE;MWK;3656411.840694597
AMVXY;SAMOA;XAF;164959.36186770812
AMVXY;TAIWAN, PROVINCE OF CHINA;SLL;13413663.141392391
AMVXY;CAMBODIA;CNY;13356.540245837707
AMVXY;BELARUS;UAH;109237.95410070986
AMVXY;SRI LANKA;BBD;4677.1998825696965
AMVXY;MALAWI;HRK;38977.1161559956
AMVXY;PERU;SBD;37366.39914343338
AMVXY;INDONESIA;THB;204057.64472444152
AMVXY;IRAN (ISLAMIC REPUBLIC OF);TND;3944.374084670324
AMVXY;FIJI;LAK;62022999.624981746
AMVXY;LIBERIA;QAR;4096.654406013671
AMVXY;DJIBOUTI;SVC;24892.830205404905
EEJJJ;PAKISTAN;NAD;81529.09985534218
EEJJJ;AUSTRALIA;KYD;5262.330026839586
EEJJJ;UNITED ARAB EMIRATES;UAH;36971.657136425194
EEJJJ;PAKISTAN;BRL;17934.6307434472
EEJJJ;KAZAKHSTAN;DJF;1000395.2664290497
EEJJJ;TUNISIA;ZMW;99492.77908153931
EEJJJ;SEYCHELLES;ZMW;33787.338660090274
