;Client;Country;Currency;Transaction
0;BEGXZ;OMAN;RWF;7811288.78088673
1;BEGXZ;COLOMBIA;BGN;45206.96703002317
2;BEGXZ;UNITED ARAB EMIRATES;HRK;19391.810953056443
3;BEGXZ;ALGERIA;IDR;32794996.919775795
4;BEGXZ;LEBANON;TTD;60665.857021849464
5;BEGXZ;MALAWI;SLL;382271106.2524329
6;BEGXZ;NEPAL;BND;10816.617854096183
7;BEGXZ;THAILAND;VUV;192440.56768806282
8;ABWaa;CHINA;BRL;71427.31458069757
9;ABWaa;ISRAEL;BMD;4771.924219875128
10;ABWaa;VIET NAM;XOF;7715281.068638131
11;ABWaa;BELIZE;CVE;1152275.9252465114
12;ABWaa;BELARUS;HTG;591782.980863482
13;ABWaa;SWITZERLAND;BHD;4676.81977661066
14;ABWaa;LEBANON;JPY;380298.9767888003
15;ABWaa;ZAMBIA;KHR;4513127.374044226
16;ABWaa;VIET NAM;BTN;334458.03568684554
17;ABWaa;BHUTAN;NPR;594754.4212004709
18;ABWaa;BAHAMAS;SEK;140994.7566167132
19;ABWaa;MALAYSIA;TTD;66357.01694587938
20;ABWaa;MAURITANIA;MAD;79541.5077334254
21;ABWaa;ISRAEL;TOP;2679.9090207990616
22;HJZa3;SAO TOME AND PRINCIPE;RON;6183.05156656735
23;HJZa3;BELARUS;IDR;2407583.36239224
24;HJZa3;SAO TOME AND PRINCIPE;ALL;123508.13878743748
25;HJZa3;DOMINICAN REPUBLIC;ZWL;161407.76609274896
26;HJZa3;BANGLADESH;BWP;4788.081411957567
27;HJZa3;VIET NAM;NGN;508972.3493492337
28;HJZa3;TRINIDAD AND TOBAGO;VES;23820.383437023083
29;HJZa3;VENEZUELA;HUF;92171.82545272801
30;HJZa3;SAUDI ARABIA;KRW;703395.90440605
31;HJZa3;CHINA;SYP;289184.9066007686
32;HJZa3;BANGLADESH;MOP;12834.592726128469
33;HJZa3;SOMALIA;HNL;40794.17504110291
34;HJZa3;NICARAGUA;BTN;144109.55163616425
35;FHLV1;TANZANIA, UNITED REPUBLIC OF;MGA;20274896.890681904
36;FHLV1;BULGARIA;CYP;1818.3600098876607
37;FHLV1;CAMBODIA;LAK;79773616.63084562
38;FHLV1;BAHAMAS;TRY;37486.168888094384
39;FHLV1;MADAGASCAR;HNL;11642.310121764724
