;Client;Country;Currency;Transaction
0;INVXb;RWANDA;EGP;718889.8461549144
1;INVXb;LATVIA;GMD;2449235.884471587
2;INVXb;SURINAME;UGX;174484008.87017787
3;CCFJZ;DJIBOUTI;MRO;941212.8790104145
4;FKKN3;HUNGARY;MWK;2928911.8784037223
5;FKKN3;NORWAY;XAF;2172969.6477623396
6;FKKN3;CAPE VERDE;GBP;291.7702995732731
7;FKKN3;BELARUS;GTQ;19835.99348110967
8;FKKN3;CHINA;TOP;11409.061050093527
9;CEJb3;ANGOLA;UYU;235465.97954134666
10;CEJb3;SURINAME;RON;30099.417985931817
11;CEJb3;MYANMAR;SDG;4573405.703032585
12;CEJb3;HONG KONG;BDT;77842.43164602427
13;CEJb3;POLAND;SVC;-1592.5781255100915
14;CEJb3;NAMIBIA;PHP;580545.0364167057
15;CEJb3;ALBANIA;RSD;1009699.2901483403
16;CEJb3;MAURITIUS;BWP;198048.22397343031
17;CEJb3;NAMIBIA;MUR;822748.9480352644
18;CEJb3;PERU;KRW;22399895.012006585
19;CEJb3;HONG KONG;ETB;367350.07470143534
20;CEJb3;SAUDI ARABIA;BND;11742.023361834474
21;CEJb3;NEPAL;RSD;1563720.9302297346
22;JLVb2;TUNISIA;KRW;19123855.909580886
23;JLVb2;ZIMBABWE;RSD;1035964.6207119324
24;JLVb2;NICARAGUA;LBP;6425945.518850061
25;JLVb2;UGANDA;BGN;7177.090165305136
26;JLVb2;SWITZERLAND;KZT;4291096.827362002
27;JLVb2;INDIA;BZD;2212.247529915676
28;JLVb2;TAIWAN, PROVINCE OF CHINA;BRL;21966.360123901544
29;JLVb2;QATAR;MWK;5901609.316475127
30;JLVb2;LEBANON;AED;9505.505279825467
31;JLVb2;PAKISTAN;DJF;1528559.3880338236
32;CCH13;COSTA RICA;GBP;6200.1497879942835
33;CCH13;LAO PEOPLE'S DEMOCRATIC REP;HRK;50599.266556193055
34;CCH13;ALGERIA;CVE;544341.7153815127
35;CCH13;ZAMBIA;MYR;35385.54867694994
36;CCH13;KAZAKHSTAN;IDR;91789775.35225102
37;DDLWa;ICELAND;MXN;156332.83448003666
38;DDLWa;MALAWI;GNF;86005865.63077338
39;DDLWa;CAYMAN ISLANDS;RON;2362.6972630836235
40;DDLWa;CHILE;TZS;4749441.177370579
41;CCLb3;MACAU;RON;4586.070383902834
42;CCLb3;PHILIPPINES;TZS;-39357.563672596996
43;CCLb3;SINGAPORE;BHD;978.0054314682063
44;CCLb3;YEMEN;PKR;152399.82881844137
45;CCLb3;SOLOMON ISLANDS;XAF;2298500.2816707385
46;CCLb3;BRAZIL;BIF;9937345.92422237
47;CCLb3;MALDIVES;VUV;362348.86872924294
48;CXWYZ;HUNGARY;FJD;3303.304449800748
49;CXWYZ;CHINA;ZMW;3363.649835187342
50;CXWYZ;BERMUDA;HKD;5945.653440927599
51;CXWYZ;MAURITIUS;KES;101154.01316071226
52;CXWYZ;JAPAN;SZL;22960.586103655198
53;CXWYZ;PANAMA;DOP;28556.726786499603
54;CXWYZ;VENEZUELA;DJF;67651.5931242685
55;CXWYZ;HUNGARY;XPF;64269.05706167365
56;CXWYZ;BURUNDI;CRC;873986.6400698855
57;CXWYZ;EURO;KZT;255211.52266158804
58;CXWYZ;NAMIBIA;DJF;234624.85506687497
59;CXWYZ;DENMARK;TOP;2589.832571388952
60;CXWYZ;SURINAME;PEN;-65.57228114833673
61;BJJVW;NAMIBIA;PLN;16812.82268976253
62;BJJVW;UGANDA;SYP;2367062.2169031096
63;BJJVW;KAZAKHSTAN;MXN;35403.442408311785
64;BJJVW;ROMANIA;LAK;87709844.65733102
65;BJJVW;NEPAL;HUF;748746.860039443
66;BJJVW;FRENCH POLYNESIA;VES;76106.39196772558
67;BJJVW;GAMBIA;CAD;8614.720821790794
68;BJJVW;VENEZUELA;VES;47023.44491387254
69;BJJVW;CAYMAN ISLANDS;SRD;90083.11915218769
70;BJJVW;UNITED KINGDOM;VUV;225002.52671566073
71;BJJVW;COSTA RICA;ZMW;78289.39455277301
72;BJJVW;PANAMA;MRO;970612.8635357562
73;BJJVW;NORWAY;HTG;158255.70960985668
74;BJJVW;KOREA, REPUBLIC OF;SYP;2239222.0175820207
75;BJJVW;MAURITANIA;MRO;1679051.529461676
76;BJJVW;PAKISTAN;MVR;99589.48713851332
77;BJJVW;SOUTH AFRICA;MRO;1351148.456673502
78;BJJVW;UNITED ARAB EMIRATES;SEK;67588.9613292445
79;EEJW1;MYANMAR;HKD;2753.1041604888155
80;EEJW1;ZIMBABWE;HKD;1236.659230550525
81;EEJW1;TAIWAN, PROVINCE OF CHINA;BYR;3405568.808718464
82;EEJW1;FRENCH POLYNESIA;BWP;4276.299975188483
83;EEJW1;JORDAN;PLN;1323.1934847769226
84;EEJW1;KENYA;XPF;10417.986327613336
85;EEJW1;MADAGASCAR;VUV;17323.953617754818
86;EEJW1;SAUDI ARABIA;SAR;442.3589926676297
87;EEJW1;THAILAND;MRO;142672.457239956
88;EEJW1;JORDAN;HKD;1729.2623606578677
89;EEJW1;CYPRUS;NGN;16352.959559714216
90;EEJW1;PARAGUAY;JOD;263.1944410979829
91;EEJW1;BAHAMAS;AZN;438.6952718619169
92;EEJW1;SAO TOME AND PRINCIPE;HTG;50956.47347689871
93;EEJW1;RUSSIAN FEDERATION;GYD;79083.56908955876
94;EEJW1;MOROCCO;MAD;4090.3940728017
95;EEJW1;THAILAND;HRK;360.68981934976915
96;EEJW1;BELIZE;XOF;251409.66882000852
97;GNXXb;SOUTH AFRICA;TZS;439139.4583409601
98;GNXXb;TONGA;CAD;-55.55437582352259
99;GNXXb;KOREA, REPUBLIC OF;BRL;18323.59231297696
100;GNXXb;LEBANON;XAF;2019117.9835343806
101;GNXXb;BOTSWANA;KYD;2054.1561477559767
102;GNXXb;TANZANIA, UNITED REPUBLIC OF;HNL;94017.7248061938
103;GNXXb;TOGO;LKR;1062901.1606265334
104;GNXXb;BULGARIA;GBP;655.1281496801182
105;GZa22;KAZAKHSTAN;VUV;104755.98844788905
106;GZa22;BOTSWANA;SVC;2763.2633619336716
107;GZa22;ANGOLA;BWP;274.5268466299936
108;GZa22;KENYA;IRR;35505536.63238691
109;GZa22;ARGENTINA;TWD;14537.157946179195
110;GZa22;EL SALVADOR;MUR;19538.306658974256
111;FNY22;NETHERLANDS ANTILLES;GMD;19443.00291636524
112;FNY22;TUNISIA;SCR;-476.69869194149635
113;FNY22;FRENCH POLYNESIA;STD;12201037.251555039
114;FNY22;LATVIA;VES;177539.19404929885
