Client;Country;Currency;Transaction
BGLLc;CROATIA;PYG;501246408.7417322
BGLLc;SEYCHELLES;DJF;6569828.758005405
BGLLc;BERMUDA;XAF;50223404.19061879
BGLLc;SOUTH AFRICA;RON;87131.80613802727
BGLLc;TAIWAN, PROVINCE OF CHINA;KZT;38913523.40676832
BGLLc;ZAMBIA;PYG;403044680.1814734
BGLLc;MALAYSIA;XOF;32974295.715164363
BGLLc;JORDAN;BOB;167820.94167361123
BGLLc;TOGO;IQD;67042995.204804875
BGLLc;LAO PEOPLE'S DEMOCRATIC REP;NAD;1010259.295684958
BGLLc;EURO;SGD;53105.75222720233
BGLLc;ANGOLA;KYD;31808.97803592502
BGLLc;HONG KONG;XOF;6647656.414192525
DEFK1;NETHERLANDS ANTILLES;BDT;91123.7997456154
DEFK1;BRUNEI DARUSSALAM;GNF;83967163.89412431
DEFK1;YEMEN;GBP;5007.871027750721
DEFK1;MOROCCO;AWG;13209.61637778848
DEFK1;ZIMBABWE;ZWL;3297683.4187447727
DEFK1;SERBIA;NOK;163006.96443183668
DEFK1;POLAND;PES;2121858.0736891585
DEFK1;SAUDI ARABIA;IRR;24968322.377549004
DEFK1;MALDIVES;KZT;5307308.916700588
DEFK1;SWEDEN;VUV;1561556.5842138547
DEFK1;EL SALVADOR;STD;9770355.662827184
DEFK1;INDIA;ZAR;103232.9513256717
DEFK1;ISRAEL;NOK;171448.1785869667
LMXXY;LEBANON;AOA;2883149.877161824
LMXXY;DOMINICAN REPUBLIC;KZT;4453079.790747071
LMXXY;MACAU;NGN;787454.8374037523
LMXXY;LEBANON;LBP;17020828.389202163
LMXXY;JAMAICA;NIO;1598.1948887656922
LMXXY;SINGAPORE;DOP;62849.71750673381
LMXXY;VENEZUELA;MRO;56669.23672072228
LMXXY;ICELAND;JPY;777083.2877328516
LMXXY;MALAWI;AZN;1665.8005826510919
LMXXY;CROATIA;BND;727.6044159333678
LMXXY;MALAYSIA;MUR;524316.4969140337
LMXXY;MOROCCO;MYR;12767.986736762165
LMXXY;UGANDA;CAD;11907.599167901499
LMXXY;CENTRAL AFRICAN REPUBLIC;KHR;10205210.514052665
LMXXY;PAPUA NEW GUINEA;RWF;8737993.934016159
EHWW2;KAZAKHSTAN;SAR;21505.84177088252
EHWW2;ISRAEL;JPY;555531.7001355333
EHWW2;MOROCCO;TZS;15413524.612978831
EHWW2;PERU;NOK;25078.109391098795
EHWW2;CAMBODIA;PKR;2346445.8847234882
AEJa3;SWITZERLAND;NOK;93.6295222591457
AEJa3;HAITI;NIO;250.02553567434876
AEJa3;UNITED ARAB EMIRATES;KYD;9.728262641896311
AEJa3;ETHIOPIA;JOD;6.1427474240687525
AEJa3;SURINAME;ZAR;149.27471320257834
AEJa3;COSTA RICA;PHP;93.96956498062517
AEJa3;VANUATU;SDG;2856.347990196061
AEJa3;EGYPT;GYD;1325.7461895129195
AEJa3;LIBYAN ARAB JAMAHIRIYA;SCR;109.78640956847472
AEJa3;HONDURAS;MWK;2348.7016309311866
FFFNN;SERBIA;LBP;482521.99402748194
FFFNN;MAURITIUS;SDG;506610.11603233014
FFFNN;CYPRUS;XOF;2315448.472782531
FFFNN;OMAN;DJF;879591.0435894877
FFFNN;VENEZUELA;THB;102365.57037963893
FFFNN;ALBANIA;DOP;364068.42059412086
FFFNN;POLAND;MOP;5862.836411521713
CIXc3;UNITED ARAB EMIRATES;KYD;4972.831042170022
CIXc3;CHILE;SVC;46412.60844942856
CIXc3;GAMBIA;MZN;345103.0102550073
CIXc3;NIGERIA;RSD;307709.51446311444
CIXc3;BULGARIA;KWD;871.7654164972611
CIXc3;THAILAND;SYP;1330328.4881063313
CIXc3;CHILE;AZN;1722.429775571539
CIXc3;GAMBIA;HKD;19012.693922540224
CIXc3;PARAGUAY;UYU;122412.30883916897
CIXc3;PAKISTAN;CAD;560.0489418324206
CIXc3;KUWAIT;TND;-36.615602062470565
CIXc3;JAMAICA;GYD;377969.37889298744
CIXc3;NETHERLANDS ANTILLES;AZN;2189.436253796677
CIXc3;SWAZILAND;HKD;46799.01969172775
CIXc3;KUWAIT;COP;6896477.672783292
DFNX3;ISRAEL;MWK;939780.0921779579
DFNX3;LEBANON;BHD;556.8846512775668
DFNX3;MOZAMBIQUE;CYP;1489.9245753063371
DFNX3;IRAN (ISLAMIC REPUBLIC OF);NGN;835305.3834762172
DFNX3;TRINIDAD AND TOBAGO;BTN;32729.209523132053
DFNX3;SERBIA;HNL;43655.95859474814
DFNX3;HONG KONG;VES;19204.873977555428
DFNX3;INDIA;CNY;10133.088493620402
DFNX3;PANAMA;RWF;1133769.9664375768
DFNX3;SAUDI ARABIA;MAD;22306.694067005308
DFNX3;MOROCCO;TOP;6652.487927329068
DFNX3;COSTA RICA;TTD;3972.521585819577
DFNX3;AZERBAIJAN;AWG;554.6678362715647
DFNX3;TANZANIA, UNITED REPUBLIC OF;MOP;14348.484507820189
DFNX3;SRI LANKA;KYD;1138.3509204199338
LMM13;UNITED KINGDOM;CRC;64985.52935148798
LMM13;AZERBAIJAN;CVE;555545.4605108561
LMM13;CZECH REPUBLIC;FJD;1386.8020495323772
LMM13;ICELAND;CZK;84145.82300469547
LMM13;UKRAINE;VND;47715881.05616196
LMM13;BRAZIL;TTD;15169.28423029675
LMM13;JAPAN;KES;287662.5281838368
LMM13;BRAZIL;KHR;14573338.02641296
IJNb3;BOTSWANA;HNL;369389.23019455007
IJNb3;SWEDEN;MAD;97411.86273590989
IJNb3;CHINA;BGN;18556.887075581468
IJNb3;MAURITIUS;PEN;48280.86725252257
IJNb3;MALDIVES;BIF;38933841.15997067
IJNb3;HUNGARY;KWD;109.5720062908483
IJNb3;SEYCHELLES;UYU;90681.6711466699
IJNb3;OMAN;ZMW;138273.78091709237
IJNb3;LAO PEOPLE'S DEMOCRATIC REP;PAB;13130.654458361014
IJNb3;FRENCH POLYNESIA;SDG;6742731.835640646
IJNb3;SAMOA;BGN;2314.8439077020043
IJNb3;MAURITIUS;LBP;2789254.4251413234
IJNb3;COLOMBIA;TTD;124242.68638652288
IJNb3;MALAYSIA;MGA;5361575.867789682
KKVVc;MAURITANIA;ANG;5092.45276731971
KKVVc;MEXICO;BMD;13012.961961271003
KKVVc;SOMALIA;HUF;4468734.347750683
KKVVc;NEW ZEALAND;ZAR;17055.800794869367
KKVVc;LIBERIA;GNF;127757607.05719104
KKVVc;VENEZUELA;LRD;1806219.4465966253
KKVVc;BERMUDA;JPY;550749.8236476609
KKVVc;TURKEY;WST;14703.58605159565
KKVVc;MOZAMBIQUE;EUR;14172.481895675844
KKVVc;DJIBOUTI;TRY;152331.1248727703
KKVVc;CENTRAL AFRICAN REPUBLIC;DJF;1512052.426632552
KKVVc;TRINIDAD AND TOBAGO;TTD;23327.04808618634
KKVVc;TAIWAN, PROVINCE OF CHINA;AOA;565314.4853067163
KKVVc;ICELAND;AWG;9049.009730055715
KKVVc;ARGENTINA;KHR;2580660.580399555
ADNac;ISRAEL;LVL;1099.794113369644
ADNac;SOUTH AFRICA;SEK;6610.2950353777505
