;Client;Country;Currency;Transaction
0;HWWYc;CAMBODIA;AWG;286.34901177327504
1;HWWYc;NICARAGUA;RWF;207600.59937612587
2;HWWYc;BAHRAIN;VUV;22313.02456072414
3;HWWYc;PHILIPPINES;MZN;26448.3302336847
4;HWWYc;EURO;NAD;2117.212371051187
5;HWWYc;UNITED ARAB EMIRATES;UGX;1162158.799522372
6;HWWYc;RWANDA;SBD;864.2586443029622
7;DGYbc;DENMARK;VES;28168.997155894616
8;DGYbc;VIET NAM;KZT;897259.6300234197
9;DGYbc;SRI LANKA;SCR;42825.13997933956
10;DGYbc;TURKEY;UAH;9670.596582172362
11;DGYbc;EGYPT;ISK;616430.474286513
12;DGYbc;INDONESIA;CLP;2110083.713147347
13;DGYbc;PANAMA;SEK;28058.061145647192
14;DGYbc;INDIA;TZS;8114040.60390794
15;DGYbc;TONGA;PEN;12595.573994316497
16;DGYbc;MAURITANIA;CRC;956925.0768283147
17;DGYbc;GUINEA;BND;48.460529244833914
18;DGYbc;SWITZERLAND;VES;56390.844212644566
19;DGYbc;UNITED KINGDOM;STD;17182538.272048693
20;DGYbc;GUATEMALA;ILS;11387.37519254247
21;DGYbc;CAPE VERDE;NAD;56529.57857744354
22;DGYbc;OMAN;RON;7427.339088710286
23;DGYbc;TOGO;BDT;351309.3597510838
24;DGYbc;PARAGUAY;BIF;7351182.448046511
25;DGYbc;NIGERIA;SAR;180.5544967249938
26;ENbc2;INDONESIA;AUD;33070.115053436355
27;ENbc2;CHINA;MVR;367875.08209618414
28;ENbc2;INDIA;KYD;17779.10245087292
29;ENbc2;VIET NAM;UAH;455689.57916316285
30;ENbc2;FIJI;XOF;2650152.4505567527
31;ENbc2;CAMBODIA;IDR;31588341.78280497
32;ENbc2;ZIMBABWE;MXN;139514.7496234746
33;GHHKa;THAILAND;OMR;5301.786732519269
34;CEEEa;DOMINICAN REPUBLIC;UYU;743376.0345635988
35;CEEEa;BHUTAN;NGN;5984699.112196391
36;CEEEa;FIJI;ETB;1215540.9669167807
37;BEFW3;CAYMAN ISLANDS;XOF;661899.3786850141
38;BEFW3;CAPE VERDE;ISK;826681.4251154646
39;BEFW3;CANADA;SOS;1631881.5999930263
40;BEFW3;LAO PEOPLE'S DEMOCRATIC REP;MMK;17794232.78864005
41;BEFW3;RUSSIAN FEDERATION;BWP;100822.76043447613
42;BEFW3;TURKEY;SGD;5141.684290623686
43;BEFW3;BAHAMAS;SZL;74698.45566521637
44;BEFW3;LATVIA;JMD;689778.287977074
45;BEFW3;BERMUDA;BND;5122.802732521786
46;BEFW3;CHILE;BMD;682.4186204602743
47;BEFW3;LIBERIA;AOA;786666.6730610664
48;BEFW3;CZECH REPUBLIC;MZN;384702.58911900513
49;BEFW3;NAMIBIA;PKR;1589524.3868066105
50;BEFW3;KOREA, REPUBLIC OF;MUR;162671.12326860937
51;BEFW3;VIET NAM;TTD;53384.11792496113
52;BYYcc;TANZANIA, UNITED REPUBLIC OF;CHF;3878.288725046963
53;BYYcc;CANADA;SLL;35168585.545546055
54;BYYcc;MALAYSIA;ZWL;2390003.8579344186
55;BYYcc;TAIWAN, PROVINCE OF CHINA;DOP;198408.5974838532
56;BYYcc;PERU;CZK;73093.45440054916
57;EHKYa;INDIA;MXN;161362.81545123702
58;EHKYa;PAKISTAN;AUD;12890.589219493468
59;EHKYa;LAO PEOPLE'S DEMOCRATIC REP;MXN;85582.38456853612
60;EHKYa;RWANDA;MAD;84385.60210947142
61;EHKYa;BELIZE;VES;121652.14083167932
62;EHKYa;BELARUS;MXN;69229.37640925325
63;EHKYa;FIJI;BGN;2904.1801674734575
64;EHKYa;SOUTH AFRICA;LBP;17447316.785075966
65;EHKYa;GAMBIA;HUF;3911953.287092516
66;EHKYa;ETHIOPIA;DZD;1644680.4879725147
67;EHKYa;HUNGARY;SOS;3208494.2233910062
68;EHKYa;CENTRAL AFRICAN REPUBLIC;GNF;21540952.02114458
69;EHKYa;SWAZILAND;SCR;155983.43649596462
70;EHKYa;CHILE;ETB;263211.7425610791
71;ABNWa;SYRIAN ARAB REPUBLIC;CHF;2436.430320088493
72;ABNWa;DJIBOUTI;UGX;17087508.090716675
73;ABNWa;SYRIAN ARAB REPUBLIC;HUF;662795.6078370422
74;ABNWa;SOLOMON ISLANDS;YER;154118.4624820802
75;ABNWa;TONGA;NOK;12404.713285978705
76;ABNWa;HAITI;TZS;538265.1354402653
77;ABNWa;COSTA RICA;GYD;903966.6760717795
78;ABNWa;EURO;RWF;4674984.906571007
79;ABNWa;GAMBIA;FJD;4539.606425516143
80;ABNWa;BELARUS;XPF;198534.38859030986
81;ABNWa;BAHRAIN;BZD;11286.194512020009
82;ABNWa;IRAN (ISLAMIC REPUBLIC OF);VUV;290126.66797833284
83;ABNWa;BAHRAIN;BTN;29707.82906088642
84;ABNWa;INDONESIA;BWP;45831.95643572026
85;ABNWa;CYPRUS;DZD;549948.4976137255
86;ABNWa;DOMINICA;JOD;3915.601277128511
87;BJ112;CAMBODIA;GBP;3378.3158098466797
88;BJ112;CHILE;XAF;7253841.338920083
89;BJ112;MYANMAR;MXN;243959.76266278268
90;BJ112;IRAQ;SCR;221424.7646841901
91;ADFX3;SAO TOME AND PRINCIPE;HNL;23103.226862067204
92;ADFX3;NEPAL;HKD;8780.225839318804
93;ADFX3;SAO TOME AND PRINCIPE;DJF;908396.8474886636
94;ADFX3;CZECH REPUBLIC;STD;121865081.25780635
95;ADFX3;SWEDEN;SLL;25379736.441732924
96;ADFX3;ALGERIA;AZN;4985.437612733695
97;ADFX3;SOMALIA;RON;23133.667615149607
98;ADFX3;SEYCHELLES;TZS;272015.08828037785
99;ADFX3;NAMIBIA;RSD;512169.69506284036
100;ADFX3;TOGO;SZL;8980.652710959062
101;ADFX3;EURO;MOP;1877.7031638553806
102;ADFX3;LAO PEOPLE'S DEMOCRATIC REP;LBP;4973775.236144272
103;ADFX3;LATVIA;LYD;22007.517030860527
104;ADFX3;INDONESIA;HUF;1362217.8090208988
105;ADFX3;SOUTH AFRICA;SOS;674349.8079940453
106;ADFX3;ZIMBABWE;BRL;25315.48892802726
107;ADFX3;MYANMAR;MOP;36986.50893097053
108;ADFX3;POLAND;SCR;54407.26712169658
109;BCFc2;BELIZE;ILS;26289.994871663475
110;BCFc2;MEXICO;HUF;1020395.5138220168
111;BCFc2;CYPRUS;MAD;89279.0615399546
112;BCFc2;NAMIBIA;BGN;9425.289654774246
113;BCFc2;COLOMBIA;BMD;7840.76371785901
114;BCFc2;JAMAICA;SAR;4815.167811941327
115;BCFc2;SWITZERLAND;KYD;8286.290682671668
116;BCFc2;TRINIDAD AND TOBAGO;JOD;5766.2302911430015
117;BCFc2;SRI LANKA;SGD;10785.976159752045
118;BCFc2;HAITI;KWD;1411.204470822513
119;AXX11;SAUDI ARABIA;TTD;4621.027606880501
120;AXX11;PAPUA NEW GUINEA;SDG;193467.31888954577
121;AXX11;NORWAY;FJD;3965.581858410652
122;AXX11;INDONESIA;MMK;2756423.822136358
123;AXX11;LAO PEOPLE'S DEMOCRATIC REP;NAD;40875.27712142284
124;AXX11;LAO PEOPLE'S DEMOCRATIC REP;PAB;3063.6777189581444
125;AXX11;LIBYAN ARAB JAMAHIRIYA;SGD;2056.952890908533
126;AXX11;FIJI;KYD;1415.6663472649702
127;AXX11;BAHRAIN;GYD;345557.4609005498
128;AXX11;SERBIA;AUD;2630.2308403288685
129;AXX11;SAUDI ARABIA;PHP;160767.4580584987
130;AXX11;TURKEY;NOK;15777.319557359177
131;AXX11;ICELAND;DOP;183014.8093331665
132;AXX11;VANUATU;SRD;32800.04534585263
133;AXX11;BAHAMAS;EUR;1278.7755656810245
134;AXX11;NETHERLANDS ANTILLES;LKR;307088.7138329897
135;AXX11;ZIMBABWE;SGD;1349.619466458562
136;AXX11;OMAN;FJD;2920.1710258620287
137;AXX11;UKRAINE;TZS;817269.102981839
138;GGHIM;BHUTAN;TRY;23907.768672983322
139;GGHIM;CROATIA;ANG;1207.666166919229
140;GGHIM;PERU;MYR;934.9811994691457
141;GGHIM;SERBIA;GNF;7700913.436977849
142;GGHIM;ISRAEL;NGN;492521.1437675932
143;GGHIM;CHILE;NGN;619740.9401529239
144;GGHIM;LIBERIA;ILS;6342.724313306311
145;GGHIM;NEW ZEALAND;HNL;8070.106046637591
146;GGHIM;SEYCHELLES;SGD;1765.29670738094
147;IMNZb;PAPUA NEW GUINEA;MWK;1852313.6202665153
148;IMNZb;JAPAN;RUB;119806.30561050719
149;IMNZb;TURKEY;HKD;13098.795587290933
150;IMNZb;MYANMAR;KHR;5236702.647158041
151;IMNZb;EL SALVADOR;MRO;625824.6524535834
152;IMNZb;NAMIBIA;PEN;5343.88708171723
153;IMNZb;ANGOLA;EUR;737.6153922350318
154;IMNZb;NIGERIA;RON;375.99182538009285
155;IMNZb;ARUBA;TTD;4793.721108911694
156;IMNZb;EL SALVADOR;SCR;12205.02434552176
157;IMNZb;BOTSWANA;BND;2331.807071545534
158;IMNZb;MALAWI;MOP;17387.33603157622
159;IMNZb;SRI LANKA;DKK;15303.477340445314
160;IMNZb;CANADA;NPR;28341.684951576983
161;CHNZa;EURO;LRD;947503.2397306327
162;CHNZa;POLAND;AUD;17949.289659975417
163;CHNZa;ISRAEL;RWF;15640316.97633249
164;CHNZa;RUSSIAN FEDERATION;DJF;2873001.5099929557
165;CHNZa;BELARUS;BRL;93522.05572126593
166;CHNZa;YEMEN;CAD;21749.459379472806
167;CHNZa;RUSSIAN FEDERATION;VND;398335678.0340837
168;CHNZa;GUATEMALA;KWD;3796.6582923497053
169;CHNZa;LAO PEOPLE'S DEMOCRATIC REP;KES;360614.1965724677
170;CHNZa;DOMINICA;PAB;17663.54539407244
171;CHNZa;SAO TOME AND PRINCIPE;BYR;466144621.7182058
172;CHNZa;SYRIAN ARAB REPUBLIC;XAF;7970281.4590965705
173;CHNZa;TAIWAN, PROVINCE OF CHINA;XAF;10472283.315151943
174;HNNVX;KUWAIT;BZD;6211.783351848531
175;HNNVX;BULGARIA;ALL;326454.4943022784
176;HNNVX;MOZAMBIQUE;HNL;22444.302109166645
177;HNNVX;HONG KONG;ALL;320066.4393947116
178;HNNVX;ICELAND;IRR;31330545.730018474
179;HNNVX;HONG KONG;IQD;1313320.254486056
180;HNNVX;MOROCCO;TZS;1062621.6318044227
181;HNNVX;GUINEA;MYR;10228.72601842462
182;HNNVX;NIGERIA;NIO;65284.71334932914
183;HNNVX;IRAN (ISLAMIC REPUBLIC OF);JOD;1800.0433702538614
184;HNNVX;SINGAPORE;AZN;2260.673489208817
185;HNNVX;YEMEN;BYR;47471614.98499557
186;HNNVX;NORWAY;DKK;23601.541246955563
187;HNNVX;LIBERIA;LYD;14094.95445628279
188;HNNVX;MADAGASCAR;CHF;905.694672956897
189;HNNVX;FRENCH POLYNESIA;MOP;18731.922443187214
190;HNNVX;SOMALIA;EUR;0.7117792985370353
191;BBBCI;CENTRAL AFRICAN REPUBLIC;LRD;705393.6360028824
192;BBBCI;EGYPT;SCR;53506.40504767406
193;BBBCI;BRUNEI DARUSSALAM;MAD;3233.9811071385834
194;BBBCI;NETHERLANDS ANTILLES;MGA;15896784.798279071
195;BBBCI;GUATEMALA;PYG;5322662.108009437
196;BBBCI;SYRIAN ARAB REPUBLIC;SDG;2933692.776772238
197;BBBCI;ISRAEL;HKD;11185.835477479724
198;BBBCI;ANGOLA;MXN;4417.999039142391
199;BBBCI;MOZAMBIQUE;MUR;138591.19280251322
200;BBBCI;MOZAMBIQUE;THB;65477.8380311812
201;BBBCI;KUWAIT;TRY;99719.03925249037
202;BBBCI;CANADA;COP;14940900.212613069
203;BBBCI;HONG KONG;BIF;8404828.12831407
204;BBBCI;VENEZUELA;AZN;4697.558077306424
205;BBBCI;ALBANIA;VND;82164581.08480504
206;BBBCI;MALAYSIA;WST;9514.023720537043
207;BBBCI;UGANDA;TRY;63679.41479214042
208;BCLNb;NEPAL;OMR;672.054930910069
209;BCLNb;ZIMBABWE;DOP;648425.9612249724
210;BCLNb;BARBADOS;PEN;29365.26185789088
211;BCLNb;ROMANIA;BGN;1341.353992760604
212;BCLNb;BELIZE;SEK;29159.326694123913
213;BCLNb;HONDURAS;PGK;9057.679906476704
214;BCLNb;BELARUS;PGK;13661.078563140649
215;BCLNb;LEBANON;MAD;100938.74155045657
216;BCLNb;SAUDI ARABIA;TTD;9947.308289489905
217;BCLNb;URUGUAY;BRL;43008.464209339174
218;BCLNb;BURUNDI;YER;435473.0288126622
219;BCLNb;JAMAICA;VUV;73535.93636384948
220;BCLNb;SWITZERLAND;MOP;106876.57231008647
221;BCLNb;SAUDI ARABIA;RSD;835156.1767271773
222;BCLNb;JAMAICA;ISK;885228.302098466
223;DXW13;BULGARIA;SEK;78403.18433419382
224;DXW13;SAUDI ARABIA;GYD;1704782.1189751166
225;DXW13;ETHIOPIA;AZN;19918.242062676032
226;DXW13;TANZANIA, UNITED REPUBLIC OF;RWF;1513277.7898976463
227;DXW13;OMAN;BDT;1108435.246298933
228;DXW13;VIET NAM;IQD;10935367.315552242
229;DXW13;AZERBAIJAN;PHP;334488.0866535495
230;DXW13;NEW ZEALAND;CNY;46286.570538682834
231;DXW13;EL SALVADOR;LYD;38486.49515907062
232;HHVa1;SYRIAN ARAB REPUBLIC;SGD;724.4303000233166
233;HHVa1;SWITZERLAND;SZL;7776.025436973197
234;IKLVV;SERBIA;BSD;9917.340855077668
235;IKLVV;ROMANIA;SVC;82305.52138140435
236;IKLVV;NORWAY;CRC;5792744.675929272
237;IKLVV;BOTSWANA;DZD;359725.2352924535
238;IKLVV;BURUNDI;HTG;1361278.9764691987
239;IKLVV;YEMEN;GTQ;34795.017728779974
240;IKLVV;SWAZILAND;GTQ;30896.85491833162
241;IKLVV;MOZAMBIQUE;BGN;2901.129635762083
242;IKLVV;SWAZILAND;KES;-8138.829265165984
243;IKLVV;PAKISTAN;KYD;7573.6063788159745
244;IKLVV;ICELAND;UGX;38599194.89936434
245;IKLVV;NETHERLANDS ANTILLES;SOS;3986272.6642162106
246;IKLVV;PARAGUAY;SZL;157748.6320889854
247;IKLVV;VANUATU;KES;193006.52257393618
248;IKLVV;RWANDA;GBP;1198.7253531440049
249;IKLVV;NICARAGUA;RSD;933214.3621931302
250;IKLVV;SAMOA;PGK;3623.363435238304
251;IKLVV;BOTSWANA;RON;47504.1396135036
252;CIMNV;BOLIVIA;GHS;267356.86082954024
253;CIMNV;CHINA;XCD;41314.28988874571
254;CIMNV;BRAZIL;LAK;291993939.4269159
255;IJJZc;SUDAN;MZN;348606.78015236574
256;IJJZc;NIGERIA;XOF;4620211.402102686
257;IJJZc;JAPAN;BDT;7887.405282279623
258;IJJZc;LEBANON;BBD;15773.285187117834
259;IJJZc;UNITED ARAB EMIRATES;VES;210594.7280159551
260;IJJZc;PANAMA;BZD;141.66773115787527
261;IJJZc;INDONESIA;ILS;23529.045070695454
262;IJJZc;BOTSWANA;OMR;2365.6860711320173
263;IJJZc;BRAZIL;AWG;2840.154663460496
264;IJJZc;THAILAND;KZT;1063788.4698051263
265;IJJZc;COLOMBIA;JMD;373020.373570742
266;IJJZc;GUINEA;SEK;130669.67256343261
267;IJJZc;QATAR;COP;27391455.819375183
268;IJJZc;FIJI;PAB;2236.933474982851
269;IJJZc;THAILAND;LYD;50207.58171246677
270;IJJZc;URUGUAY;SLL;23961528.334409077
271;IJJZc;DENMARK;MZN;555713.3192281305
272;IJJZc;LAO PEOPLE'S DEMOCRATIC REP;MVR;33051.31038676801
273;IJJZc;TURKEY;AOA;4915912.682123957
274;IJJZc;GUINEA;AUD;11513.722877740047
275;BBKXc;CENTRAL AFRICAN REPUBLIC;KZT;31230720.282560956
276;BBKXc;SAMOA;DJF;6310741.407821493
277;BBKXc;CAMBODIA;DJF;1354908.5769563736
278;BBKXc;ISRAEL;EGP;1710057.956645357
279;HKNW3;FIJI;BBD;934.2956278246427
280;HKNW3;SUDAN;SDG;341196.97178034874
281;HKNW3;TRINIDAD AND TOBAGO;KYD;79.5742636046167
282;HKNW3;BHUTAN;AED;424.792184651978
283;HKNW3;YEMEN;NPR;46879.33190740535
284;HKNW3;RUSSIAN FEDERATION;BSD;922.2581222134233
285;HKNW3;SAO TOME AND PRINCIPE;NZD;195.02723021972318
286;EFVWa;NIGERIA;FJD;19526.141862752007
287;EFVWa;SAMOA;OMR;5430.970962950791
288;EFVWa;AZERBAIJAN;MAD;128536.57640578225
289;EFVWa;SRI LANKA;ZWL;16514213.369097544
290;EFVWa;QATAR;ILS;8898.019016876524
291;EFVWa;LEBANON;PKR;1049426.695557049
292;EFVWa;UKRAINE;NZD;26785.065642556987
293;EFVWa;VIET NAM;HTG;1309317.4718965015
294;EFVWa;LEBANON;XPF;1006986.2787943159
295;ELYZ1;ICELAND;TND;2116.3191258343536
296;ELYZ1;MADAGASCAR;RWF;12105894.552482866
297;ELYZ1;ETHIOPIA;BOB;108139.98844763817
298;ELYZ1;JAPAN;RON;105183.47687402721
299;ELYZ1;BARBADOS;VND;73056126.57203464
300;ELYZ1;AUSTRALIA;VES;22154.83472520231
301;ELYZ1;MALAYSIA;CHF;20105.367112643886
302;ELYZ1;SEYCHELLES;KRW;6401963.341990199
303;ELYZ1;THAILAND;IRR;130781333.1133653
304;BMMYY;OMAN;QAR;8280.694444579627
305;BMMYY;PANAMA;BOB;21606.990791337295
306;BMMYY;NAMIBIA;NPR;250742.96574397507
307;BMMYY;NEW ZEALAND;CYP;288.4912974983618
308;BMMYY;TANZANIA, UNITED REPUBLIC OF;ZMW;17939.459984022917
309;BMMYY;QATAR;RUB;292123.86095623067
310;CLYZa;ALBANIA;BYR;576007942.7987571
311;HJabb;MEXICO;XPF;187282.96635761287
312;HJabb;FIJI;INR;16783.707798975734
313;HJabb;BARBADOS;IDR;-58585.4112606816
314;HJabb;GHANA;DKK;6703.1112570135265
315;HJabb;TOGO;AUD;538.2741357021778
316;HJabb;MOZAMBIQUE;ZWL;716375.3622115048
317;HJabb;SOLOMON ISLANDS;SCR;8341.184116162689
318;HJabb;IRAN (ISLAMIC REPUBLIC OF);PYG;14510471.922320375
319;HJabb;MALAWI;CNY;2026.5181904612573
320;HJabb;MADAGASCAR;RWF;4686378.784043569
321;HJabb;ALBANIA;ANG;8720.739672502872
322;HJabb;KOREA, REPUBLIC OF;SCR;68190.4846243577
323;HJabb;KOREA, REPUBLIC OF;SLL;13431247.540432883
324;FJXZc;URUGUAY;SAR;14793.74238887815
