Client;Country;Currency;Transaction
CLZ22;SAUDI ARABIA;MYR;13968.097279727677
CLZ22;CZECH REPUBLIC;JPY;957944.7735502373
CLZ22;KOREA, REPUBLIC OF;XCD;52127.42203253179
CLZ22;DENMARK;MMK;1256701.7128098626
CLZ22;ALBANIA;KZT;2723649.1944458685
CLZ22;SOMALIA;MVR;202263.24371239555
CLZ22;TURKEY;HNL;319597.3893752657
CLZ22;THAILAND;SCR;101458.00007546223
CLZ22;ETHIOPIA;TRY;148470.96709828614
CLZ22;LATVIA;CRC;9901216.95554815
CLZ22;POLAND;AUD;11484.996953369331
CLZ22;DOMINICA;PEN;105323.4667976354
CLZ22;SAUDI ARABIA;UGX;3734111.996898343
CLZ22;CHILE;KRW;14234595.100732468
CLZ22;NAMIBIA;SOS;1382252.8481808142
CLZ22;EGYPT;BND;11961.749692506162
CLZ22;SAUDI ARABIA;KWD;2991.7604918251104
BGHHL;MOZAMBIQUE;HUF;69130.43355142184
BGHHL;ANGOLA;SOS;1682717.5225783435
BGHHL;CAYMAN ISLANDS;SCR;8996.984844410303
BGHHL;BARBADOS;JMD;271841.9229543675
BGHHL;SAO TOME AND PRINCIPE;JOD;1738.5149064850748
BGHHL;EL SALVADOR;ISK;292523.5646412609
BGHHL;ZIMBABWE;OMR;725.6582711701053
BGHHL;PAKISTAN;BTN;48615.26849705101
BGHHL;SWITZERLAND;SRD;7038.623768696175
BGHHL;ZAMBIA;ALL;176225.69420793088
BGHHL;UNITED KINGDOM;AUD;2342.8591144118477
BGHHL;SAMOA;MVR;19610.10966531312
DJ223;SIERRA LEONE;CHF;3334.5500869068637
EEHL1;BRAZIL;ILS;40050.440172309194
EEHL1;POLAND;JPY;1442999.8437394958
EEHL1;DOMINICA;VUV;635268.7661105224
EEHL1;LAO PEOPLE'S DEMOCRATIC REP;BND;7677.478447070099
EEHL1;CAPE VERDE;BZD;26610.015426013993
EEHL1;ALBANIA;QAR;33228.47942845065
EEHL1;ETHIOPIA;DKK;43675.77045673744
