;Client;Country;Currency;Transaction
0;BGV23;TANZANIA, UNITED REPUBLIC OF;BDT;261757.89940925315
1;BGV23;GUINEA;XAF;1077488.2962950228
2;BGV23;CYPRUS;FJD;1572.7730300011021
3;BGV23;DJIBOUTI;PHP;131901.44871801918
4;BGV23;SIERRA LEONE;BDT;400940.8369471971
5;BGV23;SRI LANKA;MXN;540.9389241530596
6;BGV23;CHILE;WST;3752.8974018637255
7;BGV23;LAO PEOPLE'S DEMOCRATIC REP;NPR;425077.1739477817
8;BGV23;MALAYSIA;AED;9338.039653052336
9;BGV23;SIERRA LEONE;CZK;5458.52839741943
10;BGV23;SUDAN;MRO;531685.0398809545
11;BGV23;GUINEA;BBD;355.16635244971815
12;BGV23;CYPRUS;HKD;12398.35173561892
13;BGV23;SOLOMON ISLANDS;GHS;36818.452034227244
14;BGV23;LIBERIA;LYD;2324.512676638896
15;BGV23;BARBADOS;IQD;4186784.035631205
16;BDDDG;SYRIAN ARAB REPUBLIC;BND;96.63779198248331
17;BDDDG;SUDAN;BTN;69508.69232105985
18;BDDDG;SUDAN;GHS;12299.093694132896
19;BDDDG;TONGA;RUB;3201.7739350530987
20;BDDDG;PAPUA NEW GUINEA;BHD;211.37481047168492
21;BDDDG;BELARUS;NOK;3483.4901584678755
22;BDDDG;TAIWAN, PROVINCE OF CHINA;UAH;12128.357853212243
23;BDDDG;SEYCHELLES;HUF;20537.031095525494
24;BDDDG;THAILAND;SLL;12331200.822100244
25;BDDDG;KOREA, REPUBLIC OF;ZWL;341640.4435817631
26;BDDDG;PERU;CRC;92919.60303103892
27;IJNc1;LIBERIA;PES;3261474.2609269475
28;IJNc1;ICELAND;PLN;21445.31627646601
29;IJNc1;VANUATU;DZD;1927355.773495472
30;IJNc1;CHINA;PEN;18318.453014579067
31;IJNc1;PARAGUAY;MUR;251487.98481777872
32;IJNc1;BRAZIL;RUB;706120.1348149785
33;IJNc1;POLAND;BTN;600245.2426034333
34;GHKVZ;SYRIAN ARAB REPUBLIC;CHF;48874.69516168074
35;GHKVZ;GUINEA;NPR;4681571.41805602
36;GHKVZ;BRAZIL;GMD;3005651.69639071
37;GHKVZ;SINGAPORE;CNY;251366.11589595047
38;GHKVZ;BOTSWANA;QAR;180597.178026661
39;GHKVZ;SUDAN;TZS;152779029.80239034
40;GHKVZ;ROMANIA;KWD;22327.97897483302
41;GHKVZ;VIET NAM;JMD;1340311.6954586094
42;GHKVZ;LATVIA;EUR;7326.141939050447
43;GHKVZ;LIBYAN ARAB JAMAHIRIYA;HTG;7865290.919326474
44;AEGV2;NAMIBIA;IQD;19806365.964313373
45;AEGV2;UKRAINE;MZN;199551.27714532355
46;AEGV2;URUGUAY;PHP;371475.2487387416
47;AEGV2;SOLOMON ISLANDS;TOP;42213.53693315218
48;AEGV2;AZERBAIJAN;RSD;2272339.7793557104
49;CJJLa;LEBANON;CRC;4903248.311114555
50;CJJLa;NEPAL;PES;613932.0600886906
51;CJJLa;SRI LANKA;KYD;2453.583008052969
52;CJJLa;SINGAPORE;MRO;1930383.49905997
53;CJJLa;JORDAN;BBD;9191.208800662282
54;CJJLa;UNITED KINGDOM;RUB;498819.0882687617
55;CIIKZ;DENMARK;UAH;425231.63160443027
56;CIIKZ;SIERRA LEONE;IRR;329708023.9079965
57;CIIKZ;SINGAPORE;PHP;860870.4370187487
58;CIIKZ;TRINIDAD AND TOBAGO;GMD;562847.0132192546
59;CIIKZ;SWEDEN;CAD;125293.74087612417
60;CIIKZ;HONG KONG;DKK;577607.1368249123
61;INNWW;GAMBIA;BBD;19.534560938998084
62;INNWW;CHILE;SYP;12209.005984616044
63;INNWW;MADAGASCAR;CAD;13.89931563164039
64;INNWW;MYANMAR;RUB;1336.711636788253
65;INNWW;OMAN;BMD;38.51359743703145
66;INNWW;PERU;UYU;1418.4456897517855
67;INNWW;PANAMA;AZN;43.28541004665328
68;INNWW;SWITZERLAND;SBD;131.95850097604125
69;INNWW;VENEZUELA;BWP;49.824030143271266
70;INNWW;DOMINICAN REPUBLIC;ISK;3889.2403002943115
71;BDMNY;KOREA, REPUBLIC OF;TRY;70349.17088701182
72;DJWW3;LIBYAN ARAB JAMAHIRIYA;VND;47073971.094910964
73;DJWW3;AUSTRALIA;MUR;36544.44603258651
74;DJWW3;ARUBA;VES;25441.89140153151
75;DJWW3;HUNGARY;MOP;1566.1720474575175
76;DJWW3;MADAGASCAR;VUV;344220.46569182246
77;DJWW3;NICARAGUA;PKR;952342.0505319632
78;DJWW3;AZERBAIJAN;TTD;22775.41853141255
79;DJWW3;UKRAINE;BRL;17255.26052480567
80;DJWW3;ROMANIA;THB;107664.68110345979
81;DJWW3;CROATIA;SDG;2235050.94448045
82;DJWW3;GUATEMALA;AUD;3167.4576897770153
83;DJWW3;ANGOLA;VES;12370.12249103553
84;DJWW3;SAMOA;RSD;308290.27376930707
85;DJWW3;SURINAME;PEN;13903.610140615689
86;DJWW3;GAMBIA;MWK;1729771.9481098535
87;DJWW3;BRUNEI DARUSSALAM;MYR;7281.079962473889
88;DJWW3;PHILIPPINES;CRC;843000.97898704
89;DJWW3;GHANA;YER;166318.82939729257
90;DJWW3;BURUNDI;SEK;12181.40153019027
91;DNV13;SOMALIA;MOP;75217.6095285633
92;DNV13;BERMUDA;TZS;1618989.5046213132
93;DNV13;JAMAICA;SBD;34580.44775815332
94;DNV13;SWEDEN;QAR;5859.18875957107
95;DNV13;CAYMAN ISLANDS;NIO;420677.9332478039
96;DNV13;SUDAN;CYP;1747.879273428599
97;BBBCG;BELIZE;EGP;243251.39538394698
98;BBBCG;ANGOLA;TOP;2330.087203796241
99;BBBCG;COLOMBIA;NOK;50965.47233151969
100;BBBCG;PAKISTAN;NAD;195152.2034735979
101;BBBCG;BULGARIA;ETB;402824.72785293515
