Client;Country;Currency;Transaction
BBYZc;ALBANIA;ZMW;223062.5261492602
BBYZc;UNITED ARAB EMIRATES;ALL;2453437.758304387
GJbc2;NIGERIA;TND;108686.68410958085
GJbc2;LAO PEOPLE'S DEMOCRATIC REP;AUD;11531.399694014428
GJbc2;NEW ZEALAND;BDT;1159434.8004910077
GJbc2;TURKEY;MRO;12410884.083038434
GJbc2;PAPUA NEW GUINEA;MXN;37515.65714105341
GJbc2;NICARAGUA;BZD;66050.06325870747
GJbc2;PAPUA NEW GUINEA;HUF;6453765.566549509
GJbc2;BELIZE;KRW;21151557.405682858
GJbc2;GHANA;VUV;397456.23002329585
GJbc2;TURKEY;MOP;148024.089668143
GJbc2;MALAYSIA;BGN;73059.77403452367
GJbc2;BELARUS;XOF;5082523.1492220545
GJbc2;HONG KONG;JMD;3521245.586167991
GJbc2;SUDAN;STD;122700590.09988731
GJbc2;UKRAINE;MRO;13909977.64335553
GJbc2;FIJI;KWD;7872.995176300484
GJbc2;INDONESIA;PHP;2201711.2629491305
GJbc2;BRAZIL;KZT;18322848.293751784
GJbc2;LEBANON;GNF;155887934.73825482
GJbc2;COSTA RICA;BTN;2220431.706343622
IJJZb;CAYMAN ISLANDS;XPF;174079.3791309018
IJJZb;UNITED KINGDOM;AOA;73774.64067954132
IJJZb;MOROCCO;ZAR;15014.222113861568
IJJZb;HAITI;BBD;8950.082506845121
IJJZb;SWEDEN;YER;1290127.7135591193
IJJZb;EURO;AOA;2035610.149908889
IJJZb;MEXICO;CYP;3103.187179466128
IJJZb;PERU;GNF;23844697.570499443
IJJZb;NEPAL;SGD;6956.060061034914
IJJZb;TONGA;KYD;4129.794129679133
IJJZb;TONGA;YER;1386405.901138158
BDKK1;ALGERIA;ZAR;3734.8271206736795
BDKK1;INDONESIA;BWP;2451.4478569287044
GNYbc;MYANMAR;NGN;186257.219481712
GNYbc;CAPE VERDE;BWP;2728.1443951915085
GNYbc;BHUTAN;KHR;3549030.0535492552
GNYbc;ISRAEL;TND;1872.7887587666842
GNYbc;GUINEA;TTD;4797.870804670943
GNYbc;MALAYSIA;TZS;1628517.047951307
GNYbc;ETHIOPIA;PKR;7003.341361698266
GNYbc;CENTRAL AFRICAN REPUBLIC;LBP;1579910.773447555
GNYbc;FIJI;GBP;595.7055035146918
GNYbc;DOMINICA;BZD;2634.483941141442
GNYbc;PAKISTAN;PHP;15000.791962940462
GNYbc;ROMANIA;BOB;225.86672735431577
GNYbc;CZECH REPUBLIC;BIF;814869.1959825953
GNYbc;LATVIA;ZMW;22116.581271781008
GNYbc;CZECH REPUBLIC;GYD;250957.67742242786
GNYbc;LIBYAN ARAB JAMAHIRIYA;VES;20701.20522930095
FGLXW;INDONESIA;VES;160216.233278013
FGLXW;CYPRUS;LRD;80152.7149878801
FGLXW;SWEDEN;DJF;8540.035040476656
FGLXW;DJIBOUTI;THB;4734.731200566223
FGLXW;CYPRUS;BZD;14523.373742997424
FGLXW;VANUATU;BWP;58411.3046440404
FGLXW;OMAN;TND;28301.538862672776
FGLXW;LIBYAN ARAB JAMAHIRIYA;RUB;115389.66933850333
FGLXW;AZERBAIJAN;MUR;97170.65846835768
FGLXW;MALAYSIA;MVR;88620.67620556596
FGLXW;ZAMBIA;LYD;27749.222837573965
FGLXW;LAO PEOPLE'S DEMOCRATIC REP;LBP;10792273.45743589
FGLXW;LIBERIA;SDG;2212986.3268033946
ADDWb;DENMARK;VUV;793746.3875184646
ADDWb;TONGA;MYR;37045.265853347984
ADDWb;CROATIA;SYP;4239484.644277814
ADDWb;BRUNEI DARUSSALAM;COP;42158452.47014248
ADDWb;KUWAIT;EUR;1638.2412677891648
ADDWb;ARUBA;SYP;3094791.031306897
ADDWb;VENEZUELA;SYP;708530.7154693245
ADDWb;CYPRUS;PGK;1053.6401201635776
ADDWb;AZERBAIJAN;MZN;234803.045264803
ADDWb;LIBYAN ARAB JAMAHIRIYA;WST;3093.880001531719
AFKMV;HUNGARY;ALL;18632.561583716724
AFKMV;GUATEMALA;MGA;7952125.05953135
