;Client;Country;Currency;Transaction
0;ACV22;MADAGASCAR;PKR;298286.4250678902
1;ACV22;HAITI;MAD;8006.7392362076025
2;ACV22;NEPAL;KES;193595.56186859315
3;ACV22;MOROCCO;VES;75607.57947406046
4;ACV22;MALDIVES;TRY;65015.743789120366
5;ACV22;CHINA;SGD;596.6914260906723
6;ACV22;MOZAMBIQUE;CLP;1273576.847459821
7;ACV22;CHINA;MYR;9142.435819148468
8;ACV22;TURKEY;MZN;306124.3962249072
9;FNXa3;SAO TOME AND PRINCIPE;HTG;450127.39238289313
10;FNXa3;MYANMAR;GNF;142339015.23576593
11;FNXa3;UNITED KINGDOM;RSD;480624.1685989627
12;FNXa3;JAPAN;KRW;11983712.039483193
13;FNXa3;AUSTRALIA;TZS;19290326.294161014
14;FNXa3;FRENCH POLYNESIA;UGX;6277183.280900335
15;AAKXY;ARUBA;NAD;122558.16757611281
16;AAKXY;JAPAN;BOB;74269.98819678376
17;AAKXY;COLOMBIA;SZL;174552.5416993122
18;AAKXY;SWITZERLAND;TZS;5194850.953143163
19;AAKXY;TONGA;STD;252048530.84431165
20;AAKXY;SUDAN;SBD;42246.80378619745
21;AAKXY;DOMINICAN REPUBLIC;BHD;1249.128156607806
22;AAKXY;DOMINICA;UYU;502119.02663383837
23;AAKXY;MACAU;TZS;24952706.33133248
24;AAKXY;BRAZIL;XCD;26795.6852898011
25;AAKXY;SUDAN;BTN;803236.2491711001
26;AAKXY;BULGARIA;GYD;1825924.1475838656
27;AAKXY;TUNISIA;MYR;8598.857937567953
28;AAKXY;ZIMBABWE;XPF;1768836.6856600018
29;BJJMN;HAITI;SAR;5933.563824386041
30;BJJMN;MEXICO;MWK;53116.07803205122
31;BJJMN;SAMOA;XOF;438015.79011959257
32;BJJMN;NEPAL;VUV;109376.55174438875
33;BJJMN;BURUNDI;ALL;357058.84242012684
34;BJJMN;UNITED ARAB EMIRATES;HUF;1100830.6573533567
35;CCCCI;NEW ZEALAND;ZAR;204212.5419828273
36;CCCCI;NIGERIA;GNF;75414623.91346732
37;CCCCI;BURUNDI;BSD;9354.091209702345
38;CCCCI;ICELAND;AOA;193769.48457763597
39;CCCCI;PANAMA;GYD;1604235.724859953
40;CCCCI;UGANDA;GHS;42434.09988300441
41;CCCCI;ROMANIA;XCD;2954.5928608832337
42;CCCCI;VIET NAM;ISK;1805480.960447695
43;CCCCI;SEYCHELLES;PHP;315229.37072912906
44;CCCCI;YEMEN;RUB;934288.8909981113
45;CCCCI;KOREA, REPUBLIC OF;UAH;14437.95479546126
46;CCCCI;CHINA;ZMW;78.54422049632376
47;CCCCI;ETHIOPIA;PHP;325403.8691274129
48;CCCCI;SINGAPORE;RSD;1492447.2669587194
49;CCCCI;NORWAY;UYU;136842.1318371088
50;CCCCI;RWANDA;BHD;3853.8893517148167
51;CCCCI;DOMINICA;GMD;938620.8105145725
52;FFMV1;MOROCCO;BRL;1693.5768733080881
53;FFMV1;AUSTRALIA;MGA;13191375.318365514
54;FFMV1;ALGERIA;CNY;29386.958777411048
55;FFMV1;DJIBOUTI;OMR;828.8637684719613
56;FFMV1;GHANA;MUR;24899.055956252778
57;FFMV1;SIERRA LEONE;MZN;52163.3535987871
58;FFMV1;YEMEN;THB;136014.33394030028
59;FFMV1;KUWAIT;CHF;4468.248514674813
60;FFMV1;TANZANIA, UNITED REPUBLIC OF;QAR;8058.350302092132
61;FFMV1;MOZAMBIQUE;NOK;15321.166778519073
62;FFMV1;BERMUDA;BOB;5318.8376177162245
63;FFMV1;RUSSIAN FEDERATION;RWF;3412189.3465080895
64;FFMV1;BULGARIA;KHR;4093737.3986960277
65;FFMV1;MALAWI;MXN;46709.052658893
66;FFMV1;VANUATU;CYP;1796.8676618373293
67;FFMV1;CYPRUS;SGD;2583.589597228507
68;FFMV1;MAURITIUS;HNL;12390.804182798476
69;FFMV1;ZAMBIA;NPR;324959.40523677523
70;FFMV1;SWEDEN;DKK;9604.965613692426
71;FFMV1;MADAGASCAR;TWD;116710.22047734313
72;JMYYY;ZAMBIA;XPF;950845.4968775039
73;JMYYY;TONGA;PHP;90590.51817953867
74;JMYYY;ISRAEL;ZWL;5793203.786029683
75;JMYYY;MADAGASCAR;LVL;4580.2025938069755
76;JMYYY;AUSTRALIA;NOK;42733.751003896214
77;JMYYY;LATVIA;BMD;5267.674642247939
78;JMYYY;BRAZIL;PGK;7358.673254548858
79;JMYYY;UNITED KINGDOM;PEN;14716.547427730542
80;JMYYY;ETHIOPIA;HRK;72885.7172483729
81;JMYYY;GUINEA;BGN;875.3678618012714
82;CFGNb;COSTA RICA;ISK;26195.52489169087
83;GGXW3;PANAMA;LAK;638653833.8046064
84;GGXW3;PHILIPPINES;VND;1269078447.809551
85;GGXW3;ARUBA;INR;4480401.514639258
86;GGXW3;COLOMBIA;HUF;25326953.917240582
87;GGXW3;DENMARK;SOS;16939972.3998931
88;GGXW3;UNITED ARAB EMIRATES;JPY;11064523.437691767
89;GGXW3;ETHIOPIA;TWD;782848.962028114
90;GGXW3;UNITED ARAB EMIRATES;CHF;22104.712538148277
91;GGXW3;ZIMBABWE;TOP;105116.80964019752
92;GGXW3;PANAMA;LAK;808070335.638293
93;GGXW3;SOUTH AFRICA;AUD;37550.96550224767
94;GGXW3;ISRAEL;CHF;8779.230800667947
95;GGXW3;NORWAY;BGN;89767.2361794504
96;AEI22;GAMBIA;BTN;68372.23304633386
97;AEI22;BOLIVIA;ZWL;318494.7796275115
98;AEI22;COSTA RICA;KYD;204.8098552422449
99;AEI22;ICELAND;KES;125909.05303517019
100;AEI22;LATVIA;MUR;34008.555608280236
101;AEI22;UKRAINE;SOS;47997.732218763325
102;AEI22;ALBANIA;TRY;985.2209701834056
103;AEI22;MYANMAR;HNL;33628.65598819
104;AEI22;HUNGARY;JPY;9896.483605854695
105;AEI22;KUWAIT;PHP;784.3373320160565
106;AEI22;MALDIVES;BHD;367.90030134306704
107;AEI22;QATAR;MMK;916439.0449536021
108;AEI22;HONG KONG;BHD;358.47497161297565
109;AEI22;RUSSIAN FEDERATION;PES;222554.08274557872
110;AEI22;BELARUS;MYR;5358.8964905417415
111;BDDKW;CENTRAL AFRICAN REPUBLIC;SVC;6802.39249898784
112;BDDKW;SIERRA LEONE;JMD;73771.30151433781
113;BDDKW;AZERBAIJAN;NGN;22585.7302671608
114;BDDKW;CROATIA;PGK;709.3501448235336
115;BDDKW;SWITZERLAND;PEN;2773.8137188458563
116;BDDKW;PHILIPPINES;DOP;43865.67640377636
117;BDDKW;SAMOA;PKR;2414.9415594049005
118;BDDKW;CAPE VERDE;MYR;1995.3096798471843
119;BDDKW;BOLIVIA;HKD;399.08426860303
120;BDDKW;MOZAMBIQUE;GTQ;2392.7433184140646
121;BDDKW;CENTRAL AFRICAN REPUBLIC;MWK;311305.21032765834
122;BDDKW;GUATEMALA;SYP;24066.390373852424
123;BDDKW;FIJI;KWD;236.98744680618216
124;BDDKW;CAMBODIA;INR;38195.62554631797
125;BDDKW;LEBANON;MGA;1793535.6458609458
126;BDDKW;PARAGUAY;WST;2093.3521801974966
127;ADLYc;TAIWAN, PROVINCE OF CHINA;OMR;3230.040202898139
128;ADLYc;LEBANON;MVR;191653.4758858313
129;BZZc1;BAHAMAS;DZD;425180.63998900144
130;BZZc1;LATVIA;JPY;842748.8158549031
131;EJKVZ;FIJI;TND;6232.450086247861
132;EJKVZ;IRAN (ISLAMIC REPUBLIC OF);VES;10847.002226356566
133;EJKVZ;JAMAICA;BRL;9678.734442722376
134;EJKVZ;LIBYAN ARAB JAMAHIRIYA;WST;3878.122318617629
135;EJKVZ;BAHRAIN;WST;7916.489296450488
136;EJKVZ;BANGLADESH;MOP;3019.392513222523
137;EJKVZ;TRINIDAD AND TOBAGO;ISK;205553.93614765062
138;EJKVZ;SINGAPORE;ARS;679310.4030393092
139;EJKVZ;CAYMAN ISLANDS;HUF;323931.4237293006
140;EJKVZ;HAITI;NIO;4225.823408221161
141;EJKVZ;IRAQ;AOA;223014.44568429946
142;EJKVZ;ZIMBABWE;ZMW;50549.568618291276
143;EJKVZ;CANADA;MGA;12309596.433952127
144;EJKVZ;IRAQ;PAB;1096.146032651437
145;HVY13;VIET NAM;XOF;433274.5889030932
146;HVY13;PANAMA;IQD;4841580.053536981
147;HVY13;GHANA;RON;4746.089795846031
148;HVY13;KUWAIT;QAR;18926.76982207461
149;HVY13;CAPE VERDE;KES;302976.574957464
150;BNc12;LATVIA;PYG;82265101.0091362
151;BNc12;NORWAY;UAH;73970.42167187053
152;BNc12;DJIBOUTI;SDG;3669480.045550091
153;BNc12;TUNISIA;UYU;-617.5685511176714
154;BNc12;BOLIVIA;WST;16460.543835557717
155;BNc12;ETHIOPIA;ZMW;113655.3507073659
156;BNc12;MADAGASCAR;CRC;5319530.09024081
157;BNc12;HONG KONG;BTN;722723.971163718
158;BNc12;MADAGASCAR;CLP;7489362.83139267
159;BNc12;SWITZERLAND;BYR;29161105.27520013
160;BNc12;NEW ZEALAND;IRR;474882321.35735035
161;BNc12;SOMALIA;SGD;2774.58221788087
162;BNc12;LIBYAN ARAB JAMAHIRIYA;LKR;2274563.4442966194
163;BNc12;SOUTH AFRICA;MGA;41522986.1283085
164;BNc12;CAMBODIA;GYD;1241752.7637110539
165;BNc12;CAPE VERDE;XOF;5867883.678901074
166;BNc12;KAZAKHSTAN;KZT;5564182.04668679
167;BNc12;MALAYSIA;MMK;19796318.48689166
168;BNc12;LAO PEOPLE'S DEMOCRATIC REP;KES;1145686.5541540966
169;BNc12;ZAMBIA;SYP;2541539.2850395828
170;AADL3;CAPE VERDE;CZK;167268.15003596997
171;AADL3;GAMBIA;PYG;27244627.340227973
172;AADL3;CENTRAL AFRICAN REPUBLIC;CRC;26497057.745153356
173;AADL3;RUSSIAN FEDERATION;LVL;4155.212845683545
174;AADL3;GUINEA;MVR;549277.3375631276
175;AADL3;KUWAIT;VES;999531.854050561
176;AADL3;BRUNEI DARUSSALAM;BZD;54894.68924735216
177;AADL3;NETHERLANDS ANTILLES;SAR;40880.74043184135
178;AADL3;SWITZERLAND;LYD;60074.97681837318
179;AADL3;SRI LANKA;IDR;202265000.57926458
180;AADL3;ARUBA;LYD;77796.07522349119
181;AADL3;FIJI;UAH;913634.3420999036
182;AADL3;NEW ZEALAND;NGN;14367715.612873508
183;AADL3;PERU;GTQ;150389.94609135258
184;AADL3;SUDAN;ISK;1318258.7632515132
185;AADL3;SOMALIA;GMD;1727562.222198829
186;AADL3;NEW ZEALAND;MMK;55555659.507923454
187;AADL3;CZECH REPUBLIC;KZT;17142212.13169565
188;AFK12;ZAMBIA;SVC;39930.32852401382
189;AFK12;CHINA;LKR;1684951.2560530165
190;AFK12;BHUTAN;VND;21904929.506096035
191;AFK12;SWEDEN;MXN;16926.27772484617
192;AFK12;BAHRAIN;MWK;1827274.943732066
193;AFK12;HUNGARY;AZN;2548.574415184864
194;AFK12;BERMUDA;DOP;216527.36820385527
195;AFK12;UKRAINE;CHF;312.01568520522574
196;AFK12;CHINA;BTN;236342.10246401973
197;AFK12;PERU;NGN;2118924.424343608
198;AFK12;MAURITANIA;SGD;2736.226861017749
199;AFK12;MACAU;CNY;19229.60229030704
200;AFK12;BAHRAIN;ETB;209256.27464497375
201;AFK12;SUDAN;PES;758139.2049094419
202;AFK12;CAYMAN ISLANDS;VND;4607123.077938534
203;AFK12;ZIMBABWE;DZD;791221.628842149
204;AFK12;QATAR;DJF;1094592.4718413209
205;AFK12;IRAQ;CLP;4695551.858414214
206;JMNN1;MAURITANIA;MYR;72613.59091149151
207;JMNN1;NEW ZEALAND;PLN;43879.112421036276
208;JMNN1;CENTRAL AFRICAN REPUBLIC;UGX;27860952.899291195
209;JMNN1;POLAND;OMR;3375.5153588679523
210;JMNN1;OMAN;FJD;32817.94458982216
211;JMNN1;QATAR;XCD;49965.633675167766
212;JMNN1;BURUNDI;EUR;15144.760040268297
213;JMNN1;COSTA RICA;ARS;3186901.7559310766
214;JMNN1;RWANDA;QAR;44364.888063196384
215;JMNN1;NICARAGUA;SLL;300328434.2441764
216;JMNN1;SWITZERLAND;DOP;370379.62099979265
217;JMNN1;SURINAME;BBD;22438.2458171088
