Client;Country;Currency;Transaction
FNNVb;HONG KONG;CZK;208692.1834146741
FNNVb;MADAGASCAR;KWD;1083.5497461506507
FNNVb;CAMBODIA;NPR;20666.585757862063
FNNVb;HONDURAS;OMR;3216.82072044132
FNNVb;AZERBAIJAN;GHS;9654.369649898345
FNNVb;ANGOLA;IRR;138969150.26318315
FNNVb;TRINIDAD AND TOBAGO;TWD;135073.8460978189
ACJMM;MALAWI;PES;11926615.941352962
ACJMM;YEMEN;SVC;493487.1587433409
ACJMM;BAHRAIN;BSD;-609.7138412201667
ACJMM;GUATEMALA;LYD;259724.41851835605
ACJMM;BELIZE;AWG;38323.30203833308
ACJMM;OMAN;PGK;23515.387751589875
ACJMM;KAZAKHSTAN;MGA;290352456.32789975
ACJMM;EL SALVADOR;NZD;93826.2899407342
ACJMM;QATAR;XPF;1475683.6992689713
ACJMM;MALDIVES;IDR;193940134.91267312
ACJMM;LEBANON;COP;141018101.27649283
ACJMM;BANGLADESH;SCR;556961.504744947
ACJMM;CHILE;ZWL;10803337.456386851
ACJMM;ARGENTINA;SAR;54172.987450989895
ACJMM;NETHERLANDS ANTILLES;GBP;7935.137764063913
ACJMM;NIGERIA;TWD;658385.660069944
ACJMM;PERU;SAR;193582.5062145947
ACJMM;PERU;SEK;173629.95880812197
ACJMM;PHILIPPINES;PYG;329356700.252358
ACJMM;COLOMBIA;LAK;68709807.56881216
BKNNb;PERU;GNF;34514115.263480075
BKNNb;SERBIA;IDR;58215315.87538161
BKNNb;BELARUS;BSD;6215.068523665426
BKNNb;NIGERIA;VES;37002.16376652131
BGLa1;BRUNEI DARUSSALAM;AED;14887.162497320021
BGLa1;AZERBAIJAN;ISK;515784.9150179934
BGLa1;BELIZE;VUV;533785.4328165599
BGLa1;UGANDA;AOA;1264062.7358525475
BGLa1;SRI LANKA;MZN;108943.05408698968
BGLa1;NEW ZEALAND;LKR;703651.1340593358
BGLa1;BULGARIA;LYD;11911.947030749201
CHHMa;OMAN;MMK;7326358.566983511
CHHMa;KENYA;ARS;2465298.6936929827
CHHMa;BRUNEI DARUSSALAM;HNL;317520.63561938424
CHHMa;FIJI;ZAR;75326.23844385687
CIZZ2;VENEZUELA;INR;252403.50336440094
CIZZ2;SEYCHELLES;NZD;611.7789649532843
CIZZ2;KAZAKHSTAN;KRW;1438827.3560579058
CIZZ2;MEXICO;XCD;18322.830920058364
CIZZ2;SINGAPORE;TTD;17217.743519081076
CIZZ2;DENMARK;KWD;1910.8119960458237
CIZZ2;MACAU;BMD;1732.7297622062151
CIZZ2;SEYCHELLES;COP;12521925.65144185
