;Client;Country;Currency;Transaction
0;BK222;SWITZERLAND;CHF;47.32990222727291
1;BK222;HONDURAS;CAD;5642.632372847526
2;BK222;FRENCH POLYNESIA;AED;959.931619809332
3;BK222;JAPAN;UAH;41299.6880705792
4;BK222;MADAGASCAR;UGX;5469486.403726549
5;BK222;GUYANA;HNL;143074.05572017716
6;BK222;YEMEN;XCD;11781.259792421446
7;BK222;HAITI;ANG;2164.4441118899463
8;BK222;BRAZIL;LRD;200867.6373172641
9;BK222;EL SALVADOR;BHD;1104.5502833823725
10;BK222;LEBANON;HRK;19904.411299953375
11;BK222;ROMANIA;LKR;957211.6114582164
12;BK222;SAO TOME AND PRINCIPE;AZN;10121.394828357721
13;BK222;NIGERIA;CRC;3637403.391111383
14;BK222;BOTSWANA;EGP;146463.01365248335
15;BK222;PAPUA NEW GUINEA;SVC;23278.951710209236
16;BK222;ARUBA;NPR;86013.86849391005
17;BK222;MAURITIUS;MOP;8044.377674649695
18;BK222;LIBYAN ARAB JAMAHIRIYA;PGK;2291.311309993876
19;JVYYb;GUINEA;IRR;16512867.13298278
20;JVYYb;HONDURAS;CRC;313782.15815793263
21;JVYYb;JORDAN;HRK;867.7816017477147
22;JVYYb;LAO PEOPLE'S DEMOCRATIC REP;THB;29749.57246630855
23;JVYYb;PAPUA NEW GUINEA;NPR;81184.03589199681
24;JVYYb;GUINEA;DKK;4314.522019914476
25;JVYYb;BARBADOS;NOK;4388.324236916341
26;JVYYb;TURKEY;PHP;21241.133254431177
27;JVYYb;PANAMA;GHS;11831.14626222723
28;JVYYb;SYRIAN ARAB REPUBLIC;KYD;639.227960714645
29;JVYYb;ZIMBABWE;OMR;71.24861675559006
30;JVYYb;ANGOLA;XAF;657686.6232759043
31;JKXYZ;TRINIDAD AND TOBAGO;TWD;878968.3280612677
32;JKXYZ;SAO TOME AND PRINCIPE;BND;17084.17870430655
33;BFLMc;SWITZERLAND;KZT;1540380.2338239073
34;BFLMc;TAIWAN, PROVINCE OF CHINA;SAR;16669.194391651028
35;BFLMc;UNITED KINGDOM;PAB;2024.195086175573
36;BFLMc;QATAR;ILS;9032.805143028087
37;BFLMc;MOZAMBIQUE;KHR;10555746.853137225
38;BFLMc;POLAND;LYD;18945.500347993064
39;BFLMc;SAMOA;CAD;4457.1167981205845
40;BFLMc;JAMAICA;BDT;283131.45258509537
41;BFLMc;QATAR;THB;85545.10148537463
42;BFLMc;SAMOA;XCD;2148.3478898313133
43;BFLMc;CROATIA;SCR;69121.69578014963
44;BFLMc;SAUDI ARABIA;MWK;1673221.814949168
45;BFLMc;SINGAPORE;NPR;433024.2744074766
46;BFLMc;TONGA;COP;26528237.316411376
47;BFLMc;JAPAN;NIO;99927.3926393358
48;BFLMc;CHILE;AED;18393.92858843448
49;BGJ11;BAHRAIN;GYD;421152.3716318883
50;BGJ11;EGYPT;LRD;157524.46309748088
51;BGJ11;ZIMBABWE;TZS;9261780.281816
52;BGJ11;SERBIA;LAK;73853473.23380733
53;BGJ11;MYANMAR;ETB;113951.16932067217
54;BGJ11;UKRAINE;GTQ;21530.13206953731
55;BGJ11;QATAR;AZN;5533.400698249009
56;BGJ11;ZAMBIA;BIF;3452483.119149851
