Client;Country;Currency;Transaction
DFJJM;HUNGARY;BMD;2090.05871611833
KNVY2;UNITED ARAB EMIRATES;BZD;682.0388506583278
MMb33;EL SALVADOR;LRD;715735.3128223094
MMb33;TONGA;VND;94531284.75043884
MMb33;SEYCHELLES;STD;431727555.0233427
MMb33;RUSSIAN FEDERATION;BDT;1161119.8873540962
AFFJM;SIERRA LEONE;KYD;62.50544430568621
AFFJM;MADAGASCAR;BSD;6292.752368298659
AFFJM;MAURITIUS;OMR;505.7076448933336
AFFJM;LAO PEOPLE'S DEMOCRATIC REP;SLL;111765815.56263536
AFFJM;JORDAN;BMD;6407.090452294836
AFFJM;AUSTRALIA;MGA;11691873.073127354
AFFJM;TONGA;JMD;47134.71006163125
AFFJM;ALBANIA;LRD;982266.5424961199
AFFJM;TAIWAN, PROVINCE OF CHINA;ANG;3778.243069859119
AFFJM;UNITED ARAB EMIRATES;LAK;26738885.716650903
AFFJM;LIBYAN ARAB JAMAHIRIYA;LKR;1278506.354887616
AFFJM;LIBERIA;TTD;21583.607208732737
DHJKK;JAPAN;CYP;1347.8152002847064
DHJKK;PHILIPPINES;PLN;4358.143218669147
DHJKK;CHINA;CHF;634.9067904287224
DHJKK;INDONESIA;MMK;2673782.927180004
DHJKK;ROMANIA;HRK;9313.9082302481
DHJKK;OMAN;ILS;5742.217408009679
DHJKK;BERMUDA;SRD;13799.963255062892
DHJKK;OMAN;GYD;88552.21216676393
DHJKK;KAZAKHSTAN;NPR;293099.65378354705
DHJKK;ETHIOPIA;AWG;1138.9480137878775
EELLM;TUNISIA;BMD;3430.4251009194563
EELLM;HUNGARY;HTG;203297.0271280028
EELLM;CANADA;NAD;11838.977397521649
EELLM;NAMIBIA;IDR;11837219.486548144
EELLM;GHANA;COP;7412933.324802007
EELLM;PERU;MOP;20862.27952185209
EELLM;GHANA;MAD;23501.371189883946
EELLM;PERU;NZD;8850.961112718607
EELLM;NICARAGUA;DKK;5159.590589245137
EELLM;SOUTH AFRICA;RUB;121312.18071622516
EELLM;PAKISTAN;RSD;563630.8008946643
EELLM;CAPE VERDE;AWG;2227.4529817699527
EELLM;IRAQ;PHP;117966.91502499535
EELLM;CAYMAN ISLANDS;TTD;3225.745558420752
EELLM;SOUTH AFRICA;MXN;26669.20169483221
EELLM;RWANDA;STD;5162502.356295156
BBJMX;HAITI;MYR;3233.3130389231337
BBJMX;TRINIDAD AND TOBAGO;WST;1323.363424935613
BBJMX;CHILE;NZD;1321.572483837222
BBJMX;DJIBOUTI;SDG;465412.3408902981
BBJMX;INDONESIA;KES;34764.56027865877
BBJMX;MAURITIUS;HNL;54459.86714347222
BBJMX;PANAMA;PYG;13422724.179582536
BBJMX;ISRAEL;XAF;971778.8283277894
BBJMX;SAMOA;HKD;2207.390490758004
BBJMX;HAITI;LBP;1796228.232721379
BBJMX;PARAGUAY;PKR;69578.97088514287
BBJMX;BHUTAN;NIO;54431.99977570202
BBJMX;INDONESIA;LVL;1649.6173259966833
BBJMX;SOMALIA;XPF;205604.51590233966
BBJMX;BULGARIA;TTD;18782.42399040064
WY133;COLOMBIA;SVC;206184.43301648233
WY133;KUWAIT;SDG;8087767.403695147
WY133;SOLOMON ISLANDS;PAB;15778.50896917887
WY133;SOLOMON ISLANDS;UGX;28673600.177427404
WY133;UKRAINE;AUD;4682.176733295158
WY133;MALAWI;HRK;76495.04106507103
WY133;CANADA;BGN;9422.966357284884
WY133;FRENCH POLYNESIA;CAD;5907.273766879129
WY133;MOZAMBIQUE;SAR;69691.88231628307
FXZZb;RUSSIAN FEDERATION;NZD;5811.798530897361
FXZZb;MYANMAR;SDG;2362425.4634822435
FXZZb;INDIA;CYP;1630.2696400517136
FXZZb;CAYMAN ISLANDS;SZL;58957.178396207564
FXZZb;VANUATU;LVL;388.6489410273892
FXZZb;SYRIAN ARAB REPUBLIC;CLP;795747.0003238777
FXZZb;RWANDA;ARS;741097.5602986014
FXZZb;CAPE VERDE;TTD;19249.533217073058
BGZa1;NETHERLANDS ANTILLES;IRR;973623732.8697163
BGZa1;HUNGARY;PAB;18342.865141990518
BGZa1;TUNISIA;BIF;20994940.05576744
BGZa1;MALDIVES;ALL;3380938.6542572295
BGZa1;MAURITANIA;SRD;378603.02049774985
BGZa1;TURKEY;JOD;9177.259127561489
BGZa1;TOGO;TND;17579.561498726594
BGZa1;ZAMBIA;JPY;3260229.1878429465
BGZa1;ZAMBIA;ZWL;20519727.342522424
BGZa1;SWEDEN;RON;100571.54282333469
BGZa1;EGYPT;BMD;23888.230432688546
BGZa1;GUYANA;VES;290248.83704543684
BGZa1;ICELAND;QAR;82315.85527344493
CIKN3;RUSSIAN FEDERATION;VUV;749002.2870074698
CIKN3;ISRAEL;GYD;3836230.2141934005
CIKN3;NORWAY;ISK;1875245.8680397163
CIKN3;NEW ZEALAND;BRL;108177.92215496868
CIKN3;GUINEA;COP;85155701.02601379
CIKN3;SOUTH AFRICA;CRC;8314564.957633979
CIKN3;MOZAMBIQUE;QAR;45151.660218869685
CIKN3;SIERRA LEONE;BHD;3002.3151665866985
CIKN3;ANGOLA;SBD;125874.18279340683
CIKN3;OMAN;PES;3012103.9973152354
CIKN3;GHANA;JPY;2969792.6278217775
CIKN3;JAMAICA;DZD;2093790.7301645395
CIKN3;PERU;TND;29636.099572281244
CIKN3;GUINEA;XAF;10583468.160937741
CIKN3;TRINIDAD AND TOBAGO;JPY;560574.5865022652
CIKN3;PANAMA;NPR;2506386.9401916596
CIKN3;CHINA;CYP;3858.0622018932645
FHLNW;EL SALVADOR;LKR;231970.38643710717
FHLNW;CZECH REPUBLIC;BOB;54993.35880586056
BBCV2;HONDURAS;ZAR;7945.072046793641
BBCV2;MALDIVES;RON;10557.08669361262
BBCV2;UGANDA;XAF;2791539.8180813543
ANccc;CROATIA;CLP;3318267.049735735
ANccc;LATVIA;MXN;116648.30800836204
ANccc;IRAQ;AED;25522.014902760366
ANccc;SUDAN;MVR;73153.64581275223
ANccc;SERBIA;SDG;4096080.7925149235
ANccc;NEW ZEALAND;CYP;2937.9169648095685
ANccc;TONGA;RSD;378420.29463906895
ANccc;SAMOA;NOK;58046.140128910665
ANccc;JAPAN;KZT;60629.15811966787
ANccc;INDIA;BMD;7165.575397779913
ANccc;SOUTH AFRICA;PKR;1631904.7371035446
ANccc;COSTA RICA;UAH;184109.46901611055
ANccc;MAURITANIA;CVE;473426.58440738736
ANccc;NEPAL;KYD;765.787424737131
DKKVa;GHANA;GMD;442276.8779551727
DKKVa;SOLOMON ISLANDS;NPR;979889.1291546435
DKKVa;SAMOA;MAD;38447.43549489461
DKKVa;GUINEA;ILS;43265.93611092772
DKKVa;COSTA RICA;ANG;16793.71021704962
DKKVa;QATAR;UGX;46739318.48290768
DKKVa;LAO PEOPLE'S DEMOCRATIC REP;MZN;451471.49592848547
DKKVa;INDIA;COP;20959843.890577417
DKKVa;BELARUS;PES;2343562.6513475603
DKKVa;GHANA;KRW;2924621.7529271785
DKKVa;GUATEMALA;BHD;676.0489615779134
DV122;MAURITIUS;BTN;84529.05133955077
DV122;PHILIPPINES;KWD;2204.318571113524
DV122;SAO TOME AND PRINCIPE;GNF;29719448.448054112
DV122;SAO TOME AND PRINCIPE;STD;147208777.36035627
DV122;EGYPT;PAB;5778.87952264261
DV122;EL SALVADOR;SAR;14196.278785173681
DV122;ISRAEL;AZN;3140.2106095134445
DV122;ZIMBABWE;GMD;210506.83818532593
DV122;BARBADOS;QAR;24283.39819792703
DV122;COLOMBIA;SLL;38485719.87543305
