Client;Country;Currency;Transaction
ACFX2;PAKISTAN;MRO;6420474.619745273
ACFX2;KOREA, REPUBLIC OF;RON;79775.77182618673
ACFX2;UNITED ARAB EMIRATES;BGN;28065.907549603035
ACFX2;SAUDI ARABIA;AED;63370.06104168345
ACFX2;SAMOA;IRR;585590186.5732712
ACFX2;SOUTH AFRICA;GBP;24149.79389238556
ACFX2;ETHIOPIA;EGP;679289.123387914
BEXbc;PAKISTAN;HRK;76598.44241000686
BEXbc;JORDAN;XCD;16504.73221847582
BEXbc;SIERRA LEONE;HTG;1140806.704167583
BEXbc;EURO;XOF;1432854.2583075634
BEXbc;CAYMAN ISLANDS;LVL;8543.938562461222
BEXbc;BAHAMAS;CLP;10591801.868702186
BEXbc;TRINIDAD AND TOBAGO;HUF;5432160.154904991
BEXbc;MALDIVES;ILS;23173.261111280477
BEXbc;INDONESIA;MXN;28554.865597134503
BEXbc;CHILE;EGP;384181.0787939489
BEXbc;ARGENTINA;PGK;31743.25607705493
BEXbc;TUNISIA;MZN;753707.1541135376
BEXbc;VANUATU;LAK;52472638.5524515
BEXbc;PARAGUAY;RUB;985092.1278741173
BEXbc;CZECH REPUBLIC;SDG;825001.1667312351
BEXbc;PERU;STD;385411300.1485846
BEXbc;MEXICO;PGK;6379.582524621271
HKNV1;VANUATU;COP;15911319.971661413
HKNV1;MAURITANIA;BDT;188997.11053331825
HKNV1;HUNGARY;IRR;3921269.0543089975
HKNV1;ARGENTINA;KWD;466.3948345309369
HKNV1;QATAR;MXN;40628.54262380567
HKNV1;ETHIOPIA;RON;15854.898468272746
HKNV1;GHANA;MYR;8660.249904692571
HKNV1;KAZAKHSTAN;SOS;1177959.470582969
HKNV1;ROMANIA;LBP;4206003.808071479
LYYc1;MYANMAR;GNF;18556289.148442145
LYYc1;LIBYAN ARAB JAMAHIRIYA;KES;37612.211703393325
LYYc1;UNITED KINGDOM;PHP;122143.0594128492
LYYc1;SAUDI ARABIA;SAR;8791.552775519942
LYYc1;CHINA;CZK;38488.942857339425
ILZZZ;IRAQ;BWP;96023.26129283984
WYZ13;SERBIA;EGP;558.7135498610681
WYZ13;SYRIAN ARAB REPUBLIC;HRK;114.13915348513856
WYZ13;NEW ZEALAND;DOP;980.887058435917
WYZ13;MAURITANIA;JPY;2048.9563031217344
WYZ13;CHILE;SRD;475.8730160413462
WYZ13;MAURITANIA;KES;1693.4043387469476
EM233;SWAZILAND;XPF;812997.2938739609
EM233;TAIWAN, PROVINCE OF CHINA;SAR;28150.974187088217
EM233;MOROCCO;QAR;6058.153371640566
EM233;NAMIBIA;ARS;9048.651520445976
EM233;BELIZE;PHP;173900.00393367675
EM233;FIJI;HRK;9358.286931710027
