;Client;Country;Currency;Transaction
0;AGHKc;NEPAL;MZN;193867.81991470023
1;AGHKc;TURKEY;CYP;1426.5269062818277
2;AGHKc;PERU;NPR;442796.9256307611
3;AGHKc;SRI LANKA;YER;1432141.4121985342
4;AGHKc;DJIBOUTI;BGN;7312.957284374751
5;AGHKc;BAHRAIN;CNY;8652.575350796642
6;AGHKc;ISRAEL;OMR;248.17705983956645
7;AGHKc;NAMIBIA;VES;104978.4707152892
8;AGHKc;ISRAEL;KYD;3184.8744331291223
9;AGHKc;YEMEN;BBD;501.2316704882694
10;AGHKc;URUGUAY;HNL;130636.43096201982
11;AGHKc;FRENCH POLYNESIA;BHD;1409.6919985343438
12;AGHKc;BOTSWANA;MWK;212913.68627097007
13;BNZZb;CHILE;KRW;18223051.317941677
14;BNZZb;SWITZERLAND;PHP;113674.60661902065
15;BNZZb;GHANA;BYR;488610520.68649936
16;BNZZb;BELIZE;HNL;252025.74898102498
17;BNZZb;SAMOA;MAD;139118.18329956578
18;BNZZb;BHUTAN;THB;395017.6674444292
19;BNZZb;SWAZILAND;SYP;6617963.482416863
20;BNZZb;HUNGARY;RUB;12941.24356680086
21;BNZZb;PAPUA NEW GUINEA;GMD;761459.6320538466
22;BNZZb;DOMINICAN REPUBLIC;YER;3580018.5930471504
23;BNZZb;NEW ZEALAND;NIO;882198.6185079968
24;BNZZb;MALAWI;ALL;26802.631800956362
25;BNZZb;MAURITIUS;RSD;1016167.1084587049
26;BNZZb;UGANDA;PHP;103031.4704986442
27;BNZZb;JAPAN;SVC;42671.00373093894
28;BNZZb;INDONESIA;MMK;35746246.91812599
29;BNZZb;BANGLADESH;GYD;3771483.971982399
30;KLNXa;UGANDA;UAH;56367.891638833426
31;KLNXa;CHILE;HKD;4174.893885900456
32;KLNXa;HUNGARY;RSD;84562.42386679567
33;KLNXa;MACAU;PKR;131267.68868975402
34;KLNXa;ROMANIA;TTD;7556.800610830282
35;KLNXa;ICELAND;SCR;11096.365294351981
36;KLNXa;OMAN;JOD;527.3302349665306
37;KLNXa;TOGO;AWG;189.1767862640497
38;KLNXa;HAITI;VES;29543.98599073311
39;KLNXa;MOZAMBIQUE;CHF;360.77598486908107
40;KLNXa;GHANA;ISK;163143.00486664823
41;KLNXa;LIBERIA;BZD;2367.351971182928
42;KLNXa;MOZAMBIQUE;KWD;169.05973131749488
43;KLNXa;TAIWAN, PROVINCE OF CHINA;VUV;86738.49385329883
44;KLNXa;POLAND;IQD;1485175.304746266
