Client;Country;Currency;Transaction
ABENN;VIET NAM;RSD;2648.013021032514
ABENN;POLAND;TZS;2136724.281908877
ABENN;SOUTH AFRICA;BBD;983.526158845324
ABENN;BELARUS;TTD;3569.2343625136755
ABENN;CAYMAN ISLANDS;TZS;200054.45856415434
ABENN;LIBERIA;TOP;87.7407837091494
ABENN;BRUNEI DARUSSALAM;MZN;45480.3108211488
ABENN;SWEDEN;SEK;11198.69983248223
ABENN;CAYMAN ISLANDS;IQD;1383302.5118351674
ABENN;MALAYSIA;VUV;26900.75583586889
ABENN;MYANMAR;WST;1889.1779470496804
ABENN;MADAGASCAR;KWD;189.26173198078126
ABENN;TONGA;SZL;16632.741508503506
EX222;NIGERIA;UGX;21341612.369360607
EX222;CROATIA;PAB;10424.497021852518
EX222;INDIA;PES;2057238.7027140127
EX222;INDIA;HTG;1089153.2469654302
EX222;PHILIPPINES;GHS;108498.69072266397
EX222;POLAND;JOD;3901.0151895393064
IIKKL;ARUBA;TRY;19438.41657584925
IIKKL;PANAMA;PAB;2501.7545410445073
IIKKL;URUGUAY;PLN;8962.499547698573
IIKKL;BARBADOS;PHP;378757.6610296065
IIKKL;DOMINICA;XOF;4022634.3656126233
IIKKL;SUDAN;KHR;13897583.574046696
IIKKL;KAZAKHSTAN;LAK;14932726.531366805
IIKKL;BOLIVIA;KWD;1333.5772790507415
IIKKL;QATAR;WST;20631.803583872315
IIKKL;IRAQ;CYP;1498.8836186858912
IIKKL;BELARUS;TRY;109858.5003018839
IIKKL;OMAN;TTD;37261.86809683979
IIKKL;SIERRA LEONE;KYD;3215.9924573239086
IIKKL;PERU;NGN;236286.61582630884
IIKKL;KENYA;PKR;1077642.7133040295
AJNYY;INDONESIA;BMD;11354.912535799103
AJNYY;DOMINICA;KZT;6792157.271081237
AJNYY;ANGOLA;TOP;9124.633491411849
AJNYY;GUYANA;GHS;290005.1090259224
JKZc3;SAO TOME AND PRINCIPE;TRY;16579.218622277036
JKZc3;RWANDA;TRY;11938.209256800868
JKZc3;ARUBA;MRO;254906.8598220258
JKZc3;PHILIPPINES;UGX;2961836.642742154
JKZc3;MOZAMBIQUE;RON;2621.061312484346
JKZc3;TAIWAN, PROVINCE OF CHINA;FJD;1906.0061443520033
GWZa2;BRUNEI DARUSSALAM;GNF;6296385.714032475
GWZa2;TONGA;THB;1167.706000239195
GWZa2;CAPE VERDE;RSD;19012.384380803538
GWZa2;ZIMBABWE;CZK;17288.182641188392
GWZa2;SERBIA;BMD;501.8730795664718
GWZa2;ARUBA;ANG;1271.2242901581033
GWZa2;MADAGASCAR;GBP;649.6685861822505
GWZa2;NICARAGUA;AWG;315.13146697854967
GWZa2;BRUNEI DARUSSALAM;CVE;45625.86949427042
