;Client;Country;Currency;Transaction
0;BHX22;BANGLADESH;OMR;269.0485199309939
1;BHX22;GHANA;PLN;5330.107237304976
2;BHX22;JORDAN;PAB;1006.1145347466809
3;BHX22;FIJI;AUD;2838.4802612566627
4;BHX22;HUNGARY;UAH;5086.1916330264985
5;BHX22;LEBANON;HTG;97483.7824720267
6;LMab1;DOMINICAN REPUBLIC;JMD;171637.85326530828
7;LMab1;VENEZUELA;BMD;1088.6553108706694
8;LMab1;SEYCHELLES;NGN;26636.801652579947
9;LMab1;MAURITIUS;OMR;457.34269124341466
10;LMab1;DOMINICAN REPUBLIC;IDR;16587341.773052368
11;LMab1;MAURITIUS;PLN;2930.4872668838634
12;LMab1;CANADA;DOP;45190.157744603355
13;LMab1;URUGUAY;BBD;1993.985968862433
14;LMab1;LATVIA;BOB;528.9207878102147
15;LMab1;HUNGARY;GBP;746.7658489386074
16;LMab1;TAIWAN, PROVINCE OF CHINA;UAH;24970.40898862629
17;LMab1;MACAU;EGP;29086.50183714808
18;LMab1;ZIMBABWE;EUR;402.68482781652517
19;LMab1;PARAGUAY;ILS;865.0023389704138
20;LMab1;CZECH REPUBLIC;NOK;7163.034324727655
21;LMab1;MADAGASCAR;ISK;122343.23451533576
22;LMab1;JAPAN;CHF;930.169945283314
23;LMab1;GUYANA;CAD;1086.8890147570687
24;LMab1;EGYPT;BBD;250.5997548528157
25;LMab1;SIERRA LEONE;TRY;4849.827140846001
26;AHIac;YEMEN;HRK;28902.987330760698
27;AHIac;THAILAND;LBP;4343487.978975269
28;AHIac;BELIZE;MXN;129357.70877774211
29;AHIac;HONG KONG;ETB;313996.7178166006
30;ADbb3;KOREA, REPUBLIC OF;YER;1115631.3805897918
31;ADbb3;INDIA;DJF;1491487.5963274657
32;ADbb3;SURINAME;CRC;4346933.618175674
33;ADbb3;ANGOLA;VES;23228.8546483029
34;FLXab;PANAMA;KZT;120872.66013015226
35;FLXab;MOZAMBIQUE;CRC;116920.15176698354
36;FLXab;DENMARK;CAD;155.6364717209913
37;FLXab;MALAWI;CZK;2061.8096567218577
38;FLXab;ZIMBABWE;DZD;51031.53314036495
39;FLXab;SIERRA LEONE;PKR;64753.171715783574
40;FLXab;SRI LANKA;THB;13060.389459866185
41;FLXab;URUGUAY;KHR;1147322.9613649512
42;FLXab;BARBADOS;NIO;32947.17604724754
43;FLXab;MALAWI;KWD;156.1206623960631
44;FLXab;HONG KONG;WST;1566.438589734311
45;FLXab;PAPUA NEW GUINEA;FJD;2125.9253106217593
46;FLXab;LIBERIA;PEN;3838.1604616248037
47;FLXab;NEW ZEALAND;BOB;5866.178459657023
48;FLXab;SIERRA LEONE;KRW;339202.05316232966
49;FLXab;DOMINICAN REPUBLIC;LVL;670.1211289105164
50;FLXab;NAMIBIA;STD;13903722.847579101
51;FLXab;BRUNEI DARUSSALAM;YER;176169.6819956745
52;FLXab;SAMOA;LYD;1642.3830022956292
53;FLXab;NORWAY;AOA;125594.90812069428
54;HHLMW;BULGARIA;ZWL;61985.816823292655
55;HHLMW;NEW ZEALAND;MYR;621.172762335857
56;HHLMW;KENYA;NIO;2857.589048628838
57;HHLMW;NETHERLANDS ANTILLES;EUR;139.3897441227191
58;HHLMW;ZIMBABWE;LYD;31.402362326996652
59;HHLMW;COSTA RICA;TOP;325.00049685996794
60;HHLMW;BURUNDI;VND;89706.88983987976
61;HHLMW;NIGERIA;DKK;1130.20138169237
62;CHHM1;MYANMAR;SVC;38233.68766058332
63;CHHM1;CENTRAL AFRICAN REPUBLIC;SZL;78264.19686872157
64;CHHM1;MAURITANIA;CZK;29473.588354133924
65;CHHM1;MALAYSIA;XPF;231872.19223329215
66;CHHM1;POLAND;XCD;12699.244521221515
67;CHHM1;TOGO;THB;131820.0884243182
68;CHHM1;MAURITANIA;MUR;203434.84563014886
69;CHHM1;DENMARK;BZD;5747.398036679326
70;CHHM1;VANUATU;AED;11569.022805831843
71;CHHM1;SWAZILAND;NPR;262069.1808199551
72;CHHM1;CENTRAL AFRICAN REPUBLIC;BND;5080.225040716354
73;BIIVY;BRAZIL;VES;24473.67321400807
74;BIIVY;SOLOMON ISLANDS;ARS;377157.83459249925
75;BIIVY;CROATIA;PLN;6173.944184627758
76;BIIVY;SAO TOME AND PRINCIPE;PAB;2358.2432161897946
77;BIIVY;MEXICO;KES;220301.30118166187
78;BIIVY;MOROCCO;TWD;19089.53907945703
79;BIIVY;PHILIPPINES;EGP;39700.70835812179
80;BIIVY;SOUTH AFRICA;INR;184506.0017087656
81;BIIVY;YEMEN;ANG;575.7045487573882
82;BIIVY;TURKEY;BOB;1026.667917543159
83;BIIVY;SOMALIA;PHP;6685.408634109805
84;BIIVY;CHILE;MUR;79524.26013595988
85;BIIVY;NAMIBIA;BYR;75727403.70035474
86;BIIVY;MAURITANIA;IDR;-421148.4576776326
87;BIIVY;ARUBA;ZMW;45486.41036828562
