Client;Country;Currency;Transaction
EFF23;MEXICO;BRL;16016.539696816604
EFF23;EGYPT;IRR;812029283.8028471
DGGLa;VANUATU;CHF;9822.573860427205
DGGLa;COSTA RICA;GNF;86471228.21125643
DGGLa;ICELAND;MYR;37241.256684796106
DGGLa;BELIZE;GNF;68410986.66095784
DGGLa;BAHRAIN;DKK;7718.899162760353
DGGLa;ALBANIA;MRO;3816640.846846527
DGGLa;SEYCHELLES;SEK;26548.20382141242
DGGLa;CYPRUS;KYD;2326.651361883949
DGGLa;UNITED KINGDOM;RSD;269115.20941137004
DGGLa;BAHAMAS;JMD;1511465.0878107222
DGGLa;BARBADOS;NIO;26106.37744723832
DGGLa;TONGA;SDG;1546005.5883334973
DGGLa;DOMINICAN REPUBLIC;UAH;402591.0248353552
DGGLa;ALGERIA;UAH;43765.89673278724
DGGLa;BOLIVIA;FJD;22563.987698441648
CFFaa;HONDURAS;AWG;49571.501263787744
AGKXX;LATVIA;LBP;765741.8496286406
GGHIK;POLAND;KES;35017.75894879698
GGHIK;NICARAGUA;GMD;57855.186951923504
GGHIK;TONGA;PEN;1320.0098859974307
GGHIK;PAKISTAN;KYD;1266.9985563839784
GGHIK;DOMINICA;CLP;1738338.6078565894
GHZc3;MOZAMBIQUE;YER;9803.979642338869
GHZc3;SERBIA;VES;1124.6208746758575
GHZc3;MACAU;BZD;122.89135052651115
GHZc3;SURINAME;BDT;7271.19117579449
GHZc3;VIET NAM;LAK;44885.6066027566
GHZc3;CENTRAL AFRICAN REPUBLIC;HKD;136.07269204220563
GHZc3;BULGARIA;KYD;57.92733016356649
GHZc3;ROMANIA;PKR;3868.041090382712
GHZc3;TURKEY;NIO;1612.9184605038563
GHZc3;PANAMA;ISK;7633.755536067641
GHZc3;GAMBIA;MVR;661.9802076648477
GHZc3;MACAU;BYR;1158792.448987477
CCNWZ;EURO;VND;42265993.49079787
CCNWZ;BERMUDA;UGX;14355575.202431126
CCNWZ;SWEDEN;WST;15805.660817251934
CCNWZ;EURO;TZS;1220451.7401962273
CCNWZ;HONG KONG;MGA;14478947.699754829
CCNWZ;SIERRA LEONE;PYG;9535225.633272106
CCNWZ;ALGERIA;HTG;618154.6466538099
CCNWZ;INDIA;DKK;15322.031492506127
CCNWZ;KAZAKHSTAN;XCD;17805.879162831377
CCNWZ;ARUBA;KYD;4447.3882805240455
CCNWZ;ARGENTINA;EUR;6004.308610712514
CCNWZ;EURO;PKR;1336286.3088016256
CCNWZ;JAMAICA;SRD;146513.56266916456
HKNXb;HONDURAS;UAH;161191.11292659203
HKNXb;FRENCH POLYNESIA;ZMW;75983.71748662659
HKNXb;GHANA;ARS;126389.1699916413
HKNXb;NORWAY;PKR;198227.96031067957
HKNXb;ANGOLA;BYR;14990501.451050373
HKNXb;POLAND;LRD;582796.9994259379
HKNXb;HAITI;COP;12132833.849201702
HKNXb;EL SALVADOR;MUR;116929.68951452545
HKNXb;IRAN (ISLAMIC REPUBLIC OF);NAD;55943.000239194815
HKNXb;FRENCH POLYNESIA;QAR;493.3696628449229
HKNXb;MALAWI;PGK;5245.3310653454055
HKNXb;GUYANA;COP;14206253.41124355
HKNXb;LIBYAN ARAB JAMAHIRIYA;BZD;7650.757453735819
HKNXb;TOGO;NPR;230573.2370447209
HKNXb;COLOMBIA;CAD;3244.391808193347
HKNXb;BELIZE;ANG;6422.443474694831
HKNXb;HONG KONG;RSD;324158.5263162654
HKNXb;PERU;IRR;119715886.8133685
HKNXb;FIJI;PAB;4253.380284303791
EGNWY;RWANDA;LKR;3568198.1179229794
EGNWY;DENMARK;BGN;17040.393766170906
EGNWY;MOZAMBIQUE;QAR;34853.055415377596
EGNWY;RUSSIAN FEDERATION;KRW;11806559.12513631
