;Client;Country;Currency;Transaction
0;AAFGM;SAMOA;SDG;715397.8220301394
1;AAFGM;CANADA;HKD;1597.9996297831815
2;AAFGM;TUNISIA;XOF;107845.0086874661
3;AAFGM;PERU;YER;223915.921319992
4;AAFGM;BARBADOS;KES;201414.54409137255
5;AAFGM;RWANDA;ILS;5763.417706850991
6;AAFGM;MACAU;MWK;576513.156589953
7;AAFGM;JAPAN;TWD;43949.75851448831
8;AAFGM;ALGERIA;MOP;7480.692163851787
9;AAFGM;BAHAMAS;TTD;5969.534516065328
10;AAFGM;ZIMBABWE;YER;305436.02984162356
11;AAFGM;SIERRA LEONE;MZN;40971.907864698005
12;AAFGM;GHANA;MAD;5041.059437847781
13;AAFGM;BANGLADESH;HTG;164014.03311899613
14;IJVYa;CZECH REPUBLIC;EUR;19860.32349640091
15;IJVYa;BRUNEI DARUSSALAM;MOP;159293.2799262579
16;IJVYa;BRUNEI DARUSSALAM;CHF;18512.066846986298
17;IJVYa;BURUNDI;KZT;5288389.599295757
18;IJVYa;SAUDI ARABIA;TOP;53212.17157096924
19;IJVYa;MYANMAR;ISK;845467.767790476
20;IJVYa;BAHRAIN;VES;136372.65003225682
21;IJVYa;SIERRA LEONE;PKR;1479539.859428248
22;XZZc1;KENYA;MOP;284586.339384073
23;XZZc1;NEW ZEALAND;ISK;516200.3898253164
24;XZZc1;LIBYAN ARAB JAMAHIRIYA;SBD;276044.8019276913
25;XZZc1;THAILAND;XAF;10560786.820253568
26;XZZc1;SAMOA;BRL;14943.394003457073
27;XZZc1;NEW ZEALAND;COP;136406580.26585025
28;XZZc1;HONG KONG;PAB;25322.066439212755
29;XZZc1;HUNGARY;BSD;8915.408957629199
30;XZZc1;SUDAN;ISK;3692727.100608169
31;XZZc1;EURO;XOF;16033625.921313576
32;XZZc1;KENYA;XCD;28228.012323436247
33;XZZc1;SINGAPORE;UGX;1017074.7314069055
34;XZZc1;IRAN (ISLAMIC REPUBLIC OF);PLN;168191.49536407623
35;JNX12;TRINIDAD AND TOBAGO;NZD;32523.61188045986
36;JNX12;CENTRAL AFRICAN REPUBLIC;DJF;1138962.0205096072
37;JNX12;BRUNEI DARUSSALAM;SLL;78485043.328072
38;JNX12;PAPUA NEW GUINEA;MMK;30363405.91154039
39;JNX12;TUNISIA;BIF;36304875.11710043
40;JNX12;JORDAN;YER;7543238.764986547
41;BJLL2;BHUTAN;MZN;354727.5192044332
42;BJLL2;ISRAEL;BMD;2158.0702782922444
43;BJLL2;ALGERIA;HNL;509331.72983803536
44;BJLL2;NAMIBIA;TND;43275.36550439879
45;KXZZ3;NIGERIA;EUR;10312.437001229637
46;KXZZ3;TUNISIA;DJF;323439.5623282303
47;KXZZ3;INDONESIA;GBP;569.9275202619076
48;KXZZ3;HUNGARY;HKD;28273.543719527086
49;KXZZ3;SOMALIA;CZK;297941.79353407817
50;KXZZ3;CENTRAL AFRICAN REPUBLIC;XAF;3159222.4230046375
51;KXZZ3;ZIMBABWE;KRW;8321271.6244352115
52;KXZZ3;MALDIVES;BZD;23096.867602986084
53;KXZZ3;ZIMBABWE;BWP;41052.19890355345
54;KXZZ3;DJIBOUTI;EGP;303223.059258098
55;KXZZ3;PAPUA NEW GUINEA;PKR;1880846.989643062
56;KXZZ3;PAKISTAN;SBD;12639.574981405214
57;KXZZ3;NORWAY;LAK;124954007.02232812
58;AKNN1;BERMUDA;IQD;17440340.688876174
59;AKNN1;LAO PEOPLE'S DEMOCRATIC REP;STD;35714273.10916724
60;AKNN1;ALGERIA;FJD;8561.051275530925
61;AKNN1;ANGOLA;LAK;191091501.325765
62;AKNN1;BULGARIA;XCD;19551.600115669244
63;AKNN1;VIET NAM;RSD;1140361.7898191623
64;AKNN1;MAURITANIA;BND;200.278184214886
65;AKNN1;CYPRUS;KWD;3329.2000048324053
66;AKNN1;MOROCCO;AOA;2209523.2456742856
67;AKNN1;ISRAEL;UGX;20148835.657866027
68;AKNN1;BURUNDI;NGN;1654221.6324043798
69;AKNN1;KOREA, REPUBLIC OF;SZL;44780.24329522848
70;AKNN1;SWAZILAND;QAR;12987.440334476525
71;AKNN1;ZAMBIA;HKD;73977.28845821804
72;AKNN1;CHILE;SDG;3349033.108240892
73;FJLMb;NAMIBIA;VND;168295520.83983323
74;FJLMb;EURO;MVR;96997.18772281431
75;FJLMb;ROMANIA;ARS;1200032.6695086802
76;FJLMb;ARUBA;NGN;2486957.249218274
77;FJLMb;NEW ZEALAND;XCD;17862.6856996562
78;FJLMb;IRAN (ISLAMIC REPUBLIC OF);MAD;27869.895597308518
79;FJLMb;DJIBOUTI;DJF;431129.52988849615
80;FJLMb;LIBERIA;UGX;19160535.749119345
81;FJLMb;BAHRAIN;ALL;723387.1344677194
82;FJLMb;COSTA RICA;BOB;9034.217220484517
83;FJLMb;UNITED KINGDOM;PKR;823111.9349358899
84;FJLMb;UKRAINE;INR;100646.46823573405
85;FJLMb;RWANDA;TOP;8303.109247869595
86;FJLMb;BERMUDA;MOP;46071.15696770444
87;FJLMb;ALGERIA;BZD;2956.250963028667
88;DFGY3;GUINEA;LKR;233758.7649746254
89;DFGY3;AUSTRALIA;EUR;722.5149812330652
90;CCEJX;UNITED KINGDOM;MGA;15027215.634570245
91;CCEJX;MALAYSIA;XOF;1194623.7954652924
92;CCEJX;IRAN (ISLAMIC REPUBLIC OF);BIF;18359422.89345041
93;CCEJX;CYPRUS;LRD;2079708.4399077683
94;CCEJX;ALBANIA;KWD;3002.372303449969
95;CCEJX;ZIMBABWE;LAK;185052871.83932015
96;CCEJX;GUYANA;MRO;4951075.420407744
97;CCEJX;POLAND;GHS;152211.84971065476
98;CCEJX;BARBADOS;TOP;1365.2515343591558
99;CCEJX;GUINEA;ETB;468995.9802258699
100;CCEJX;SRI LANKA;PYG;27949979.273110855
101;CCEJX;TONGA;NAD;162976.29867860454
102;CCEJX;DOMINICA;NPR;2039971.471371133
103;CCEJX;CENTRAL AFRICAN REPUBLIC;OMR;2380.967732870015
104;CCEJX;INDONESIA;CLP;9734419.407878524
105;CCEJX;UNITED ARAB EMIRATES;CRC;654630.4872413762
106;CCEJX;SEYCHELLES;RWF;8707542.49175309
107;BBJL2;TURKEY;KES;571314.3577911893
108;BBJL2;NIGERIA;MAD;14736.42149413885
109;BBJL2;BARBADOS;BWP;62207.265435741145
110;BBJL2;CHINA;NOK;26292.811599580902
111;BBJL2;ZIMBABWE;XOF;213161.93823548913
112;BBJL2;MADAGASCAR;CAD;1605.5438195166962
113;BBJL2;BOLIVIA;SZL;89990.7074791622
114;BBJL2;TURKEY;TND;13033.887685103571
115;BBJL2;PANAMA;HTG;211718.2249868633
116;BBJL2;KUWAIT;GHS;64827.70581516201
117;BBJL2;FIJI;EUR;3151.890429860564
118;BBJL2;CANADA;XOF;2441953.054874295
