Client;Country;Currency;Transaction
AAMMV;MAURITANIA;SYP;4911767.409881745
AAMMV;ARGENTINA;YER;2091673.9043535294
AAMMV;MADAGASCAR;DKK;27501.862916759244
AAMMV;KENYA;TZS;2837433.494650146
AAMMV;SEYCHELLES;VES;242965.16037031458
AAMMV;PAKISTAN;BGN;21834.801573207777
AAMMV;LEBANON;LRD;723796.8659831448
AAMMV;SYRIAN ARAB REPUBLIC;CHF;9399.292411098068
AAMMV;HAITI;DZD;1275351.9278890034
AAMMV;BELIZE;AWG;14490.2025361028
AAMMV;NEPAL;PHP;499411.6446349859
AAMMV;SAUDI ARABIA;DJF;1297461.5040132569
ABDD3;INDONESIA;UYU;907915.8687430802
ABDD3;CYPRUS;HRK;162442.03479322226
ABDD3;MADAGASCAR;XOF;22888449.37518122
ABDD3;GHANA;GYD;4832790.460780482
ABDD3;GUATEMALA;VUV;2159548.9303752067
ABDD3;IRAQ;PKR;5016516.500296404
ABDD3;UGANDA;ALL;1682734.3852286378
ABDD3;BAHRAIN;SLL;672959006.7337617
ABDD3;TAIWAN, PROVINCE OF CHINA;BSD;30931.78821149764
ABDD3;HONG KONG;CYP;10004.152122101266
ABDD3;POLAND;GMD;2320880.0889102216
ABDD3;SAMOA;IDR;491479232.7417644
DGWZ2;THAILAND;TOP;1081.6282220472365
DGWZ2;NEW ZEALAND;PGK;1595.1034117963734
DGWZ2;ALBANIA;STD;7925161.005194615
DGWZ2;INDIA;IDR;2535060.448289881
DGWZ2;INDIA;ZWL;275163.8894572174
DGWZ2;HUNGARY;EGP;12451.78492033462
DGWZ2;BURUNDI;SCR;9217.313798252457
DGWZ2;SWEDEN;GYD;11304.008423299456
DGWZ2;BOLIVIA;SGD;219.19219498186973
DGWZ2;LEBANON;PKR;173799.1861713544
DGWZ2;TUNISIA;IRR;8591889.274235522
DGWZ2;VANUATU;PKR;46037.196112676815
DGWZ2;EL SALVADOR;CAD;983.6498436325136
DGWZ2;ZIMBABWE;BSD;561.6202934003545
DGWZ2;BELIZE;CZK;19922.837205133033
CCGKK;LIBERIA;PYG;-198230.54360106017
CCGKK;SYRIAN ARAB REPUBLIC;KZT;3381170.4371316005
CCGKK;INDONESIA;EUR;9141.540473887082
CCGKK;MALDIVES;CLP;7360888.22390976
CCGKK;MYANMAR;HNL;32514.29618112381
CCGKK;IRAQ;DJF;487442.6600341993
CCGKK;ARUBA;MXN;213946.91955784574
CCGKK;FRENCH POLYNESIA;IDR;58231530.429642245
CCGKK;BOTSWANA;NPR;399453.448097316
CCGKK;SAUDI ARABIA;STD;256848657.45679805
DIIXZ;LIBYAN ARAB JAMAHIRIYA;SAR;23079.006754205042
DIIXZ;ZAMBIA;NZD;1675.119762789302
JJMXY;COSTA RICA;CAD;10003.897550607187
JJMXY;MALAWI;NGN;2243558.954873507
JJMXY;KENYA;GMD;225533.85337667895
JJMXY;SUDAN;SDG;4199491.734677213
JJMXY;TOGO;CZK;246493.00060087122
JJMXY;MYANMAR;LRD;596250.1267375159
JJMXY;FIJI;ZMW;17054.129718397122
JJMXY;PARAGUAY;RUB;804118.8996351286
JJMXY;CHINA;CNY;-959.7084397547947
JJMXY;MAURITANIA;ILS;44474.71666787285
JJMXY;PARAGUAY;KHR;50318179.518896945
JJMXY;SWAZILAND;MZN;249379.9646658393
JJMXY;SURINAME;CYP;27.109958995040074
JJMXY;NICARAGUA;BSD;6150.002543964681
JJMXY;VIET NAM;IRR;327439230.9473081
JJMXY;PERU;ETB;608462.6583622501
FKXa3;POLAND;NOK;43946.507180755274
FKXa3;TANZANIA, UNITED REPUBLIC OF;ETB;154524.03064077042
FKXa3;DJIBOUTI;ZAR;177501.71032021512
FKXa3;PERU;CHF;4403.242293880326
FKXa3;CROATIA;BWP;17226.968380452166
FKXa3;POLAND;UGX;19164866.53096998
FKXa3;PAPUA NEW GUINEA;QAR;22282.3715734876
FKXa3;CHINA;BOB;67707.91347272124
FKXa3;SIERRA LEONE;GNF;24950049.316832416
FKXa3;POLAND;NGN;2019817.0566265539
FKXa3;MYANMAR;BMD;3619.4274471292747
FKXa3;ZAMBIA;GTQ;64279.27344477358
FKXa3;JORDAN;SGD;14259.256732137139
FKXa3;LIBYAN ARAB JAMAHIRIYA;MAD;110844.6130098562
FKXa3;TAIWAN, PROVINCE OF CHINA;QAR;20425.507275696968
FKXa3;CYPRUS;CYP;2889.764790270367
FKXa3;BRUNEI DARUSSALAM;NGN;771982.1641555553
FKXa3;MYANMAR;CHF;9724.746044418109
JLLWc;EGYPT;NPR;529665.8906630196
JLLWc;VIET NAM;CLP;5155331.069419822
JLLWc;AZERBAIJAN;KZT;578931.6306177553
JLLWc;ZAMBIA;BZD;12012.759233943181
JLLWc;ROMANIA;SRD;135674.57583273054
JLLWc;POLAND;BRL;12089.227529665233
JLLWc;ALGERIA;ALL;496576.3013187398
JLLWc;CYPRUS;KRW;2952972.9272850836
BDabb;AUSTRALIA;HKD;4716.492886244441
BDabb;AUSTRALIA;UAH;7117.937882400766
BDabb;BANGLADESH;LKR;143184.3420783169
BDabb;CAPE VERDE;CVE;65913.71372999586
