;Client;Country;Currency;Transaction
0;DVVY1;DENMARK;MOP;11848.29165522685
1;DVVY1;BELIZE;INR;510496.31036629184
2;DVVY1;PANAMA;KYD;5785.422657867417
3;DVVY1;INDONESIA;FJD;447.48020067348733
4;DVVY1;HONG KONG;DJF;940031.1076765592
5;DVVY1;JORDAN;LAK;59375228.436349995
6;DVVY1;ARGENTINA;HRK;36987.82448047683
7;DVVY1;GHANA;JPY;1197771.3840063359
8;DVVY1;EGYPT;HUF;4505336.147383218
9;DVVY1;ALGERIA;ALL;381166.92336439784
10;DVVY1;MACAU;CAD;8584.74117874922
11;DVVY1;KENYA;LRD;1396711.5243103825
12;DVVY1;MYANMAR;TZS;22668067.03262789
13;DVVY1;TANZANIA, UNITED REPUBLIC OF;ZWL;4303574.875438277
14;AFIV2;LATVIA;WST;1369.646340211905
15;AFIV2;BRAZIL;JPY;59411.61343468828
16;AFIV2;TRINIDAD AND TOBAGO;BGN;2770.823560838766
17;AFIV2;IRAN (ISLAMIC REPUBLIC OF);AOA;920760.08863328
18;AFIV2;URUGUAY;MOP;15593.91691247662
19;AFIV2;SURINAME;GTQ;8413.314686787717
20;AFIV2;KENYA;ZWL;811425.3341479694
21;AFIV2;MOZAMBIQUE;THB;8911.227910552972
22;AFIV2;MALDIVES;KYD;502.5919599437746
23;AFIV2;MALAWI;PLN;5318.331871377387
24;AFIV2;LEBANON;ANG;2254.701644428895
25;AHLVc;CHILE;UAH;23442.112439360055
26;AHLVc;GAMBIA;JOD;263.33702637134087
27;AHLVc;BRAZIL;HTG;78223.20974823445
28;AHLVc;QATAR;BSD;149.71811319320818
29;AHLVc;FRENCH POLYNESIA;SAR;3001.1020937661933
30;AHLVc;NETHERLANDS ANTILLES;ALL;94967.62253757103
31;AHLVc;FIJI;BTN;76359.8676455106
32;AHLVc;SOUTH AFRICA;SCR;12818.273895576875
33;AHLVc;NETHERLANDS ANTILLES;PEN;536.326049012318
34;AHLVc;DOMINICA;LRD;31318.422473101473
35;AHLVc;BANGLADESH;SCR;8923.78299211598
36;JZZaa;CAPE VERDE;ETB;22383.67837456547
37;JZZaa;KENYA;XAF;1279606.1463067424
38;JZZaa;CYPRUS;TTD;25702.69533379963
39;JZZaa;BELIZE;LRD;1049017.6969577575
40;JZZaa;TAIWAN, PROVINCE OF CHINA;IQD;6675717.419587383
41;JZZaa;GAMBIA;MOP;47537.4819341185
42;JZZaa;JAPAN;WST;14453.610274941086
43;CDFW2;HONDURAS;MVR;443267.0795026716
44;CDFW2;GAMBIA;AZN;32941.312068914056
45;CDFW2;HUNGARY;KRW;53001916.344753906
46;CDFW2;MEXICO;GTQ;110129.3016088271
