;Client;Country;Currency;Transaction
0;MXY11;KOREA, REPUBLIC OF;MOP;345127.8777957611
1;MXY11;SYRIAN ARAB REPUBLIC;NOK;7125.689426982483
2;MXY11;EURO;BOB;245047.88192407612
3;MXY11;DOMINICAN REPUBLIC;LKR;9968657.257793564
4;MXY11;GHANA;PEN;147738.8469675801
5;MXY11;PAKISTAN;HNL;1263509.0957421819
6;MXY11;SINGAPORE;MXN;622919.2574360407
7;MXY11;RWANDA;PLN;221595.05852069054
8;MXY11;BRUNEI DARUSSALAM;XCD;132789.23778387014
9;MXY11;BOTSWANA;VES;1167896.0781667365
10;MXY11;HAITI;SAR;73354.40901013817
11;MXY11;SYRIAN ARAB REPUBLIC;HKD;335833.4527018843
12;MXY11;LIBYAN ARAB JAMAHIRIYA;CHF;8858.2780637018
13;MXY11;NIGERIA;TOP;125509.87607756288
14;MXY11;YEMEN;MZN;2520650.36780524
15;MXY11;MAURITANIA;TZS;22191528.146518268
16;IXYc2;PARAGUAY;NZD;17300.568081402398
17;IXYc2;KUWAIT;PGK;37403.45385509802
18;IXYc2;PERU;MZN;326833.96489399706
19;IXYc2;DJIBOUTI;FJD;14316.687876713699
20;IXYc2;BAHAMAS;SBD;8840.003430007508
21;IXYc2;POLAND;DZD;179861.59256855995
22;IXYc2;FRENCH POLYNESIA;JMD;411981.3593504686
23;IXYc2;GAMBIA;PKR;1631476.4265040979
24;IXYc2;SYRIAN ARAB REPUBLIC;GHS;20205.707522774497
25;IXYc2;BHUTAN;BND;13401.0160064585
26;IXYc2;MADAGASCAR;BMD;4478.752895457442
27;IXYc2;PARAGUAY;HRK;77345.77387873587
28;IXYc2;RUSSIAN FEDERATION;EGP;256270.58104393547
29;IXYc2;KOREA, REPUBLIC OF;PEN;27918.24398570398
30;IXYc2;MALDIVES;AED;20384.55419389488
31;IXYc2;SOUTH AFRICA;THB;436351.19218663994
32;IXYc2;SOUTH AFRICA;MZN;314526.7315725004
33;IXYc2;NORWAY;UGX;4104991.187388057
34;IXYc2;BANGLADESH;BOB;10791.545832839844
35;IXYc2;BAHRAIN;TOP;28576.361393436207
36;FGGac;EGYPT;SOS;16923372.672128107
37;FGGac;BULGARIA;TOP;29663.64612012215
38;FGGac;MOZAMBIQUE;LKR;4278354.814363171
39;FGGac;DJIBOUTI;ETB;853694.7882620362
40;FGGac;LAO PEOPLE'S DEMOCRATIC REP;BHD;11624.87834033361
41;FGGac;LAO PEOPLE'S DEMOCRATIC REP;BTN;2174210.987910376
42;FGGac;BURUNDI;SLL;168020833.26150233
43;FGGac;BAHRAIN;TOP;17771.534290252886
44;FGGac;EGYPT;ARS;5776420.520121318
45;FGGac;EGYPT;XCD;20780.798481793434
46;FGGac;LATVIA;LKR;6109850.65018777
47;FGGac;QATAR;SRD;490002.212753178
48;FGGac;EURO;HUF;1964173.5498675485
49;FGGac;JORDAN;RUB;987490.1723767464
50;FGGac;CAMBODIA;MGA;42590020.63544126
51;FGGac;LIBYAN ARAB JAMAHIRIYA;GMD;1876261.7839194944
52;FGGac;DOMINICAN REPUBLIC;TOP;13773.527017192024
53;FGGac;SWAZILAND;ZWL;13907779.760860376
54;EGLVc;DENMARK;JPY;165740.89023820893
55;EGLVc;UNITED KINGDOM;JPY;218117.57345646646
56;EGLVc;NIGERIA;CNY;30177.11168151782
57;EGLVc;NEPAL;BSD;289.8829007077207
58;EGLVc;LEBANON;BDT;6658.910895064642
59;EGLVc;RWANDA;KHR;742334.8533909015
60;EGLVc;TONGA;CRC;1086881.7649094264
61;FGGIM;BERMUDA;AED;17339.698671430913
62;FGGIM;URUGUAY;ILS;30232.407168028563
63;FGGIM;RWANDA;MRO;3533811.299024857
64;FGGIM;EL SALVADOR;BMD;3664.905803181743
65;FGGIM;PARAGUAY;LBP;15436007.62493761
66;FGGIM;UGANDA;DJF;859104.7405245472
67;FGGIM;SWAZILAND;OMR;1291.6877478194028
68;FGGIM;DOMINICAN REPUBLIC;HTG;800138.1705009043
69;FGGIM;LEBANON;CAD;7765.533391333767
70;FGGIM;INDIA;SLL;156389312.91890615
71;FGGIM;COLOMBIA;BTN;147352.22217724653
72;FGGIM;TOGO;ILS;6730.004045896933
73;FGGIM;PERU;MAD;13904.934469916341
74;FGGIM;VIET NAM;LRD;216851.7941966213
75;FGGIM;DJIBOUTI;BDT;925591.1445116061
76;EKMb2;ROMANIA;LAK;406857.21388777834
77;EKMb2;SERBIA;AWG;77.80547091817895
78;EKMb2;SAO TOME AND PRINCIPE;GNF;77428.13418757114
79;EKMb2;HONDURAS;GTQ;344.74433735241314
80;EKMb2;BANGLADESH;KYD;5.20170598359322
81;EKMb2;ETHIOPIA;GBP;25.635205800919383
82;GKVXb;MAURITIUS;BGN;760.9900271496155
83;GKVXb;VANUATU;NGN;475560.61030961375
84;GKVXb;BHUTAN;BMD;360.4065054828861
85;GKVXb;MOROCCO;CLP;1001061.6400975111
86;GKVXb;AZERBAIJAN;PKR;253601.8486865265
87;GKVXb;BANGLADESH;MOP;3066.391230434757
88;GKVXb;BOTSWANA;SYP;266236.6737273195
89;GKVXb;CROATIA;SEK;12467.78458438185
90;GKVXb;MADAGASCAR;BOB;5722.3421933435275
91;GKVXb;DJIBOUTI;UYU;56413.46880115857
92;GKVXb;PERU;BOB;11277.410706138993
93;GKVXb;EGYPT;THB;14222.059099242057
94;EKMb3;VANUATU;KZT;519742.08916878654
95;EKMb3;BOTSWANA;TTD;4653.826631341211
96;EKMb3;EURO;PGK;1946.1854208773536
97;EKMb3;GUINEA;SEK;7506.50643019959
98;EKMb3;ZAMBIA;MWK;1215392.780040498
99;EKMb3;SUDAN;MAD;1704.2148301265472
100;EKMb3;ANGOLA;LAK;13302961.0973361
101;EKMb3;DOMINICAN REPUBLIC;CZK;23333.890489596142
102;EKMb3;MAURITIUS;ANG;1692.3654793940032
103;EKMb3;SWEDEN;EGP;5438.179703875717
104;EKMb3;KENYA;ARS;105530.09176566315
105;EKMb3;LIBYAN ARAB JAMAHIRIYA;CAD;864.1635977957575
106;EKMb3;SWEDEN;VND;14840212.24265762
107;EKMb3;MAURITIUS;RWF;1132966.996675897
108;EKMb3;BRUNEI DARUSSALAM;LRD;6101.922106258555
109;EKMb3;SWAZILAND;LYD;5386.386112053248
110;EKMb3;COSTA RICA;HRK;366.868536542951
111;BCHVa;LAO PEOPLE'S DEMOCRATIC REP;ZAR;29682.802586265116
112;BCHVa;CAPE VERDE;SGD;3855.5155487125976
113;BCHVa;NETHERLANDS ANTILLES;RWF;8503493.841467109
114;BCHVa;BOTSWANA;KWD;1994.0632909754079
115;MVVXX;PARAGUAY;AZN;15314.748448581186
116;ALYZc;LEBANON;ZWL;4491900.712952768
117;ALYZc;OMAN;NZD;7191.073117710337
118;ALYZc;CANADA;TRY;58011.86974456497
119;ALYZc;ROMANIA;BMD;5888.554372481244
120;ALYZc;IRAQ;LBP;657554.0722654077
121;ALYZc;EURO;CLP;6589384.641400603
122;ALYZc;EL SALVADOR;BSD;3053.0494993875773
