Client;Country;Currency;Transaction
BCEEI;INDIA;CVE;421763.6283328798
BCEEI;QATAR;DJF;2367493.672023012
BCEEI;VANUATU;LRD;1792954.8375407793
BCEEI;ALBANIA;HKD;47407.88098909644
BCEEI;BAHAMAS;SRD;222001.83042047312
BCEEI;MADAGASCAR;MUR;18218.531916660126
BCEEI;LIBERIA;AED;18326.0284537486
AKWWb;LEBANON;PKR;1582515.6350314303
AKWWb;HONDURAS;PKR;1315765.8404901475
AKWWb;UKRAINE;GHS;155468.14834097904
AKWWb;INDONESIA;ZAR;96814.45589031583
DJW11;PHILIPPINES;HTG;49164.7721289668
BDEN2;MADAGASCAR;PES;76684.40321269855
BDEN2;OMAN;SAR;2169.005881707337
BDEN2;EGYPT;TND;356.06851491508405
BDEN2;MALAWI;MRO;201580.18047967934
BDEN2;POLAND;CVE;12550.280106987011
BDEN2;JAPAN;XPF;12343.699713668913
BDEN2;SWEDEN;XOF;42093.94850586618
BDEN2;UGANDA;HUF;52437.483651479015
BDEN2;THAILAND;CLP;200930.34807615934
BDEN2;BELARUS;MMK;537564.3047556217
BDEN2;INDONESIA;NGN;65506.01937122589
BDEN2;NEPAL;BRL;2776.5836338254644
ADDVV;MOROCCO;ANG;7161.626666906602
ADDVV;LIBERIA;ETB;117687.02516756686
ADDVV;SWAZILAND;CZK;103843.85628096596
ADDVV;NIGERIA;THB;76360.72249386836
ADDVV;CHILE;MVR;60663.54498810512
ADDVV;KUWAIT;DKK;21589.008389632894
ADDVV;TOGO;IDR;75282831.2133788
ADDVV;UNITED ARAB EMIRATES;ZWL;986507.8254058519
ADDVV;JAPAN;MZN;120197.58675766495
ADDVV;ZAMBIA;JMD;122205.02413006878
ADDVV;PAPUA NEW GUINEA;CAD;855.3917097562274
ADDVV;ALGERIA;ISK;337593.866491405
ADDVV;SWEDEN;XCD;6808.4252364612885
ADDVV;COSTA RICA;UYU;226523.70222199793
ADDVV;EGYPT;MAD;50069.005396515095
ADDVV;LIBYAN ARAB JAMAHIRIYA;NAD;46239.56637676122
ADDVV;HUNGARY;XCD;1470.669389412966
ADDVV;BHUTAN;ARS;1061463.1425148281
ADDVV;BANGLADESH;AOA;506751.63963858417
GIJXX;MAURITIUS;XOF;1929018.5137685062
GIJXX;CZECH REPUBLIC;CLP;2849123.763611366
GIJXX;NEPAL;AUD;2971.4429574169435
GIJXX;CAPE VERDE;NPR;348612.55839723564
GIJXX;KAZAKHSTAN;CNY;1607.416777598205
GIJXX;SAUDI ARABIA;MRO;716492.3062786228
CJWZa;NIGERIA;PES;124421.68070546989
CJWZa;PERU;JMD;40927.44787449158
CJWZa;RUSSIAN FEDERATION;CHF;1668.8397129918387
CJWZa;CZECH REPUBLIC;ALL;53397.09811687731
CIKVa;HAITI;SOS;18974.886584516826
CIKVa;UKRAINE;SLL;125968.64270118628
CIKVa;JORDAN;HTG;1017.7051236311981
CIKVa;CYPRUS;JPY;5121.622524228591
CIKVa;SOLOMON ISLANDS;JMD;4497.2701828024965
CIKVa;QATAR;JMD;3442.700229425785
CIKVa;ICELAND;IQD;11745.857828108947
CIKVa;COSTA RICA;MGA;137962.5618557948
CIKVa;BOTSWANA;SOS;12870.054582962659
CIKVa;BERMUDA;ZAR;225.45546770596954
CIKVa;NETHERLANDS ANTILLES;LYD;69.49198306752207
CIKVa;LATVIA;BGN;75.9342242763867
CIKVa;DOMINICAN REPUBLIC;EUR;2.976766016049026
CIKVa;PERU;SOS;8978.287196340187
CIKVa;PERU;FJD;79.22420345351382
BKW33;COLOMBIA;CZK;738086.7974594902
BKW33;DJIBOUTI;ILS;113596.60431398095
BKW33;SYRIAN ARAB REPUBLIC;BND;429.07983583868474
BKW33;ZIMBABWE;LRD;4837017.024305007
BKW33;PHILIPPINES;SGD;4636.830484063206
BKW33;CAMBODIA;SBD;9662.460139329132
BKW33;BOTSWANA;TZS;14440464.0440558
BKW33;SUDAN;DZD;1452059.5377596833
BKW33;LIBYAN ARAB JAMAHIRIYA;BGN;29638.07030347792
BKW33;GHANA;MUR;695656.8925978726
BKW33;BOLIVIA;QAR;116487.66255803469
BKW33;CYPRUS;SGD;36282.621817585125
BKW33;KOREA, REPUBLIC OF;BZD;43890.34050556638
BKW33;CAPE VERDE;PES;3051221.5889719855
BKW33;SWAZILAND;LRD;3413553.47410814
BKW33;SURINAME;FJD;73335.70665616941
BKW33;BAHAMAS;MMK;33848422.05618033
BKW33;SAO TOME AND PRINCIPE;CRC;166878.19926255688
BIJKL;BULGARIA;UYU;578696.847327165
BIJKL;BURUNDI;STD;234620048.845307
BIJKL;ARUBA;PGK;14011.387848145774
BIJKL;RWANDA;PLN;5361.837382195227
BIJKL;GUINEA;SDG;8476365.473233003
BIJKL;SURINAME;ARS;3769674.021870055
BIJKL;ANGOLA;BYR;206335988.5668905
BIJKL;JORDAN;CYP;5074.926599653866
BIJKL;GAMBIA;CVE;1210913.4267605906
BIJKL;TAIWAN, PROVINCE OF CHINA;UAH;383319.7181225514
BIJKL;TUNISIA;LKR;5480065.016151092
BIJKL;AUSTRALIA;PKR;3146927.20523117
BIJKL;MACAU;TOP;25055.397017205993
BIJKL;EGYPT;KES;978898.567042474
BIJKL;SIERRA LEONE;JPY;228777.60819291536
BJLMM;PAPUA NEW GUINEA;VES;117980.46576107119
BJLMM;LEBANON;SRD;186955.25533811114
BJLMM;NORWAY;DZD;871823.5791155859
BJLMM;DOMINICAN REPUBLIC;MGA;24682499.63028744
BJLMM;CANADA;GYD;2507599.3443459906
BJLMM;NEPAL;TND;4425.500971251947
BJLMM;URUGUAY;BTN;768913.9427114862
BJLMM;NEPAL;ZWL;9066291.917484649
BJLMM;ISRAEL;SDG;8334319.071109318
BJLMM;CYPRUS;BBD;31622.83672216449
BJLMM;VIET NAM;LVL;6076.592389115623
BJLMM;FRENCH POLYNESIA;HKD;107170.10179290862
BJLMM;FRENCH POLYNESIA;GYD;3068137.4030498764
BJLMM;MAURITIUS;KRW;20009572.777418528
BJLMM;TONGA;XPF;443987.6937697231
BJLMM;SRI LANKA;JMD;1060573.432244568
AAHYa;BULGARIA;TND;823.2804992212314
BCHXW;DENMARK;MUR;375201.00691313075
BCHXW;KOREA, REPUBLIC OF;BSD;5.998976581644684
BCHXW;CYPRUS;UGX;32577744.40911874
BCHXW;PANAMA;QAR;15859.438796765844
BCHXW;MOZAMBIQUE;VUV;3111772.8105360093
BCHXW;KOREA, REPUBLIC OF;CLP;4878375.073756068
BCHXW;EL SALVADOR;NGN;1127541.9985673157
BCHXW;CROATIA;PEN;44236.4533130479
BCHXW;KOREA, REPUBLIC OF;KES;3549863.666015838
BCHXW;NEPAL;BSD;860.8531394660122
BCHXW;ARGENTINA;SBD;229474.4545657983
BCHXW;SINGAPORE;OMR;3899.318286985879
BCHXW;CENTRAL AFRICAN REPUBLIC;CLP;20203083.687459417
BCHXW;LIBERIA;MXN;63919.88322680467
BCHXW;INDIA;SOS;4422776.229337996
GHJNc;BURUNDI;MXN;71387.63480127568
GHJNc;UNITED ARAB EMIRATES;HTG;554025.7140268802
GHJNc;SOUTH AFRICA;LYD;19378.06434453076
GHJNc;BULGARIA;XCD;9510.30051878743
GHJNc;DENMARK;ETB;166063.24400290495
GHJNc;INDONESIA;MAD;20599.58177642109
GHJNc;COSTA RICA;AOA;1385153.420252607
GHJNc;SWAZILAND;BOB;4397.6270096279795
GHJNc;DOMINICA;SYP;130372.28065706877
GHJNc;URUGUAY;XPF;364701.053859798
GHJNc;CYPRUS;CVE;121486.54127878047
GHJNc;KENYA;UYU;166104.85247715798
GHJNc;TRINIDAD AND TOBAGO;NPR;540414.8886940386
GHJNc;BAHAMAS;SAR;15800.197591042357
GHJNc;DENMARK;KZT;933365.7443492855
GHJNc;MOROCCO;SZL;63239.81315125815
GHJNc;UNITED KINGDOM;NOK;42015.67684174473
DEJYa;UGANDA;TWD;1245.0218208596998
DEJYa;BHUTAN;ZWL;19565.511783133905
DEJYa;UNITED KINGDOM;CNY;125.20204416065954
DEJYa;SAMOA;VUV;4152.901906040405
DEJYa;NEPAL;MAD;224.0426193163537
NXZ12;DJIBOUTI;NOK;176692.46226177659
NXZ12;SAO TOME AND PRINCIPE;TRY;213498.6738378569
NXZ12;SYRIAN ARAB REPUBLIC;MYR;25915.693132075663
NXZ12;MOROCCO;EGP;36502.77720683635
NXZ12;HAITI;SGD;19212.06192717466
NXZ12;AUSTRALIA;AOA;8162709.097392077
NXZ12;MACAU;ZMW;253560.083335334
DHILZ;OMAN;ANG;11348.87207493278
DHILZ;GHANA;KZT;2510331.7749998667
DHILZ;RWANDA;PAB;2000.5145113127862
DHILZ;SURINAME;MOP;24317.42988887799
DHILZ;MAURITIUS;FJD;8496.855949300405
DHILZ;NAMIBIA;BDT;146066.09849061503
DHILZ;MAURITIUS;NGN;1116323.3966560194
DHILZ;YEMEN;CLP;4638456.727567963
AIYYb;PAPUA NEW GUINEA;KHR;9793161.0363334
AIYYb;GHANA;DJF;171992.94474008694
AIYYb;UNITED ARAB EMIRATES;TOP;311.1664193766912
AIYYb;JAPAN;GTQ;9282.006448055652
AIYYb;PARAGUAY;PGK;4556.522006565478
AIYYb;CYPRUS;AZN;975.0044988168261
AIYYb;VANUATU;STD;38529731.561230816
AIYYb;VENEZUELA;MGA;6484420.262189866
AIYYb;MALAYSIA;AED;13798.441750192429
AIYYb;CAMBODIA;CZK;24909.86930211641
AIYYb;LATVIA;SBD;22520.31724834017
BDLX3;BELARUS;NPR;2280395.0650851484
BDLX3;ZAMBIA;TOP;85527.74561445808
BDLX3;CZECH REPUBLIC;LBP;28092218.9740002
BDLX3;MALAYSIA;KYD;22229.13014507661
BDLX3;ETHIOPIA;CZK;6513.56287168327
BDLX3;BOLIVIA;WST;101994.85522513521
BDLX3;MEXICO;MWK;1915900.5708634832
BDLX3;NEPAL;VUV;123952.53838964013
BDLX3;UNITED KINGDOM;BTN;3233620.4978702827
BDLX3;KOREA, REPUBLIC OF;LAK;346130548.5241883
BDLX3;PERU;RSD;5503878.097466995
BDLX3;LIBERIA;LYD;159656.68415726323
BDLX3;NICARAGUA;EUR;5901.257541591507
BDLX3;CANADA;HUF;13512374.28024286
BDLX3;ETHIOPIA;CHF;42982.87484227019
BDLX3;BANGLADESH;BRL;119601.36382496741
BDLX3;ZAMBIA;BIF;7516234.560229374
BDLX3;URUGUAY;PYG;71198053.23993453
BDLX3;NEPAL;INR;154769.55981768618
BDLX3;TOGO;ARS;4421554.891079673
GJLWZ;RWANDA;PHP;335.9055643382802
GJLWZ;THAILAND;INR;354.50045818256285
GJLWZ;THAILAND;BIF;7477.388313203786
GJLWZ;MALAYSIA;KES;478.98977835632326
GJLWZ;DOMINICA;BND;3.377921029967706
GJLWZ;TRINIDAD AND TOBAGO;BGN;7.3669912453034065
GJLWZ;GUATEMALA;MAD;52.38434458657858
GJLWZ;ICELAND;PAB;1.2035834874741482
GJLWZ;SOLOMON ISLANDS;WST;0.5813710843976081
GJLWZ;CAMBODIA;PAB;1.428428754364923
GJLWZ;SOLOMON ISLANDS;NAD;93.07883145746432
GJLWZ;PAKISTAN;MUR;187.24759974194734
GJLWZ;KAZAKHSTAN;NIO;186.23464332030107
GJLWZ;IRAN (ISLAMIC REPUBLIC OF);AOA;477.49895836053486
GJLWZ;BRUNEI DARUSSALAM;CRC;4049.076768422177
GJLWZ;SINGAPORE;SDG;3091.451503906876
GJLWZ;JORDAN;GTQ;46.23874444324209
GJLWZ;BARBADOS;JOD;2.5252793072664814
DEKb1;CROATIA;HRK;167836.41781921752
DEKb1;SOMALIA;VND;1041450455.7667003
DEKb1;SRI LANKA;THB;1729976.1517960227
DEKb1;ARGENTINA;NIO;1167172.8865047419
DEKb1;MEXICO;MAD;-3962.9746203978784
DDJKZ;SAMOA;BBD;4842.764733028017
DDJKZ;CHILE;OMR;825.9758164962707
DDJKZ;SYRIAN ARAB REPUBLIC;AWG;19458.458161929826
DDJKZ;NEW ZEALAND;LYD;33241.38795610328
DDJKZ;BRUNEI DARUSSALAM;ETB;604926.7842254401
DDJKZ;LATVIA;JOD;1043.5278516993792
DDJKZ;MALAWI;MXN;82726.91915452147
DDJKZ;AUSTRALIA;BRL;28873.331071676967
DJJc2;POLAND;ZWL;9987166.574868634
DJJc2;LEBANON;PLN;47035.461772240094
DJJc2;BURUNDI;KHR;25278879.973430663
DJJc2;NICARAGUA;TND;86437.8317312944
DJJc2;JAMAICA;XAF;6842401.798900066
DJJc2;ALBANIA;IDR;250352822.72075453
DJJc2;DOMINICAN REPUBLIC;UGX;76979276.53750184
DJJc2;JAPAN;NAD;422206.7407519473
DJJc2;ROMANIA;XPF;1258480.7531436873
DJJc2;LEBANON;QAR;28346.691789181492
DJJc2;BERMUDA;PLN;66204.06598613258
DJJc2;PAPUA NEW GUINEA;EUR;15169.191973573277
DJJc2;TURKEY;DJF;1492105.522950217
DJJc2;GAMBIA;SVC;15143.314742969977
ANWb1;IRAN (ISLAMIC REPUBLIC OF);SDG;1274453.6433274376
ANWb1;MAURITANIA;XPF;596365.3008334687
ANWb1;ISRAEL;JPY;812621.2392070815
ADELM;BRAZIL;CHF;679.5510557486912
EGJL3;THAILAND;LYD;15492.604318980237
EGJL3;JORDAN;JMD;367758.68823338626
EGJL3;TURKEY;SCR;175580.29269465842
EGJL3;MOROCCO;RON;59894.68953147098
EGJL3;SWAZILAND;BIF;9671377.811915679
EGJL3;BAHAMAS;GBP;2849.7778023875876
EGJL3;ZIMBABWE;OMR;2842.123143857673
EGJL3;SAUDI ARABIA;TOP;16710.680539494046
EGJL3;GHANA;MAD;56372.228014445755
EGJL3;UKRAINE;TRY;123151.06334237165
EGJL3;SIERRA LEONE;HRK;15350.431815896278
EGJL3;NAMIBIA;LKR;1503415.3381030879
EGJL3;HAITI;MWK;8795894.827780882
EGJL3;BOTSWANA;BYR;188787063.45338532
CGIIX;SOLOMON ISLANDS;UAH;495220.13901732623
CGIIX;MADAGASCAR;BIF;28723789.460318595
CGIIX;ISRAEL;TOP;55382.14476187372
CGIIX;DOMINICAN REPUBLIC;MOP;42205.771493663684
CGIIX;TRINIDAD AND TOBAGO;YER;5253563.5729409
CGIIX;COSTA RICA;AED;36230.4108004393
CGIIX;KUWAIT;GNF;107496619.88096857
CGIIX;TUNISIA;ZAR;472967.69347018836
IIWZc;DENMARK;XAF;5891885.939676169
IIWZc;INDONESIA;WST;26645.348469701657
IIWZc;LIBERIA;DOP;476899.06649563543
IIWZc;SURINAME;CLP;1629084.9713954313
IIWZc;OMAN;HUF;1548175.0948639757
Bb122;SAUDI ARABIA;IQD;44880809.64107049
Bb122;HAITI;HKD;130301.02308026045
Bb122;UGANDA;MVR;521298.4263777341
Bb122;CANADA;RON;133485.33495907826
Bb122;CENTRAL AFRICAN REPUBLIC;ANG;14528.752376994962
Bb122;CZECH REPUBLIC;CHF;16191.332140940272
Bb122;FRENCH POLYNESIA;IRR;2157923556.854119
Bb122;SAO TOME AND PRINCIPE;NGN;23742343.066652812
Bb122;MEXICO;PES;1489295.5400983868
Bb122;LIBERIA;ZAR;516150.3851794635
Bb122;MEXICO;MXN;444789.0329486472
Bb122;MEXICO;CZK;593058.9573867517
Bb122;VIET NAM;AED;61169.5023075105
Bb122;EURO;SYP;22684235.996960122
AGGac;SAUDI ARABIA;KZT;34218.34363258062
AGGac;LAO PEOPLE'S DEMOCRATIC REP;EGP;4305.604669641224
AGGac;SERBIA;MYR;927.6415030252529
AGGac;PARAGUAY;MZN;28133.881873080052
AGGac;VANUATU;FJD;382.73313311517376
CEGIL;GAMBIA;KWD;139.52346760884564
CEGIL;KENYA;LAK;20128425.03552576
CEGIL;CROATIA;GYD;159588.67749412314
CEGIL;SOMALIA;KHR;2201716.538597708
CEGIL;EGYPT;MVR;30394.06201305239
CEGIL;TANZANIA, UNITED REPUBLIC OF;EGP;62205.88242110325
CEGIL;KOREA, REPUBLIC OF;OMR;38.07486642923997
CEGIL;SIERRA LEONE;GHS;1432.07459971809
CEGIL;GHANA;KRW;143377.5268087805
CKLXb;TONGA;KZT;5605038.83552452
CKLXb;FIJI;TTD;88280.60932539708
CKLXb;ALBANIA;SRD;204967.2706632326
CKLXb;FIJI;BWP;95631.2518812519
CKLXb;SAUDI ARABIA;SRD;26478.604493404728
CKLXb;CAYMAN ISLANDS;GNF;105230316.51791368
CKLXb;NEW ZEALAND;LAK;53038974.43772103
CKLXb;TAIWAN, PROVINCE OF CHINA;NZD;14311.06388121784
CKLXb;COLOMBIA;LVL;7181.621844026701
CKLXb;CROATIA;NZD;10540.15978743414
CKLXb;HUNGARY;MYR;59581.58264812113
CKLXb;CHILE;MYR;54789.25117449035
CKLXb;OMAN;SYP;6245079.97974119
JYb23;CROATIA;TND;8934.824385307065
JYb23;BARBADOS;KHR;-34614.604071642185
JYb23;EGYPT;INR;190727.46455966015
JYb23;ISRAEL;SCR;7267.891228558947
JYb23;URUGUAY;DOP;168060.8010505209
JYb23;CROATIA;SEK;10974.762200037876
JYb23;MEXICO;AWG;5493.141363183288
JYb23;UKRAINE;SRD;25058.472451158414
JYb23;ANGOLA;GBP;236.30774177095284
JYb23;TONGA;BIF;5255847.9149229275
EFIKL;UNITED KINGDOM;SRD;1424.3926205278804
EFIKL;URUGUAY;NIO;33575.71796693064
EFIKL;SIERRA LEONE;JMD;166661.7865339929
EFIKL;MALDIVES;TWD;37118.84373676824
EFIKL;BELARUS;AED;2797.9283872148353
EFIKL;SYRIAN ARAB REPUBLIC;MUR;39946.437684373035
EFIKL;TURKEY;BZD;1947.977067415451
EFIKL;ANGOLA;ISK;139194.99802614455
EFIKL;DOMINICA;SRD;19480.77670231392
EFIKL;CANADA;NAD;12968.698159069625
EFIKL;BURUNDI;DJF;142132.95082133712
CHNZ2;GUINEA;RSD;2042219.7731796533
CHNZ2;COLOMBIA;LKR;2414537.0803030357
CHNZ2;MAURITANIA;DJF;1014769.0353724998
CHNZ2;MOZAMBIQUE;EGP;195254.4244036058
CHNZ2;KOREA, REPUBLIC OF;UGX;44722528.31136875
CHNZ2;POLAND;BBD;8603.765417231994
CHNZ2;IRAN (ISLAMIC REPUBLIC OF);XPF;1325293.8829952644
CHNZ2;JORDAN;ZWL;3135838.3121069157
CHNZ2;ICELAND;COP;9784800.480733445
Gcc22;TAIWAN, PROVINCE OF CHINA;INR;674258.7180850179
Gcc22;BAHAMAS;KRW;13972944.152796946
Gcc22;DOMINICAN REPUBLIC;BWP;89209.10645830528
Gcc22;NIGERIA;CNY;5169.867446734261
Gcc22;MALDIVES;BND;10927.184723326583
Gcc22;IRAN (ISLAMIC REPUBLIC OF);BIF;11949810.250840826
GIJVW;MADAGASCAR;BGN;403.46268026272963
GIJVW;BARBADOS;PHP;2944.035220640086
GIJVW;FIJI;CYP;149.83416706691506
GIJVW;HONG KONG;RWF;286116.69465102453
CILY1;GHANA;SCR;211199.69704588398
CILY1;MALAWI;RWF;6020146.977056622
CILY1;CAMBODIA;SDG;6354144.4971514745
CILY1;INDIA;KHR;882325.0931024015
CILY1;TOGO;MVR;255787.474680636
CILY1;HAITI;THB;334948.7027386801
CILY1;DOMINICA;MMK;33428573.119539637
CILY1;SOLOMON ISLANDS;BRL;125132.95987253485
CILY1;IRAQ;GTQ;89170.64333694753
CILY1;THAILAND;TND;49248.69288320498
CILY1;ETHIOPIA;MGA;6565037.569359849
CILY1;SAO TOME AND PRINCIPE;GNF;206603162.5689111
CILY1;CROATIA;MUR;737850.8272236193
CILY1;ICELAND;GTQ;141947.46859696732
CILY1;UKRAINE;XCD;14400.08924102092
CILY1;URUGUAY;SAR;47868.10503050421
CILY1;BRAZIL;VND;488546202.9557127
CILY1;SEYCHELLES;GMD;318213.5915832843
CILY1;TRINIDAD AND TOBAGO;IRR;990143322.682654
CILY1;YEMEN;NPR;461829.28650179977
