Client;Country;Currency;Transaction
DDKLa;COSTA RICA;ZMW;34489.44926625565
DDKLa;SAO TOME AND PRINCIPE;PHP;76550.66110649177
DDKLa;TURKEY;FJD;1715.1100327406998
DDKLa;ALGERIA;SRD;35674.0190428672
DDKLa;KAZAKHSTAN;KHR;3307224.3302453193
DDKLa;GAMBIA;BDT;224611.70431977056
DDKLa;ZIMBABWE;VES;14775.472183838514
DDKLa;NEPAL;LBP;1971919.8679215184
DDKLa;LEBANON;MUR;47972.28121131502
DDKLa;LIBYAN ARAB JAMAHIRIYA;CYP;380.76173399141845
DDKLa;UKRAINE;SBD;10722.00136233515
DDKLa;POLAND;MAD;6901.126142028519
DDKLa;CHILE;VUV;283431.5063548988
DDKLa;EGYPT;XPF;39792.342180588676
DDKLa;SERBIA;ZWL;1294310.7853979012
DDKLa;SUDAN;VUV;162435.14962898972
DDKLa;ICELAND;LKR;672279.9231110621
CGHJc;LIBYAN ARAB JAMAHIRIYA;CYP;2370.4478165377427
CGHJc;CHINA;NGN;7637984.550835594
CGHJc;FRENCH POLYNESIA;JMD;1147726.08373154
CGHJc;BURUNDI;IDR;149868033.97546375
CGHJc;PAKISTAN;TWD;251918.4783183491
CGHJc;FIJI;HNL;405317.7948268695
CGHJc;UGANDA;DZD;10761.017676957234
CGHJc;GHANA;AUD;13019.507211295593
CGHJc;IRAN (ISLAMIC REPUBLIC OF);AZN;10072.11120503725
CGHJc;URUGUAY;KES;1598272.4261198693
CGHJc;RUSSIAN FEDERATION;PYG;91701275.93497391
CGHJc;TAIWAN, PROVINCE OF CHINA;BDT;1559430.4196479805
CGHJc;ALGERIA;ALL;824708.2400631079
CGHJc;CENTRAL AFRICAN REPUBLIC;HTG;1015824.8361654769
CGHJc;SRI LANKA;EUR;7961.285586356256
CGHJc;SYRIAN ARAB REPUBLIC;BBD;25439.877572999107
CGHJc;SUDAN;XCD;42483.918095981695
CGHJc;DJIBOUTI;EGP;1337.1523081782273
CGHJc;URUGUAY;EGP;320916.5539627746
CGHJc;GUATEMALA;GHS;166620.08807410917
AEZZa;OMAN;EGP;733258.515100574
AEZZa;VIET NAM;SOS;8874842.629831191
AEZZa;BELIZE;MAD;63015.53049522007
AEZZa;CHILE;SVC;141762.91061376134
AEZZa;UKRAINE;TWD;1151049.8923207503
AEZZa;NORWAY;MMK;18244052.76758284
AEZZa;TONGA;SLL;579036004.1044124
AEZZa;KOREA, REPUBLIC OF;RON;82832.29165221706
AEZZa;ZAMBIA;BWP;207387.13186056426
AEZZa;CAMBODIA;PYG;34425168.58201559
AEZZa;CHINA;LBP;21290253.47673829
AEZZa;BELIZE;SEK;194924.6608562205
AEZZa;AUSTRALIA;ALL;4327448.622176151
AEZZa;SURINAME;TOP;42270.72424886526
AEZZa;UKRAINE;SRD;217105.91214360186
AEZZa;JORDAN;KHR;142389188.2465061
AEZZa;LATVIA;NIO;1131402.203979399
AEZZa;COSTA RICA;AED;90779.50892359986
BDVXY;PAPUA NEW GUINEA;BND;5816.337407329069
BDVXY;BRUNEI DARUSSALAM;LBP;2696512.595914038
BDVXY;CHINA;MOP;18971.47673548806
BDVXY;HONDURAS;LKR;483286.6751102481
BDVXY;NICARAGUA;SGD;6753.774075677471
BDVXY;DENMARK;TTD;13313.797088349544
BDVXY;CANADA;BHD;-14.332300997923843
BDVXY;JAPAN;RON;17767.032229091637
BDVXY;VIET NAM;KHR;19275053.67463699
BDVXY;GUYANA;XCD;10967.153365417213
BDVXY;CAPE VERDE;MGA;18915649.763852585
BDVXY;SOMALIA;KYD;1188.4139686843987
BDVXY;NIGERIA;NPR;52429.58167741815
BDVXY;COSTA RICA;ZMW;42991.93752317048
GINVX;SWAZILAND;PAB;53338.71561227165
GINVX;ISRAEL;SYP;26354747.904887673
GINVX;COLOMBIA;NOK;772355.5073012976
GINVX;POLAND;RSD;4106223.8826374644
GINVX;DOMINICAN REPUBLIC;XPF;4620022.58835901
GINVX;IRAN (ISLAMIC REPUBLIC OF);HRK;516581.6186306916
GINVX;HONDURAS;NPR;3318239.157036031
GINVX;URUGUAY;VND;1150217405.1111362
GINVX;UKRAINE;JOD;16608.26602459222
GINVX;SRI LANKA;AUD;30062.5262818356
GINVX;TONGA;TND;77390.9858511592
GINVX;QATAR;BRL;208491.7564864373
GINVX;SAMOA;ARS;2283585.1827603946
GINVX;CENTRAL AFRICAN REPUBLIC;CLP;23634261.119142644
GINVX;BULGARIA;STD;617946675.8739699
GINVX;BARBADOS;MAD;242101.32719573105
GINVX;BARBADOS;JOD;32304.1093244848
GINVX;ETHIOPIA;CZK;398502.7152411303
DGKX3;CANADA;CYP;1129.5243539986982
DGKX3;VIET NAM;BDT;134035.8885099354
DGKX3;SRI LANKA;XAF;595591.9035846808
DGKX3;KAZAKHSTAN;GMD;5369.566440607022
DGKX3;URUGUAY;BHD;711.3367973856037
BCYb1;MAURITIUS;AWG;7523.41766340421
BCYb1;VENEZUELA;ETB;93731.31393810824
BCYb1;BOLIVIA;BDT;426188.3374197963
BCYb1;MALAWI;JMD;311463.3537457051
BCYb1;SINGAPORE;BDT;127886.31155497271
BCYb1;ARGENTINA;BMD;4265.190188288511
BCYb1;ICELAND;PLN;388.9575797837268
BCYb1;BAHRAIN;RON;8534.639621219734
BCYb1;HONDURAS;MXN;65932.55369901225
EIMMX;ANGOLA;BIF;42453010.80920515
EIMMX;SINGAPORE;BTN;575715.833947284
EIMMX;GAMBIA;ILS;50266.532203435716
EIMMX;COLOMBIA;KZT;11322101.311477425
EIMMX;MOZAMBIQUE;VND;616626875.7891421
ACCH1;SRI LANKA;XPF;35687.10367212417
ACCH1;EGYPT;QAR;1057.5452187123071
ACCH1;ARUBA;JPY;5379.6597750562205
ACCH1;AUSTRALIA;PGK;2129.284578893942
ACCH1;DENMARK;NZD;-0.2961103681398803
BGNc3;SUDAN;KHR;36448920.72442838
