;Client;Country;Currency;Transaction
0;DKXW1;UNITED KINGDOM;BSD;25683.422024322408
1;DKXW1;SINGAPORE;TWD;744591.9851630193
2;DKXW1;INDONESIA;STD;415053043.7836101
3;DKXW1;ROMANIA;RUB;30212.142204265052
4;DKXW1;CHINA;THB;1149435.9204333813
5;DKXW1;IRAN (ISLAMIC REPUBLIC OF);PHP;856170.8736402979
6;DKXW1;PAPUA NEW GUINEA;BMD;20940.038655084907
7;DKXW1;TAIWAN, PROVINCE OF CHINA;SZL;-1123.8835644309406
8;DKXW1;IRAN (ISLAMIC REPUBLIC OF);NAD;606959.5627685097
9;DKXW1;SRI LANKA;PYG;3884445.465284642
10;DKXW1;ARGENTINA;HTG;4369705.982808316
11;DKXW1;IRAQ;SDG;10721137.18693882
12;DKXW1;SWITZERLAND;BDT;1424832.160831289
13;DKXW1;SWITZERLAND;FJD;61928.37017857574
14;DKXW1;CHILE;GHS;44547.10315540821
15;BHHVb;ARUBA;DOP;71085.25624665701
16;BHHVb;BULGARIA;QAR;-91.13748186439813
17;AFbcc;CHILE;GTQ;71207.46743205206
18;AFbcc;BERMUDA;ARS;825163.9306344986
19;AFbcc;COSTA RICA;BDT;756278.655053903
20;AFbcc;ETHIOPIA;MGA;558860.9337416604
21;AFbcc;JAMAICA;KYD;4142.947907780981
22;AFbcc;MAURITANIA;TOP;21184.751638028574
23;AFbcc;JAMAICA;MXN;58984.39153391887
24;AFbcc;POLAND;BSD;2608.618829067566
25;AFbcc;MALDIVES;JPY;628830.1419657919
26;AFbcc;NAMIBIA;UGX;16930554.609821316
27;AFbcc;LAO PEOPLE'S DEMOCRATIC REP;MUR;406691.1674007863
28;AFbcc;BAHRAIN;ANG;6269.81669475334
29;AFbcc;GUINEA;QAR;38924.74526371892
30;NYYb2;ISRAEL;COP;27103914.029309742
31;NYYb2;GHANA;AOA;650741.6954281869
32;NYYb2;JORDAN;BGN;4918.200153105509
33;NYYb2;GUATEMALA;SBD;34895.997643309725
34;NYYb2;CZECH REPUBLIC;MRO;2113806.7190740313
35;NYYb2;CHINA;CYP;3153.857477451464
36;NYYb2;CANADA;RON;24269.28921678078
37;NYYb2;SEYCHELLES;TTD;11320.83175801294
38;NYYb2;IRAN (ISLAMIC REPUBLIC OF);MMK;10939493.211340904
39;NYYb2;GHANA;VUV;544699.0677190173
40;NYYb2;YEMEN;JMD;906240.5373149965
41;NYYb2;NICARAGUA;QAR;3773.3855304165736
42;NYYb2;JAPAN;ETB;25869.68709885502
43;NYYb2;INDONESIA;AUD;9494.108301985292
44;NYYb2;HONDURAS;LVL;738.0584141458369
45;AABL2;BAHRAIN;SGD;29267.63920797093
46;AABL2;SOLOMON ISLANDS;BND;41076.181268665634
47;AABL2;BOLIVIA;BOB;89551.58302699804
48;AABL2;FRENCH POLYNESIA;CRC;1369504.742864717
49;AABL2;DJIBOUTI;MGA;2941965.4000158873
50;AABL2;ISRAEL;PGK;18754.88981651849
51;AABL2;MEXICO;YER;811933.1068066265
52;AABL2;SAUDI ARABIA;JMD;2400037.335195588
53;AABL2;TUNISIA;KYD;3567.85632384783
54;AABL2;MAURITIUS;LBP;9246008.990690857
55;AABL2;UNITED KINGDOM;AOA;4087221.182422671
56;AABL2;GUINEA;IDR;151311566.97285223
57;AABL2;MOZAMBIQUE;GBP;4338.762575170247
58;AABL2;EURO;SAR;-643.2820805980836
59;MMNZ3;TRINIDAD AND TOBAGO;CRC;4949197.037921073
60;MMNZ3;NETHERLANDS ANTILLES;BSD;1168.1357907584018
61;MMNZ3;TANZANIA, UNITED REPUBLIC OF;ANG;3185.007707235448
62;IZac1;KENYA;GHS;77179.77676222862
63;IZac1;SEYCHELLES;HKD;28751.41663742296
64;IZac1;KOREA, REPUBLIC OF;SEK;40720.58331867409
65;IZac1;PAPUA NEW GUINEA;INR;51162.92354662544
66;IZac1;LIBYAN ARAB JAMAHIRIYA;GBP;7417.961313399461
67;IZac1;ZIMBABWE;LVL;5816.294095640459
68;IZac1;ICELAND;OMR;910.5146465441361
69;IZac1;ZAMBIA;BRL;40600.047293393385
70;IZac1;CAYMAN ISLANDS;VES;10958.483125911847
71;IZac1;PAKISTAN;BSD;4744.145486897149
72;IZac1;BERMUDA;CAD;2117.2639002073015
73;IZac1;MAURITIUS;SYP;2313539.3942577117
74;IZac1;MADAGASCAR;IDR;42493668.59288309
75;IZac1;HAITI;MYR;13773.065404323961
76;IZac1;MADAGASCAR;LKR;196218.1377374003
77;IZac1;ZAMBIA;SDG;914171.4873441991
78;DMNZ3;JAPAN;NZD;688.3609222551843
79;DMNZ3;NIGERIA;IRR;238681756.7341335
80;DMNZ3;YEMEN;MVR;34432.59859564798
81;DMNZ3;CENTRAL AFRICAN REPUBLIC;MVR;19126.974909854962
82;DMNZ3;CHILE;GNF;30064437.910729393
83;DMNZ3;SAMOA;BIF;7425492.5543181915
84;CCFHX;EGYPT;PLN;66332.42838268787
85;CCFHX;HUNGARY;KES;775927.8557935203
86;CCFHX;INDONESIA;AED;59541.80863978825
87;CCFHX;NIGERIA;MWK;20126451.23592163
88;CCFHX;CANADA;KHR;42999613.18000475
89;CCFHX;PHILIPPINES;AWG;5770.195856947084
90;CCFHX;VENEZUELA;RWF;633349.6873498305
91;CCFHX;ROMANIA;GMD;428408.81519444054
92;CCFHX;IRAN (ISLAMIC REPUBLIC OF);SBD;44207.00516948326
93;CCFHX;MALAYSIA;QAR;22838.147535689906
94;CCFHX;CAPE VERDE;SRD;31185.227560870724
95;CXXW2;PAPUA NEW GUINEA;LVL;1937.39308290901
96;CXXW2;ZIMBABWE;NOK;2501.186368727333
97;CXXW2;SRI LANKA;TZS;6340115.458941774
98;CXXW2;BHUTAN;PLN;6372.9568350300015
99;CXXW2;MACAU;JPY;144450.39420553175
100;CXXW2;DOMINICA;BDT;158943.60885548347
101;CXXW2;UGANDA;NOK;15995.112827869596
102;CXXW2;UNITED KINGDOM;CHF;3515.6233577347016
103;CXXW2;NIGERIA;SZL;60537.75350043242
104;CXXW2;CAPE VERDE;LRD;13642.946170723817
105;CXXW2;PAKISTAN;TRY;6122.333731518993
106;CXXW2;MALDIVES;PHP;242949.0945119883
107;CXXW2;MOROCCO;BHD;937.2597371849425
108;CXXW2;GUYANA;SGD;1978.8424793827303
109;CXXW2;MAURITANIA;BGN;8857.677163353146
110;CXXW2;KOREA, REPUBLIC OF;ANG;1969.6293580059432
111;CXXW2;BELIZE;SRD;61498.96259436134
112;CXXW2;EGYPT;KRW;6848274.615473121
113;CXXW2;FIJI;KRW;4341016.580815694
114;CXXW2;PERU;COP;20641724.666633703
115;EFKNN;GUYANA;OMR;307.2387593889218
116;EFKNN;VANUATU;INR;133778.38414171894
117;EFKNN;CROATIA;GNF;6702320.553443512
118;EFKNN;CYPRUS;MZN;89683.20055112903
119;EFKNN;DOMINICA;MUR;43297.891713533456
120;EFKNN;SWITZERLAND;XAF;1309375.786607904
121;EFKNN;BULGARIA;BND;300.2018577279709
122;EFKNN;SIERRA LEONE;OMR;961.4643538455126
