;Client;Country;Currency;Transaction
0;FFM23;ALBANIA;ZWL;3855765.2762236944
1;FFM23;SAO TOME AND PRINCIPE;EUR;5374.392289633072
2;FFM23;DENMARK;HKD;37967.646701991944
3;FFM23;PERU;IQD;4717262.379376928
4;FFM23;BELARUS;RON;1577.630474088245
5;FFM23;SAMOA;SYP;652748.3195466311
6;FFM23;BHUTAN;THB;15930.374902260275
7;FFM23;LAO PEOPLE'S DEMOCRATIC REP;TTD;9268.68253246578
8;FFM23;EURO;ANG;379.32863522486576
9;FFM23;PAKISTAN;XCD;16181.24727448761
10;FFM23;YEMEN;SCR;37112.30026032235
11;FFM23;VANUATU;GMD;105616.65313430633
12;EGJLa;HONG KONG;LRD;5838277.2765468145
13;EGJLa;NETHERLANDS ANTILLES;IQD;3358785.280470792
14;GJY22;EGYPT;KHR;1775496.3281775184
15;GJY22;DOMINICA;KRW;498386.71585735324
16;GJY22;COSTA RICA;MZN;56702.112644126144
17;GJY22;PERU;LAK;16964258.337419294
18;GJY22;NORWAY;LVL;115.72932280056054
19;GJY22;NEW ZEALAND;PES;133923.75417254138
20;BDFXY;GUYANA;SEK;486460.05623183894
21;BDFXY;CAPE VERDE;WST;142492.24444419987
22;BDFXY;GHANA;INR;3007824.161528195
23;BDFXY;GAMBIA;AWG;73861.86573052555
24;BDFXY;EL SALVADOR;VND;647615690.3203336
25;BDFXY;BOLIVIA;IDR;660329498.2348804
26;BDFXY;ALGERIA;TWD;1152264.9031493405
27;BDFXY;ARUBA;TZS;31270530.81669824
28;BDFXY;TANZANIA, UNITED REPUBLIC OF;NPR;6358823.227883049
29;BDFXY;BANGLADESH;HRK;220293.74325617627
30;BDFXY;RWANDA;BZD;19357.286302255983
31;BFJYZ;SRI LANKA;TTD;1591.9367692167596
32;BFJYZ;PANAMA;NPR;386547.43464284507
33;BFJYZ;BULGARIA;SBD;938.4316368774917
34;BFJYZ;COLOMBIA;ZMW;45547.85569530965
35;BFJYZ;UGANDA;ALL;205533.62243485148
36;BFJYZ;SERBIA;ZWL;1039390.9718134901
37;BFJYZ;PAKISTAN;BIF;1197907.9831076192
38;BFJYZ;HONDURAS;NIO;19907.753896548795
39;BFJYZ;THAILAND;MUR;73140.48009903371
40;BFJYZ;MALAYSIA;TTD;144.9124499682802
41;BFJYZ;TONGA;ARS;56295.59851879473
42;BFJYZ;SURINAME;SAR;5803.584033701805
43;BFJYZ;VENEZUELA;GNF;24168956.626895446
44;BFJYZ;SIERRA LEONE;GTQ;18548.870109532003
45;BFJYZ;SOUTH AFRICA;PHP;122844.98000904194
46;DKKLX;MAURITANIA;NPR;1534218.3269510528
47;DKKLX;SURINAME;XAF;2898079.3577400907
48;FFHKK;SOMALIA;NPR;-13088.777453046492
49;FFHKK;ZAMBIA;SRD;75587.1900559541
50;FFHKK;LIBERIA;NAD;100454.06534499598
51;FFHKK;PHILIPPINES;BSD;10362.19063244189
52;FFHKK;NEPAL;NOK;58517.669541220326
53;FFHKK;LIBERIA;FJD;19112.266423562294
54;FFHKK;SAMOA;MZN;785454.2386823347
55;FFHKK;LEBANON;LRD;1641755.2528132347
56;FFHKK;BURUNDI;MZN;655110.3532276269
57;FFHKK;ARUBA;PES;222638.2986362556
58;FFHKK;RUSSIAN FEDERATION;VND;122130070.45099969
59;FFHKK;JAPAN;KRW;4729553.422938416
60;FFHKK;RUSSIAN FEDERATION;IQD;6177780.003325889
61;FFHKK;CAPE VERDE;NGN;1887078.6644983005
62;FFHKK;HONG KONG;BBD;4762.375045708164
63;FFHKK;ZAMBIA;GNF;70898184.39878154
64;FFHKK;SWAZILAND;SVC;103574.84475171253
65;FFHKK;CENTRAL AFRICAN REPUBLIC;SDG;2090979.254157795
66;FFHKK;INDIA;ZMW;71644.5091949016
67;VWZb1;COLOMBIA;TND;1213.5080465100677
68;VWZb1;MAURITIUS;KWD;55.54641298158746
69;VWZb1;TURKEY;KRW;249346.57762052005
70;VWZb1;UGANDA;EUR;240.0777616129441
71;VWZb1;BARBADOS;LBP;547574.9072404294
72;VWZb1;PAKISTAN;TWD;2637.219499899516
73;VWZb1;SAUDI ARABIA;XAF;297853.1284422487
74;VWZb1;ROMANIA;TRY;922.8739872467168
75;VWZb1;CANADA;CRC;211146.13538869462
76;VWZb1;KOREA, REPUBLIC OF;RSD;36647.86660168036
77;VWZb1;GUINEA;AOA;145857.73922538347
78;VWZb1;SWEDEN;TND;1254.123670958923
79;VWZb1;BELIZE;NOK;3512.2230752149862
80;VWZb1;TUNISIA;BMD;379.9851468287633
81;NNNb2;UNITED KINGDOM;DJF;4787260.948962725
82;NNNb2;TURKEY;GHS;374589.2423438391
83;NNNb2;BOLIVIA;PAB;7728.969595974103
84;NNNb2;SOMALIA;BRL;22479.639709920775
85;DDEK2;CENTRAL AFRICAN REPUBLIC;ILS;69694.12453019741
86;DDEK2;NEW ZEALAND;AWG;6149.886465216832
87;DDEK2;UGANDA;HKD;131464.84173911135
88;BBKZa;URUGUAY;HKD;27015.284061774113
89;BBKZa;CYPRUS;XAF;17375167.94325178
90;BBKZa;KAZAKHSTAN;ILS;79436.78484208246
91;BBKZa;JORDAN;MMK;65645297.6455554
92;BBKZa;SOUTH AFRICA;BMD;25945.214712005556
93;BBKZa;QATAR;ZWL;22238411.87661247
94;BBKZa;ANGOLA;XAF;17014266.103589274
95;BBKZa;NIGERIA;BMD;29118.370468150122
96;BBKZa;NETHERLANDS ANTILLES;DJF;5808412.787909286
97;BBKZa;SWITZERLAND;JMD;565278.5579343785
98;BBKZa;SEYCHELLES;MRO;9484326.14218355
99;BBKZa;ZAMBIA;NPR;2960624.717217773
100;BBKZa;MADAGASCAR;SBD;262786.0840603456
101;BBKZa;NEPAL;MUR;1061971.8352904082
102;BBKZa;GUYANA;SEK;304432.075769785
103;BY223;BOLIVIA;CRC;401718.5142492378
104;BY223;PAPUA NEW GUINEA;CAD;428.84889352715487
105;BY223;SUDAN;WST;486.9671555677188
106;BY223;TURKEY;SRD;17218.260275140452
107;BY223;VIET NAM;KES;-802.032639543091
108;BY223;LATVIA;VES;17345.317011377963
109;BY223;UKRAINE;BMD;671.9434111972713
110;BY223;JAPAN;BOB;1731.9763909227681
111;BY223;PAKISTAN;SZL;8588.822006181606
112;JKLLb;AUSTRALIA;IQD;31679901.633211732
113;JKLLb;TURKEY;LRD;3302856.6463776296
114;JKLLb;DOMINICA;PLN;134384.17644231438
115;IYYZ2;GUINEA;SZL;85779.46986248787
116;IYYZ2;UNITED ARAB EMIRATES;ARS;189114.55403386187
117;IYYZ2;BOLIVIA;CRC;7891390.736341719
118;IYYZ2;NIGERIA;UAH;419125.0926616928
119;IYYZ2;MOROCCO;KHR;44417757.08347444
120;IYYZ2;BELIZE;TND;50777.777014497304
121;IYYZ2;EL SALVADOR;TTD;27572.589222942555
122;IYYZ2;GHANA;VUV;549133.4100619525
