Client;Country;Currency;Transaction
JKKZa;GAMBIA;SCR;10950.943356235062
JKKZa;BRUNEI DARUSSALAM;PAB;1109.6377382683377
JKKZa;MOZAMBIQUE;CHF;630.4330733674809
JKKZa;NICARAGUA;ZAR;42844.252683774896
JKKZa;PARAGUAY;ALL;264724.642920153
JKKZa;ZAMBIA;ANG;570.057962092649
JKKZa;GUATEMALA;RWF;2629041.648047131
JKKZa;LIBERIA;AED;3247.218775664263
JKKZa;TANZANIA, UNITED REPUBLIC OF;TRY;44476.22247935438
JKKZa;PANAMA;PKR;152838.6651467596
JKKZa;CYPRUS;NZD;1608.688564603149
JKKZa;COSTA RICA;TND;1856.4564088364905
GIWYY;COSTA RICA;SEK;16719.165040040753
GIWYY;KAZAKHSTAN;CNY;15399.82970215068
GIWYY;NICARAGUA;BMD;408.44968319014254
GIWYY;ARUBA;NPR;278339.982869043
GIWYY;MOZAMBIQUE;XPF;313870.92164444993
GIWYY;SRI LANKA;KWD;244.64005161671415
GIWYY;JAMAICA;KHR;4615125.5015699295
GIWYY;CROATIA;QAR;149.5681437068575
GIWYY;TAIWAN, PROVINCE OF CHINA;RWF;2549919.1907684677
GIWYY;LATVIA;GNF;15525372.758286756
GIWYY;ALBANIA;MAD;238.78292825466752
GIWYY;SOLOMON ISLANDS;CNY;13911.334347581314
GIWYY;TOGO;ARS;405554.20210162085
GIWYY;MALDIVES;ZAR;5989.680821825586
GIWYY;NEW ZEALAND;THB;58618.853089805925
GIWYY;CAPE VERDE;XPF;20623.381890229382
GIWYY;EURO;KZT;571355.7031209366
GIWYY;ROMANIA;TRY;19180.248149439958
GIWYY;PAKISTAN;PHP;128726.80618337858
GIWYY;MADAGASCAR;UGX;6852076.1986306375
DZZ23;URUGUAY;UAH;9092.056367337515
DZZ23;PAPUA NEW GUINEA;BIF;536913.5030661033
DZZ23;ALGERIA;NIO;3921.7951950989013
DZZ23;SAUDI ARABIA;TRY;6722.242868406661
DZZ23;THAILAND;HUF;101331.54127871848
FFFc2;CHINA;SRD;130614.40673211135
FFFc2;LIBYAN ARAB JAMAHIRIYA;TWD;114981.17628386704
FFFc2;JORDAN;XPF;73976.44718706665
FFFc2;KOREA, REPUBLIC OF;SLL;47675900.343329206
FFFc2;UKRAINE;MZN;269944.27896218444
FFFc2;BOLIVIA;SGD;4311.251027761158
FFFc2;SWEDEN;HTG;465497.8350748397
FFFc2;SWAZILAND;GYD;876225.799942606
FFFc2;CHILE;BDT;469092.07636210386
FFFc2;URUGUAY;GBP;909.3045689340128
FFFc2;CAYMAN ISLANDS;PKR;999779.3743985423
FFFc2;NETHERLANDS ANTILLES;FJD;9751.56905002048
FFFc2;DENMARK;BGN;8345.49939035127
FFFc2;SWITZERLAND;BGN;6551.50339565765
BDJac;URUGUAY;PHP;72456.05424509256
BDJac;PANAMA;MZN;97564.95293803516
BDJac;PAPUA NEW GUINEA;TZS;4876831.451130043
BDJac;EURO;KES;170694.74209404658
BDJac;SAO TOME AND PRINCIPE;DKK;6288.949539973029
BDJac;LAO PEOPLE'S DEMOCRATIC REP;PLN;477.21189799573
BDJac;LAO PEOPLE'S DEMOCRATIC REP;NZD;697.2609790423238
BDJac;MAURITIUS;KYD;201.73574740428427
BDJac;NEW ZEALAND;MOP;3397.88301379016
BDJac;ICELAND;PES;230438.84017429323
BDJac;CROATIA;MVR;25320.583238561918
BDJac;SURINAME;ETB;3186.3496157476598
BDJac;POLAND;JMD;54207.25039311362
BDJac;ALBANIA;HKD;7161.067596916731
BDJac;CZECH REPUBLIC;IQD;904131.6303594828
BDJac;PANAMA;CZK;3509.1200636122817
BDJac;URUGUAY;ZAR;26849.333320448015
BIYbb;MOZAMBIQUE;LAK;279775265.936576
BIYbb;CHINA;CNY;258556.13848083734
BIYbb;OMAN;HTG;1829436.0751701265
BIYbb;ARGENTINA;GBP;16491.533278031067
BIYbb;CYPRUS;IQD;53918750.64616088
BIYbb;MAURITANIA;XCD;107590.75546186342
BIYbb;PAKISTAN;IDR;643329373.1699618
BIYbb;CENTRAL AFRICAN REPUBLIC;LYD;44529.485775241155
BIYbb;VANUATU;HNL;9278.582883791943
BIYbb;ROMANIA;INR;3343846.8542717053
BIYbb;BULGARIA;SOS;11128356.857951121
BIYbb;BELIZE;IQD;21847944.53427101
BIYbb;GHANA;UGX;53251271.17058611
BIYbb;NICARAGUA;MGA;43349817.11544301
BIYbb;NICARAGUA;LVL;26936.405045416377
BIYbb;BELIZE;JOD;19157.649658668994
BIYbb;COLOMBIA;SGD;41838.95451827476
BIMNc;SERBIA;LYD;3936.5866002870225
BIMNc;KUWAIT;SGD;573.965133001458
BIMNc;ICELAND;NPR;723354.0598353886
BIMNc;BOLIVIA;BHD;900.5359286910036
BIMNc;VANUATU;SVC;26991.712253513833
BIMNc;MALAWI;KHR;23180187.527898975
BIMNc;BULGARIA;JMD;780275.9676866634
BIMNc;MALAWI;THB;168410.8070121015
BIMNc;VANUATU;MRO;3181047.9986663386
BIMNc;FIJI;TOP;6423.227593218548
BIMNc;MAURITANIA;MOP;11047.228131419939
BIMNc;IRAN (ISLAMIC REPUBLIC OF);WST;4076.465970512368
BIMNc;PANAMA;AZN;7375.350931528472
BIMNc;MALDIVES;XCD;15224.594448485888
BIMNc;PARAGUAY;SLL;96266806.73209994
BIMNc;JAPAN;LAK;82929364.19113803
BIMNc;KOREA, REPUBLIC OF;AED;16140.018094883655
BIMNc;MACAU;UYU;233789.96228484862
AFJNc;AUSTRALIA;ETB;201116.20917034554
AFJNc;KAZAKHSTAN;BTN;884.8112966811387
AFJNc;ALGERIA;RSD;640858.7370409262
AFJNc;GUATEMALA;PES;817363.210373909
AFJNc;TURKEY;VUV;627149.7588904201
AFJNc;SWAZILAND;MMK;16555460.25868115
AFJNc;UNITED ARAB EMIRATES;UGX;5676414.152524284
AFJNc;BERMUDA;JPY;912869.3063397885
AFJNc;LEBANON;SLL;27133764.39688264
AFJNc;NIGERIA;MRO;3318120.3278551493
