Client;Country;Currency;Transaction
HHKab;UKRAINE;CAD;6089.550827896024
HHKab;GUYANA;DZD;495310.7836514606
HHKab;IRAQ;AWG;1306.142909892494
HHKab;SERBIA;SDG;2816640.4112362815
CEKKV;SWAZILAND;SDG;2469963.4121862287
CEKKV;RWANDA;BND;3422.006860788843
CEKKV;MALAWI;WST;13263.47223858601
CEKKV;MEXICO;CRC;1996213.3005322886
CEKKV;SYRIAN ARAB REPUBLIC;KRW;3346175.1829308593
CEKKV;NEW ZEALAND;MOP;24846.99174984097
CEKKV;PERU;XAF;3867490.668508716
CEKKV;UNITED ARAB EMIRATES;PEN;8905.757320309192
CEKKV;QATAR;CYP;3051.216536842753
CEKKV;CANADA;HNL;105415.34945255406
CEKKV;THAILAND;XOF;3572942.707085659
CEKKV;DOMINICAN REPUBLIC;INR;167315.2316771451
CEKKV;GUYANA;XAF;452013.22166821925
CEKKV;UGANDA;KYD;5024.252703643564
CEKKV;TAIWAN, PROVINCE OF CHINA;JPY;451904.1731060882
CEKKV;URUGUAY;VES;96521.87612556368
CEKKV;MACAU;CAD;1417.4965586974072
Faa22;KUWAIT;ISK;1701757.9539438188
BGILN;PERU;AED;99041.88029812677
BGILN;IRAN (ISLAMIC REPUBLIC OF);GNF;204163333.33907536
BGILN;LEBANON;BHD;4330.961586368827
BGILN;QATAR;SOS;35238304.08740476
BGILN;TUNISIA;KYD;35261.97167884805
BGILN;MOZAMBIQUE;TZS;32908248.42164046
BGILN;SOUTH AFRICA;NOK;63839.53141879144
BGILN;TRINIDAD AND TOBAGO;PKR;12536378.580751326
BGILN;MADAGASCAR;PLN;35516.445429290005
BGILN;MOZAMBIQUE;SDG;27253893.907826636
BGILN;COLOMBIA;LKR;3178104.3789520045
BGILN;INDIA;RWF;12471072.251381528
BGILN;IRAQ;EGP;1144685.8409110066
BGILN;SRI LANKA;AWG;30502.109583134767
BGILN;MYANMAR;SCR;869124.7359516515
BGILN;SOMALIA;UYU;1149126.618482786
BGILN;HUNGARY;MRO;24450981.241297007
BGILN;KOREA, REPUBLIC OF;XPF;2044588.9720277754
AVX13;INDIA;NZD;46165.35055365778
AVX13;MEXICO;SLL;351713253.97659105
AVX13;HONG KONG;IRR;542320511.1525527
AVX13;CROATIA;KWD;8530.54347291324
AVX13;TONGA;RWF;26121709.976561815
AVX13;NORWAY;COP;82050474.63481373
AVX13;DENMARK;CRC;11519345.154481359
AVX13;MACAU;BZD;43149.028661246055
AVX13;RWANDA;KZT;2962923.532774669
AVX13;ANGOLA;LAK;424357827.6946516
AVX13;SOMALIA;IQD;29902855.564171057
AVX13;LIBYAN ARAB JAMAHIRIYA;THB;597880.9247620751
AVX13;GHANA;HKD;218638.58991977887
AVX13;TURKEY;ISK;1735380.0665296195
AVX13;NAMIBIA;THB;326867.9481620609
AVX13;EGYPT;ZMW;160696.64799331705
AVX13;MALAYSIA;PES;5360274.522311015
AVX13;ICELAND;SZL;313493.41798861045
AVX13;TRINIDAD AND TOBAGO;MRO;6823153.000403164
AVX13;CHILE;KES;2005793.3289958057
CKMVa;SWEDEN;SLL;1610886820.01918
CKMVa;GUYANA;TWD;4035620.3227494275
CKMVa;BELARUS;PEN;460019.7635841546
CKMVa;TURKEY;KES;10367172.720355194
CKMVa;MAURITIUS;BZD;104617.3978473642
CKMVa;GUYANA;DOP;7581053.008949942
CKMVa;TRINIDAD AND TOBAGO;CRC;26763454.192853704
CKMVa;OMAN;MWK;48055648.013055645
CKMVa;LEBANON;BBD;203271.57653715604
CKMVa;JAPAN;CVE;12883443.752437958
CKMVa;GHANA;TZS;314057515.8025359
CKMVa;ARGENTINA;SDG;2048179.9335055135
CKMVa;POLAND;SDG;23073534.712452497
CKMVa;INDONESIA;TRY;1239611.128801649
CKMVa;EGYPT;LAK;1217661977.0353038
CKMVa;NORWAY;WST;123283.75049774254
FJcc2;SOUTH AFRICA;COP;1414920.4540883843
FJcc2;YEMEN;BBD;337.6019992552144
FJcc2;GUYANA;HTG;245894.5182242864
FJcc2;OMAN;MWK;1422819.8867367425
FJcc2;TOGO;UGX;3767411.440171662
FJcc2;BAHAMAS;MUR;41564.43799694072
FJcc2;BELARUS;BGN;2579.8727815673815
FJcc2;CROATIA;SRD;32302.860951100767
FJcc2;CROATIA;BDT;75654.5699592087
FJcc2;BANGLADESH;AUD;1487.7803121819372
FJcc2;PERU;MRO;343606.00663837726
FJcc2;BAHRAIN;PKR;364158.1952190249
BGLN1;NICARAGUA;SOS;4366424.335515342
BGLN1;JAPAN;TZS;19154919.058414742
BGLN1;GUYANA;IRR;368418818.58577263
BGLN1;SAMOA;MMK;6147983.814975693
BGLN1;UNITED KINGDOM;DOP;377038.43476521794
BGLN1;COSTA RICA;JMD;1881287.7589350683
BGLN1;VENEZUELA;GTQ;28910.87275672765
BGLN1;SAMOA;PHP;82018.42519895169
WWYcc;POLAND;DJF;2715681.671183843
WWYcc;BANGLADESH;EGP;213546.58852637766
WWYcc;PHILIPPINES;CNY;3570.6734221595752
WWYcc;ANGOLA;COP;10499801.702873183
WWYcc;ISRAEL;PKR;3913768.4274561377
WWYcc;MACAU;PHP;551455.16320738
WWYcc;BHUTAN;AWG;29193.30727594092
WWYcc;CENTRAL AFRICAN REPUBLIC;PHP;162022.62004298298
WWYcc;BELARUS;DOP;106569.64301193159
WWYcc;PERU;AED;48992.41806363373
WWYcc;ARGENTINA;MXN;357265.7768532693
WWYcc;MOZAMBIQUE;UGX;48464649.49331394
WWYcc;BHUTAN;KWD;604.8562109714096
WWYcc;ISRAEL;ZMW;249497.80716461598
WWYcc;ALGERIA;SDG;4547951.592890872
BCGHJ;ZIMBABWE;RSD;131282.8802856
BCGHJ;ALGERIA;CNY;2791.090670725716
EZZZ1;UNITED KINGDOM;PLN;28803.988164163522
