;Client;Country;Currency;Transaction
0;BEGGZ;MOROCCO;BZD;7746.231263638017
1;BEGGZ;TAIWAN, PROVINCE OF CHINA;BZD;5752.689677513245
2;BBEG3;JORDAN;BYR;277184895.53166044
3;BBEG3;NIGERIA;PKR;2554859.012534101
4;BBEG3;FIJI;PGK;411.782794451151
5;BBEG3;NORWAY;SRD;252781.11965599013
6;BBEG3;HONDURAS;PHP;355199.2925603181
7;BBEG3;MAURITIUS;XPF;572370.5047293226
8;BBEG3;SRI LANKA;ETB;212616.12001917482
9;BBEG3;EL SALVADOR;LBP;9357329.225799603
10;ABBbb;BAHRAIN;BMD;19697.229230595625
11;ABBbb;MADAGASCAR;BWP;-1233.667528722544
12;ABBbb;DOMINICA;BDT;1591658.3827973811
13;ABBbb;BURUNDI;RON;5396.589373974613
14;ABBbb;CAYMAN ISLANDS;LRD;1994568.7947740308
15;ABBbb;VANUATU;HRK;54718.55016479072
16;ABBbb;BAHAMAS;XOF;10156696.095156128
17;ABBbb;BANGLADESH;RUB;15469.867272409698
18;ABBbb;CAPE VERDE;MMK;6648783.774782202
19;ABBbb;PARAGUAY;KZT;3241593.8105230173
20;ABBbb;RWANDA;SBD;100174.21014761392
21;ABBbb;VENEZUELA;BTN;186597.43400464082
22;ABBbb;BELARUS;HKD;151581.69870370356
23;ABBbb;COSTA RICA;MVR;185207.71462180626
24;ABBbb;BULGARIA;MWK;7033178.563206292
25;ABBbb;TOGO;NOK;11649.714420753144
26;KWWc2;NICARAGUA;BWP;38371.64612921465
27;KWWc2;PANAMA;BTN;842826.9146957801
28;KWWc2;UKRAINE;BDT;863451.3983514776
29;KWWc2;DOMINICAN REPUBLIC;LYD;61805.25692377147
30;KWWc2;GUYANA;DKK;52033.56810919797
31;KWWc2;INDIA;HKD;66288.79008960538
32;KWWc2;IRAN (ISLAMIC REPUBLIC OF);SRD;315679.1812809917
33;KWWc2;RUSSIAN FEDERATION;HNL;193746.22931206223
34;KWWc2;MAURITIUS;JOD;7698.20728687438
35;KWWc2;AZERBAIJAN;ETB;718739.0445729785
36;KWWc2;BANGLADESH;PEN;43633.81734592432
37;KWWc2;BOTSWANA;GHS;91426.72203341704
38;KWWc2;SOLOMON ISLANDS;SOS;5207066.27709465
39;KWWc2;HONG KONG;PAB;15898.304118756174
40;KWWc2;COSTA RICA;CRC;446588.7343641606
41;KWWc2;JORDAN;IDR;226871081.2148809
42;HIZ23;VENEZUELA;RWF;5248.3600278132735
43;HIZ23;MADAGASCAR;KRW;142362.83991065135
44;HIZ23;ZIMBABWE;CVE;8884.545423349817
45;HIZ23;INDONESIA;MWK;74651.50830810159
46;HIZ23;CZECH REPUBLIC;XCD;76.4684557285642
47;HIZ23;TURKEY;ZWL;77451.8903913439
48;HIZ23;CHINA;VUV;9346.579165351284
49;HIZ23;SURINAME;CLP;39367.15288643788
50;HIZ23;ICELAND;AZN;302.8982223480762
51;HIZ23;SIERRA LEONE;SRD;4447.923496550641
52;HIZ23;AZERBAIJAN;LBP;212147.10815775624
53;DFHLX;FIJI;BRL;781.6355023275022
54;CIXZa;CENTRAL AFRICAN REPUBLIC;SCR;2971.694448822308
55;FMNX1;YEMEN;OMR;2481.37639841882
56;FMNX1;SOLOMON ISLANDS;EGP;143063.5830992155
57;VWYZa;PARAGUAY;MUR;38635.68154222037
58;VWYZa;EL SALVADOR;MZN;189723.01496967787
59;VWYZa;NETHERLANDS ANTILLES;LBP;4626002.618275862
60;VWYZa;RUSSIAN FEDERATION;BWP;32311.348404955417
61;VWYZa;NAMIBIA;BND;2432.491735105487
62;FFFJY;NICARAGUA;SZL;297000.31698578846
63;FFFJY;CYPRUS;EGP;19583.36970647012
64;FFFJY;CYPRUS;BHD;765.4709632778885
65;FFFJY;BULGARIA;PAB;18042.96973227646
66;FFFJY;ZAMBIA;DJF;1965620.4960132933
67;FFFJY;HUNGARY;SGD;18460.624107641062
68;FFFJY;SOUTH AFRICA;GNF;-948467.9739762578
69;FFFJY;FRENCH POLYNESIA;SEK;211672.63385167532
70;FFFJY;PERU;EUR;5067.691247882513
71;FFFJY;GAMBIA;LVL;8046.291775783841
72;FFFJY;SOMALIA;PHP;144848.40246977474
73;FFFJY;UNITED KINGDOM;JOD;5961.744912785155
74;FFFJY;SUDAN;DOP;859757.8831425443
75;FFFJY;ISRAEL;STD;217702499.7041924
76;FFFJY;ISRAEL;SBD;71212.42116783452
77;FFFJY;VENEZUELA;OMR;3748.789084915854
78;FFFJY;CYPRUS;DKK;35475.10007072095
79;FFFJY;DENMARK;UAH;643664.924678321
80;FFFJY;SWAZILAND;JOD;3742.283141777258
81;ALWc3;LATVIA;JOD;7868.7897305681845
82;ALWc3;SRI LANKA;BBD;22367.2774288626
83;ALWc3;ANGOLA;LRD;2044887.0102632921
84;FFV12;PERU;LAK;314661800.918506
85;FFV12;COLOMBIA;AWG;28940.148154620325
86;FFV12;KOREA, REPUBLIC OF;BGN;31780.906724498145
87;FFV12;SINGAPORE;GTQ;52521.615860327525
88;HIJJ1;CYPRUS;XPF;452387.9038321151
89;HIJJ1;INDONESIA;JPY;3352739.325500342
90;HIJJ1;MYANMAR;PEN;2519.2523109909603
91;HIJJ1;YEMEN;KRW;24010305.24262192
92;HIJJ1;QATAR;TZS;39243975.043712564
93;HIJJ1;NIGERIA;AOA;5615484.657879438
94;HIJJ1;BELIZE;GMD;1262259.8277928215
95;DHJMb;BHUTAN;BSD;8418.308631302503
96;DHJMb;ICELAND;SDG;2364106.2263253154
97;DHJMb;KAZAKHSTAN;OMR;3699.443501190706
98;DHJMb;SUDAN;BDT;1268541.1240808214
99;DHJMb;ALGERIA;SAR;3585.9108539754325
100;DHJMb;ARUBA;GTQ;16931.780592223015
101;DHJMb;PAPUA NEW GUINEA;TTD;89733.85256102764
102;DHJMb;PERU;ILS;52214.50025180641
103;DHJMb;COLOMBIA;HRK;116932.50608929983
104;DHJMb;ALGERIA;RUB;1049999.3693379564
105;DHJMb;YEMEN;FJD;15117.050345002468
106;DHJMb;HONG KONG;THB;52773.599708276095
107;DHJMb;NEPAL;KZT;317716.6429763107
108;DHJMb;NIGERIA;EUR;17169.647231356583
109;DHJMb;CHINA;BZD;35888.29409222083
110;DHJMb;NIGERIA;BMD;12520.137178031
111;DHJMb;SOUTH AFRICA;NPR;934946.2328826764
112;DHJMb;SWAZILAND;SGD;4152.17641699953
113;NNVY1;FRENCH POLYNESIA;LYD;52358.83519414844
114;NNVY1;MYANMAR;RSD;508514.61686323024
115;NNVY1;PAKISTAN;MZN;549309.2611033134
116;NNVY1;KOREA, REPUBLIC OF;UGX;20280312.87779765
117;NNVY1;BARBADOS;BRL;2057.3524730688823
118;NNVY1;GUATEMALA;FJD;155.5572457474001
119;MVVbc;PERU;KHR;184022860.94979608
120;MVVbc;RUSSIAN FEDERATION;SRD;1236.2130558270144
121;MVVbc;VIET NAM;MYR;14774.880009748054
122;MVVbc;QATAR;GMD;1613605.4587141671
123;MVVbc;GUATEMALA;WST;145415.00305655878
124;MVVbc;CAPE VERDE;MZN;1908212.4770500304
125;CCZZ2;SURINAME;SGD;5625.58275035181
