Client;Country;Currency;Transaction
EEEHN;GHANA;KRW;1634372.7011375413
EEEHN;MEXICO;PLN;14343.530305587905
EEEHN;CAPE VERDE;BWP;17904.909581713266
EEEHN;BULGARIA;CYP;896.6096644511034
EEEHN;SOLOMON ISLANDS;LVL;249.86096117831897
EEEHN;SAMOA;DJF;253324.7075554615
EEEHN;SWAZILAND;ANG;396.7295888705303
EEEHN;BULGARIA;TZS;6836672.746426286
EEEHN;MALAWI;MWK;436713.4848680402
EEEHN;IRAN (ISLAMIC REPUBLIC OF);LVL;1903.7232537777656
EEEHN;CHILE;STD;48535534.124130145
GJNa3;SOUTH AFRICA;BRL;13067.856134847018
GJNa3;ZAMBIA;SOS;1100903.0983820513
GJNa3;THAILAND;RSD;211239.7939027437
GJNa3;SWAZILAND;PKR;60566.63218320006
GJNa3;PERU;UYU;69983.91109524682
GJNa3;UNITED ARAB EMIRATES;RWF;489347.38172194565
GJNa3;HONDURAS;SOS;962164.341330316
GJNa3;JAMAICA;PAB;1895.1447164862268
GJNa3;CZECH REPUBLIC;HNL;22701.7529999231
GJNa3;FRENCH POLYNESIA;DJF;356850.2633769254
GJNa3;THAILAND;HNL;46998.54134084625
EWac3;TRINIDAD AND TOBAGO;IRR;94127504.17222129
EWac3;ZAMBIA;KHR;6572395.053879507
EWac3;SEYCHELLES;QAR;9169.848561486757
EWac3;SRI LANKA;PHP;52550.922795933904
EWac3;NAMIBIA;EGP;19719.186730814938
EWac3;SURINAME;UGX;2282840.3835617765
EWac3;DOMINICA;SDG;451888.68023303215
EWac3;ICELAND;MZN;7166.3030957935
DDGXa;LIBYAN ARAB JAMAHIRIYA;HNL;137416.8004383605
DDGXa;AZERBAIJAN;SAR;93093.50018596383
DDGXa;NIGERIA;KYD;20384.731940451784
DDGXa;BANGLADESH;NPR;3129521.8998161517
DDGXa;GHANA;VND;207253918.27643812
DDGXa;LAO PEOPLE'S DEMOCRATIC REP;HRK;42774.902019620306
DDGXa;ARUBA;MWK;24551568.902462576
DDGXa;HONG KONG;KRW;19892818.563918527
DDGXa;SRI LANKA;VND;424332932.8575732
DDGXa;BAHAMAS;IRR;865873480.7148231
DDGXa;CENTRAL AFRICAN REPUBLIC;AZN;4982.64076497057
DDGXa;TANZANIA, UNITED REPUBLIC OF;DZD;678476.7911506587
DDGXa;CAYMAN ISLANDS;VND;233330588.97192317
DDGXa;MEXICO;NIO;272044.3158918414
DDGXa;PHILIPPINES;OMR;8888.60035465498
DDGXa;BELARUS;LKR;2217814.7730381815
DDGXa;DOMINICAN REPUBLIC;EUR;20117.058552570936
DDGXa;EURO;LRD;1797923.2273332544
BHLac;ROMANIA;BGN;22084.39458102075
BHLac;HONG KONG;BMD;7932.570468461965
BHLac;BULGARIA;PLN;58422.109630938925
BHLac;BELIZE;CLP;11118760.736478452
BHLac;RWANDA;MXN;228219.1166792724
BHLac;DJIBOUTI;BIF;16360617.966219814
BHLac;BRUNEI DARUSSALAM;NPR;1617173.023660031
