Client;Country;Currency;Transaction
DHIXZ;BELIZE;TND;47858.94870912392
DHIXZ;LEBANON;MAD;112093.25290144644
DHIXZ;HONDURAS;TND;17112.937852748724
DHIXZ;IRAN (ISLAMIC REPUBLIC OF);XCD;36172.33980911498
DHIXZ;BAHRAIN;BIF;31898729.355428793
DHIXZ;ARUBA;CHF;6964.789624435613
DHIXZ;BELARUS;JMD;476112.3409188547
DHIXZ;ISRAEL;SGD;23012.065185982014
DHIXZ;NAMIBIA;SVC;121439.49137242716
DHIXZ;MACAU;PHP;449046.1507043926
DHIXZ;DJIBOUTI;VUV;1585572.2423647828
DHIXZ;QATAR;CAD;8843.093844782528
DHIXZ;CHINA;CNY;118043.15162792036
DHIXZ;LATVIA;MMK;21960097.470180444
DHIXZ;RUSSIAN FEDERATION;LYD;36654.87805485104
DHIXZ;BAHAMAS;IDR;222156067.02699858
DHIXZ;BELIZE;SAR;54720.67223674125
DHIXZ;SINGAPORE;MUR;586876.0256676002
FFWZ3;GAMBIA;PHP;699391.8233013331
FFWZ3;SOUTH AFRICA;BHD;15040.934377687536
FFWZ3;BERMUDA;BMD;17631.42261537361
FFWZ3;SUDAN;SEK;138024.34806585818
FFWZ3;CAMBODIA;SZL;91460.93929806413
FFWZ3;RWANDA;PKR;1754008.2162717497
FFWZ3;FRENCH POLYNESIA;BGN;19926.530028212626
FFWZ3;SURINAME;PES;4830555.804853767
FFWZ3;MAURITIUS;AZN;71958.49811023788
FFWZ3;EGYPT;SAR;162613.8515129402
FFWZ3;IRAQ;CYP;19991.53875328391
FFWZ3;UGANDA;BWP;264081.83277286775
FFWZ3;TONGA;SZL;300345.9232433203
FFWZ3;BELARUS;KRW;16842905.393686786
FFWZ3;BHUTAN;VND;328070789.99687916
FFWZ3;FRENCH POLYNESIA;BBD;56025.717422596455
ADGM3;HONG KONG;SVC;40757.35419323266
ADGM3;MALDIVES;GMD;457835.91304637876
ADGM3;ALBANIA;XOF;2072479.6183323904
ADGM3;UNITED KINGDOM;KHR;10033731.870725194
ADGM3;SRI LANKA;SZL;10917.262177800429
ADGM3;BERMUDA;EGP;157560.68823281804
ADGM3;NEPAL;BIF;6498906.33789571
ADGM3;PERU;BBD;2683.9479346387952
ADGM3;ICELAND;CNY;4048.402329378981
ADGM3;BURUNDI;LYD;719.085296074817
ADGM3;VIET NAM;MAD;7478.086397653198
ADGM3;UNITED KINGDOM;IDR;42367706.43098378
ADGM3;MAURITANIA;CZK;73719.65140429078
ADGM3;PARAGUAY;CHF;2252.6559193779112
ADGM3;EURO;TZS;15132153.589019444
AHJLY;ANGOLA;VES;13016.865634689144
AHJLY;MADAGASCAR;FJD;3952.3844839393787
AHJLY;UNITED KINGDOM;PEN;742.2664830117211
AHJLY;KENYA;MRO;72015.40788347113
AHJLY;UNITED ARAB EMIRATES;XOF;121588.79802039615
AHJLY;SWITZERLAND;ALL;98984.89856368696
AHJLY;ETHIOPIA;IDR;19766920.320034333
AHJLY;JAPAN;UAH;31604.50750305787
AHJLY;BHUTAN;CAD;1238.8613509442835
AHJLY;SWEDEN;GBP;911.2837689650512
AHJLY;YEMEN;BZD;3167.2627416468727
AHJLY;ZIMBABWE;GBP;294.5946264326846
AHJLY;CHILE;XAF;455740.20302015427
AHJLY;JAPAN;XOF;686472.6815563
AHJLY;TAIWAN, PROVINCE OF CHINA;BRL;7478.742681629583
AHJLY;CROATIA;TTD;9146.722051842884
AHJLY;LIBYAN ARAB JAMAHIRIYA;IQD;1449109.4459012134
AHJLY;SINGAPORE;SGD;1737.8642609482736
AHJLY;SERBIA;MWK;64808.75211437615
AHJLY;KENYA;PEN;4543.759015378557
