;Client;Country;Currency;Transaction
0;EWZZc;CROATIA;MUR;270571.723988362
1;EWZZc;INDIA;ISK;2347084.2083879868
2;EWZZc;LIBYAN ARAB JAMAHIRIYA;SBD;130607.86080236139
3;EWZZc;JORDAN;ILS;12116.210402112174
4;EWZZc;DENMARK;XOF;9520196.553072827
5;EWZZc;TONGA;RSD;969484.0054710455
6;EWZZc;ANGOLA;GNF;119290529.9078328
7;EWZZc;MALAYSIA;MZN;500879.21782384376
8;EWZZc;MYANMAR;CVE;51179.27430811075
9;EWZZc;RWANDA;CYP;9015.765819764143
10;EWZZc;ANGOLA;NGN;7715259.956487802
11;EWZZc;PERU;JMD;749895.899967792
12;EWZZc;QATAR;HUF;508338.5816440675
13;EWZZc;LAO PEOPLE'S DEMOCRATIC REP;EUR;9262.113534601298
14;XWYab;TOGO;GHS;53301.45089583241
15;XWYab;TAIWAN, PROVINCE OF CHINA;BYR;46497088.663256414
16;XWYab;BELIZE;FJD;4276.353368665265
17;XWYab;HUNGARY;INR;189677.9201130067
18;XWYab;CYPRUS;BZD;2354.641355723158
19;XWYab;GAMBIA;VND;17388154.151471812
20;XWYab;PANAMA;PHP;150375.75039141503
21;LZb13;KUWAIT;ILS;20794.848594373892
22;LZb13;CYPRUS;DZD;29877.43544877273
23;LZb13;LAO PEOPLE'S DEMOCRATIC REP;SCR;21274.826032605357
24;LZb13;TOGO;TWD;172048.68803423896
25;LZb13;ALGERIA;MOP;19863.85082003445
26;LZb13;BERMUDA;XAF;4817641.56726299
27;LZb13;SWAZILAND;CHF;15871.776527749962
28;LZb13;OMAN;IRR;282878242.76622087
29;LZb13;SAMOA;GNF;28281816.662288416
30;LZb13;LIBERIA;TZS;7535225.030626911
31;LZb13;KOREA, REPUBLIC OF;LVL;7960.639326190591
32;LZb13;SRI LANKA;CAD;2529.049380581797
33;LZb13;RUSSIAN FEDERATION;CAD;15100.184946330874
34;LZb13;SOMALIA;NPR;629156.2153191317
35;LZb13;MALAYSIA;PEN;56069.487963355685
36;LZb13;LAO PEOPLE'S DEMOCRATIC REP;IQD;18038284.290614773
37;LZb13;SOMALIA;NGN;4384073.367466343
38;LZb13;TUNISIA;BBD;22183.746552074703
39;LZb13;SINGAPORE;IQD;7421494.1331618
40;LZb13;SERBIA;CAD;20169.863603925704
41;FHLNa;ZAMBIA;SDG;165040.64651168
42;FHLNa;CHILE;ZMW;2636.2468880538113
43;FHLNa;KOREA, REPUBLIC OF;NOK;3342.4489684103937
44;FHLNa;CAMBODIA;NPR;15299.828363092212
45;FHLNa;BOLIVIA;UAH;21275.9651787885
46;FHLNa;CAYMAN ISLANDS;WST;2372.504634442354
47;FHLNa;VENEZUELA;RUB;14429.86844460085
48;FHLNa;MADAGASCAR;GBP;545.3319452789839
49;FHLNa;YEMEN;WST;1438.5223244482988
50;FHLNa;HONDURAS;SDG;143789.25410590437
51;FHLNa;IRAN (ISLAMIC REPUBLIC OF);JOD;219.3659562525859
52;FHLNa;VANUATU;NIO;17158.162627151716
53;FHLNa;BANGLADESH;GTQ;5674.946813272726
54;FHLNa;HUNGARY;MZN;6683.3548681421835
55;AIMa2;SINGAPORE;LBP;7880925.484089724
56;AIMa2;ICELAND;XPF;1153728.935372763
57;AIMa2;MALAYSIA;BOB;4961.492867311542
58;AIMa2;QATAR;SEK;84837.56092206037
59;AIMa2;NEW ZEALAND;BYR;156710847.85974762
60;AIMa2;PHILIPPINES;SZL;58114.29557446843
61;AIMa2;EURO;SBD;57761.21943358083
62;AIMa2;JAMAICA;ZAR;168086.02400274226
63;AIMa2;SAMOA;IQD;7457491.635950713
64;AIMa2;MACAU;XCD;11882.747365107412
65;AIMa2;CHINA;KES;814169.5884059113
66;AIMa2;TOGO;HRK;46543.14240988978
67;AIMa2;SOMALIA;SVC;46303.4151873691
68;AIMa2;GUYANA;BWP;37270.32578691851
69;AIMa2;CROATIA;JMD;702814.5773428068
70;AIMa2;TONGA;TWD;44818.649303546874
71;AIMa2;BOLIVIA;RWF;6079015.693234076
72;AIMa2;CAYMAN ISLANDS;DOP;475279.9196736005
73;AHII3;BRUNEI DARUSSALAM;GTQ;7767.205090597914
74;AHII3;VANUATU;LBP;562929.6206958361
75;AHII3;UKRAINE;PHP;80797.61141200876
76;AHII3;CHINA;BYR;30681025.585051473
77;AHII3;GHANA;HNL;14717.926359919702
78;AHII3;FRENCH POLYNESIA;ZMW;960.9239951879215
79;AHII3;JAPAN;SZL;5626.1821171784895
80;AHII3;GUINEA;DOP;75721.80495313772
81;AHII3;SWEDEN;SAR;3586.1398131514493
82;BIKN1;HUNGARY;KWD;1133.9461693601506
83;BIKN1;TRINIDAD AND TOBAGO;SEK;21057.36972988352
84;BIKN1;IRAN (ISLAMIC REPUBLIC OF);JOD;2071.6783088260268
85;BIKN1;ANGOLA;LVL;2095.7020689747824
86;BIKN1;SOMALIA;MOP;1708.13077729836
87;BIKN1;BHUTAN;LBP;2589467.5091713252
88;BIKN1;BURUNDI;GYD;723934.1405015588
89;BIKN1;BRUNEI DARUSSALAM;PKR;245184.05714681302
90;BIKN1;BRUNEI DARUSSALAM;PYG;22911166.958685186
91;BIKN1;NICARAGUA;SBD;19890.897884599563
92;BIKN1;SAUDI ARABIA;KES;71854.29259431237
93;BIKN1;OMAN;AED;12413.290698160728
94;BIKN1;ZIMBABWE;MRO;1275092.1891091063
95;BIKN1;PANAMA;HTG;20169.80542005334
96;GZa23;HAITI;KRW;6529360.97307091
97;GZa23;KENYA;CVE;1061603.758115599
98;GZa23;LAO PEOPLE'S DEMOCRATIC REP;BDT;772334.629006825
99;GZa23;TOGO;SAR;1500.1656707211416
100;GZa23;THAILAND;SYP;6122418.889853539
101;GZa23;ISRAEL;SDG;1043839.7215425416
102;GZa23;LAO PEOPLE'S DEMOCRATIC REP;JPY;1478231.8719725225
103;GZa23;TANZANIA, UNITED REPUBLIC OF;INR;-13069.169994420236
104;GZa23;KUWAIT;VES;87096.86754372246
105;GZa23;JAPAN;MZN;844672.1098762596
106;AJMMa;ETHIOPIA;GNF;5986351.490000703
107;AJMMa;SWAZILAND;GNF;15632283.89086976
108;AJMMa;SWEDEN;CHF;1902.1587556888692
109;AJMMa;MAURITIUS;KYD;1100.9974179492954
110;AJMMa;PANAMA;TTD;16726.91321234936
111;AJMMa;COLOMBIA;GBP;218.2395555909323
112;AJMMa;TAIWAN, PROVINCE OF CHINA;FJD;4213.234742853918
113;AJMMa;SOMALIA;INR;170243.75108152974
114;AJMMa;RUSSIAN FEDERATION;VUV;13380.185778201847
115;AJMMa;NIGERIA;BMD;1023.0460091357788
116;AJMMa;CROATIA;MXN;12567.994332805269
117;AJMMa;AUSTRALIA;SCR;7365.126806621675
118;AJMMa;SWEDEN;ILS;6118.794513895005
119;AJMMa;SRI LANKA;UYU;92659.67457224717
120;ADLa3;ALGERIA;ANG;26546.775881196354
121;ADLa3;SRI LANKA;RWF;8636412.33087571
122;ADLa3;BURUNDI;ISK;1456110.2362655404
123;ADLa3;SWAZILAND;KYD;16839.537028378327
124;ADLa3;UNITED ARAB EMIRATES;KRW;4538801.262566213
125;CGMM2;BULGARIA;NZD;1783.5091120394081
126;CGMM2;VIET NAM;BOB;4779.565672621841
127;CGMM2;NETHERLANDS ANTILLES;RWF;760840.9744155566
128;CGMM2;LEBANON;FJD;861.7687028630105
129;CGMM2;CAPE VERDE;BND;717.2948422936483
130;CGMM2;SUDAN;DOP;1864.4332297705905
131;CGMM2;TURKEY;CAD;1319.1684343024754
132;CGMM2;ROMANIA;GHS;13343.153324271698
133;CGMM2;ANGOLA;NZD;1185.7873251675112
134;CGMM2;CAMBODIA;XOF;303140.3888828678
135;CGMM2;CAMBODIA;KZT;460291.876488879
136;CGMM2;SWITZERLAND;RSD;130769.22833228602
137;CGMM2;TURKEY;MYR;640.1539606367135
138;GLWYY;MADAGASCAR;MRO;4482806.355494661
139;GLWYY;CROATIA;MMK;19333870.776027896
140;GLWYY;SURINAME;DJF;735515.635816905
141;GLWYY;UNITED ARAB EMIRATES;LYD;7959.576184072051
142;GLWYY;CHINA;LKR;2345879.082274346
143;GLWYY;DJIBOUTI;MYR;33056.55842956362
144;GLWYY;UKRAINE;VND;223396062.74037105
145;GLWYY;SIERRA LEONE;TOP;25512.827361503776
146;GLWYY;UNITED KINGDOM;BYR;154339949.713553
147;GLWYY;SAMOA;TTD;38248.26008387658
148;GLWYY;COLOMBIA;KRW;5270838.509473658
149;GLWYY;PHILIPPINES;MOP;72878.79537848374
150;GLWYY;GHANA;CLP;11378880.244259764
151;GLWYY;MALAYSIA;KES;45267.478549852065
152;EKYb1;TAIWAN, PROVINCE OF CHINA;NGN;7102484.315068949
153;EKYb1;HAITI;BMD;17642.158125149104
154;EKYb1;MADAGASCAR;MYR;35308.78669624847
155;EKYb1;ROMANIA;NOK;194178.64471975208
156;EKYb1;BELARUS;ZWL;8894990.66137222
157;EKYb1;TAIWAN, PROVINCE OF CHINA;HTG;392415.232459312
158;EKYb1;DENMARK;QAR;61675.53032482261
159;EKYb1;CENTRAL AFRICAN REPUBLIC;XOF;4708947.91584627
160;EKYb1;YEMEN;MOP;62430.69158669738
161;EKYb1;NEPAL;NAD;162750.46499741738
162;EKYb1;SUDAN;CNY;100107.54725420497
163;EKYb1;SRI LANKA;LBP;17383281.315347522
