Client;Country;Currency;Transaction
DFJWY;TANZANIA, UNITED REPUBLIC OF;CVE;402567.0216746579
DFJWY;RWANDA;UAH;36181.975512625344
DFJWY;TANZANIA, UNITED REPUBLIC OF;ZMW;25791.8575023602
DFJWY;KAZAKHSTAN;JMD;286149.5194350634
DFJWY;SERBIA;XPF;219039.08259203887
DFJWY;CAPE VERDE;JOD;2023.2906915947249
DFJWY;CZECH REPUBLIC;RSD;371081.9792485527
DFJWY;TAIWAN, PROVINCE OF CHINA;SAR;10548.181109766983
GJKc1;BELARUS;KHR;43082912.11470319
GJKc1;COLOMBIA;ILS;75003.7947624454
GJKc1;MEXICO;CRC;10226198.644924382
GJKc1;TONGA;VND;188290285.26445073
GJKc1;LIBERIA;AED;73515.68594796288
GJKc1;KAZAKHSTAN;JPY;180281.35967948413
GJKc1;SERBIA;NOK;18112.82291906727
CEFZ1;PHILIPPINES;PLN;15232.630909468957
CEFZ1;SEYCHELLES;CNY;2688.372141352503
CEFZ1;SURINAME;SEK;104070.35970609983
CEFZ1;NEW ZEALAND;TZS;17247924.050352268
CEFZ1;TUNISIA;MUR;281546.26691955817
CEFZ1;SRI LANKA;CHF;2323.6088670891722
CEFZ1;CHILE;SZL;103489.1533188432
CEFZ1;MALAYSIA;THB;344120.7999999693
CEFZ1;ETHIOPIA;LKR;4346351.908785627
CEFZ1;THAILAND;XCD;21069.282286357204
DDDc2;DOMINICAN REPUBLIC;BBD;14914.99658167127
DDDc2;BARBADOS;JPY;1793577.0670700422
DDDc2;TOGO;VND;197236909.20696044
DDDc2;MOZAMBIQUE;AWG;15170.37933030696
DDDc2;MYANMAR;AED;27867.23667944079
AXZb2;SAMOA;BGN;5177.4648947151445
AXZb2;NICARAGUA;PLN;756.9781801069488
AXZb2;MALDIVES;OMR;1053.6108730672108
AXZb2;CROATIA;MVR;41187.434113640185
AXZb2;UKRAINE;CRC;820157.8296501414
AXZb2;SWAZILAND;CLP;1891916.4253617155
AXZb2;RWANDA;PHP;155801.0936718402
AXZb2;PERU;AWG;2335.727255015195
AXZb2;CAYMAN ISLANDS;ANG;3042.8926682375745
AXZb2;TRINIDAD AND TOBAGO;NZD;2585.978446349397
AXZb2;CZECH REPUBLIC;XPF;66899.15706508709
AXZb2;ARGENTINA;PLN;8599.896437916057
AXZb2;NIGERIA;LBP;2389984.847944405
