Client;Country;Currency;Transaction
CEFHI;ZIMBABWE;SAR;1903.8516092534078
CEFHI;MADAGASCAR;PKR;341923.9257427522
CEFHI;CENTRAL AFRICAN REPUBLIC;CRC;601685.6577974423
CEFHI;LAO PEOPLE'S DEMOCRATIC REP;SZL;99405.66158773928
CEFHI;JAPAN;CYP;2464.3204366178184
CEFHI;MAURITANIA;EGP;25025.86034241736
CEFHI;QATAR;KYD;5379.244543639455
CEFHI;ETHIOPIA;TRY;28249.844385377568
CEFHI;GUINEA;QAR;22160.816753003037
CEFHI;LIBYAN ARAB JAMAHIRIYA;ISK;224187.80594410206
CEFHI;VANUATU;MRO;500854.47459379974
CEFHI;AUSTRALIA;PGK;15685.603617861465
CEFHI;HUNGARY;FJD;10141.22145771791
CEFHI;JORDAN;SVC;20070.523826112705
CEFHI;MACAU;THB;17967.65142759045
FFKWW;VANUATU;TZS;28094913.899426773
FFKWW;BERMUDA;QAR;18312.145774910005
FFKWW;KAZAKHSTAN;LAK;68147140.15182857
FFKWW;TRINIDAD AND TOBAGO;ETB;444073.8483865106
FFKWW;TRINIDAD AND TOBAGO;CLP;8114939.306773318
FFKWW;SEYCHELLES;LVL;6565.5131982130615
FFKWW;VIET NAM;VES;138023.88392166878
FFKWW;BULGARIA;OMR;1670.3063700643872
EEHLW;BOLIVIA;MVR;2109.7949645169747
EEHLW;NICARAGUA;RWF;535106.6013575111
EEHLW;MOZAMBIQUE;PES;62034.18188505225
EEHLW;UNITED ARAB EMIRATES;TZS;31694.33504220437
EEHLW;MALDIVES;SYP;276558.80278040044
EEHLW;HAITI;SGD;277.39441585740764
EEHLW;BAHRAIN;ZWL;42680.355723439694
EEHLW;BAHRAIN;BRL;227.98285253389577
GKWZa;JAPAN;PGK;21195.75730966645
GKWZa;BRUNEI DARUSSALAM;SVC;57039.514620112226
GKWZa;UNITED ARAB EMIRATES;BIF;10410868.484144147
GKWZa;IRAQ;DJF;963959.749060739
GKWZa;SWEDEN;PLN;3222.253579088669
