;Client;Country;Currency;Transaction
0;JWZ22;ICELAND;BIF;2158140.499717678
1;JWZ22;SERBIA;PAB;708.5299028207531
2;JWZ22;KENYA;ZWL;408382.4539364212
3;JWZ22;KUWAIT;BBD;1208.1534912131985
4;JWZ22;TRINIDAD AND TOBAGO;KRW;461276.5579942237
5;JWZ22;TAIWAN, PROVINCE OF CHINA;AUD;950.5450912126473
6;JWZ22;UNITED KINGDOM;XOF;614888.8404349942
7;JWZ22;GUATEMALA;OMR;108.45447160520376
8;JWZ22;GUATEMALA;AED;537.4328556506415
9;JWZ22;LATVIA;JMD;157374.04363992042
10;JWZ22;CROATIA;PAB;416.1037837488173
11;JWZ22;TANZANIA, UNITED REPUBLIC OF;CLP;458713.45655375335
12;JWZ22;MEXICO;NPR;75269.87382412606
13;JWZ22;AZERBAIJAN;CAD;1223.4695928043745
14;JWZ22;TRINIDAD AND TOBAGO;QAR;2404.9009733831926
15;FFHJY;LEBANON;JPY;375932.1518068126
16;FFHJY;LEBANON;DZD;128428.41665382269
17;FFHJY;MAURITANIA;MWK;270899.19712110027
18;FFHJY;NEW ZEALAND;CNY;9159.785200713057
19;FFHJY;LIBERIA;MVR;47645.34033929824
20;FFHJY;IRAN (ISLAMIC REPUBLIC OF);BGN;3393.2200436080875
21;FFHJY;NAMIBIA;VUV;80229.32033487251
22;FFHJY;MADAGASCAR;YER;173085.87459618718
23;FFHJY;CZECH REPUBLIC;STD;20985627.01730364
24;FFHJY;INDIA;BND;2865.3324743371986
25;FFHJY;HONG KONG;JOD;1365.1300950825162
26;BKKKc;JORDAN;BND;19053.45127471556
27;BKKKc;GUATEMALA;SBD;27633.311467891835
28;BKKKc;PHILIPPINES;BGN;1121.566554087527
29;BKKKc;POLAND;ANG;16566.462562310815
30;BKKKc;DOMINICAN REPUBLIC;SYP;1121576.4064533203
31;BKKKc;VENEZUELA;BOB;84642.45257456042
32;BKKKc;FIJI;ANG;19560.508620676246
33;BGVZa;ANGOLA;OMR;11424.127619259367
34;BGVZa;PAPUA NEW GUINEA;ARS;6873800.896194375
35;BGVZa;ANGOLA;DKK;304464.4960387566
36;BGVZa;TAIWAN, PROVINCE OF CHINA;NPR;3638705.9251753082
37;BGVZa;VANUATU;UYU;1713972.067741306
38;BGVZa;SAMOA;PES;3735849.7798152785
39;BGVZa;UKRAINE;SCR;275994.45661850926
40;ABFJK;GUATEMALA;UGX;20749906.641594347
41;ABFJK;PAKISTAN;NOK;2115.133317448522
42;ABFJK;ISRAEL;MWK;6987983.055713897
43;ABFJK;MAURITIUS;IDR;84319102.58289465
44;ABFJK;SUDAN;FJD;6894.468360708393
45;ABFJK;SOUTH AFRICA;JOD;4288.173931958718
46;ABFJK;LIBERIA;KHR;18753046.849974297
47;ABFJK;NORWAY;AUD;1274.1209688645577
48;ABFJK;MAURITIUS;KHR;5270163.641258484
49;ABFJK;RUSSIAN FEDERATION;PLN;181.37204309462666
50;ABFJK;AZERBAIJAN;VUV;56378.03992533522
51;ABFJK;ARGENTINA;TWD;107530.70693718112
52;ABFJK;PAPUA NEW GUINEA;ARS;1512380.5794109898
53;ABFJK;SWITZERLAND;GTQ;3750.93891533037
54;ABFJK;HAITI;SVC;4158.633231614655
55;ABFJK;MOROCCO;THB;202917.72117961227
56;ABFJK;LEBANON;WST;18742.893367873075
57;ABFJK;GHANA;PGK;21523.084725542325
58;ABFJK;SRI LANKA;BDT;248013.4759213236
59;ABFJK;SURINAME;ARS;1383397.7786840736
60;HYZ12;EL SALVADOR;KWD;702.6871644416699
61;HYZ12;JAMAICA;MXN;28854.899923156358
62;HYZ12;FIJI;KYD;7041.512925328974
63;HYZ12;MYANMAR;YER;1540395.7634953838
64;HYZ12;BRAZIL;LKR;2598368.556804085
65;HYZ12;CYPRUS;CNY;70896.8910018564
66;HYZ12;DOMINICAN REPUBLIC;JOD;5827.395460507306
67;HYZ12;NEPAL;LAK;219427799.53231135
68;HYZ12;EURO;PLN;9321.24656532494
69;EEKL2;DOMINICAN REPUBLIC;ZMW;430715.7729458769
70;EEKL2;CAPE VERDE;XAF;24211918.36140074
71;EEKL2;SAUDI ARABIA;LAK;653950104.1194522
72;EEKL2;UKRAINE;PAB;21763.686643791592
73;EEKL2;POLAND;CNY;97321.74070489834
74;EEKL2;CAPE VERDE;LKR;8882799.459440857
75;EEKL2;AUSTRALIA;SLL;77117927.70469473
76;EEKL2;SINGAPORE;MMK;11396527.759673053
77;EEKL2;TANZANIA, UNITED REPUBLIC OF;MUR;326108.9446496606
78;EEKL2;NAMIBIA;MAD;126200.04453437724
79;BLZa3;TONGA;NAD;42805.462062108985
80;BLZa3;OMAN;LAK;6052536.581844642
81;BLZa3;PANAMA;PES;560224.4617730415
82;BLZa3;ARGENTINA;QAR;8862.833046177911
83;BLZa3;ROMANIA;VUV;567296.884786725
84;BLZa3;SIERRA LEONE;OMR;1960.1636682633518
85;BLZa3;GUATEMALA;KES;406000.5123397256
86;BLZa3;BOTSWANA;TRY;36652.01322733197
87;BLZa3;SWAZILAND;UAH;44770.53752369321
88;BLZa3;SYRIAN ARAB REPUBLIC;TOP;12088.326005752177
89;BLZa3;SINGAPORE;RSD;461013.8970370625
90;BLZa3;GUINEA;SVC;3129.628301795933
91;BLZa3;POLAND;JMD;78557.15648271407
92;BLZa3;MAURITIUS;KHR;7976316.019911249
93;JMVWa;MOZAMBIQUE;AUD;25360.399250052917
94;JMVWa;GUATEMALA;GTQ;193476.58501986225
95;JMVWa;MYANMAR;SBD;162531.07061095582
96;JMVWa;MADAGASCAR;MYR;102144.44989387169
97;JMVWa;BOTSWANA;NAD;183977.04786760287
98;JMVWa;SINGAPORE;SCR;350083.0101652541
99;JMVWa;CHILE;AUD;43368.87458229371
100;JMVWa;BOTSWANA;KHR;83233054.87308918
101;JMVWa;KENYA;BTN;762251.618471063
102;JMVWa;ISRAEL;VES;56957.41740295611
103;JMVWa;TUNISIA;HRK;31472.33177148084
104;JMVWa;SEYCHELLES;FJD;7864.354751651502
105;JMVWa;BULGARIA;SDG;5573321.834461128
