Client;Country;Currency;Transaction
DDEEG;YEMEN;MUR;12384.195604291293
DDEEG;BRUNEI DARUSSALAM;RON;4810.439572820261
DDEEG;OMAN;GBP;528.0606322097361
AJLWc;CANADA;MXN;6936.874283850761
AJLWc;PANAMA;LBP;1653375.11122836
AJLWc;ARGENTINA;VES;16282.624627032623
AJLWc;VANUATU;MAD;2987.5043761708807
AJLWc;RWANDA;BBD;291.56217812511863
AJLWc;BURUNDI;MRO;186057.7007654054
AJLWc;BAHRAIN;SVC;9464.757462815583
AJLWc;SYRIAN ARAB REPUBLIC;ZAR;14445.374328966538
AJLWc;BOTSWANA;BZD;816.7860390333976
AJLWc;YEMEN;RON;3249.312753308337
AJLWc;TANZANIA, UNITED REPUBLIC OF;BZD;470.52734554571737
AJLWc;BULGARIA;BYR;208155.7771931869
AJLWc;GUATEMALA;UYU;39810.62032117732
AJLWc;NORWAY;PEN;3573.8108113044373
AJLWc;PARAGUAY;ZMW;17194.780246740916
AJLWc;KUWAIT;FJD;1297.8297020093958
AJLWc;SYRIAN ARAB REPUBLIC;TTD;6740.006637606291
AJLWc;SURINAME;RWF;353455.87667635264
AJLWc;KOREA, REPUBLIC OF;GNF;980810.1977745638
EEEY3;RUSSIAN FEDERATION;MAD;774.3457930631653
EEEY3;HAITI;BIF;23373.80895003531
EEEY3;MAURITIUS;SVC;811.7927711712722
EEEY3;LEBANON;PYG;373661.0202576719
EEEY3;ZAMBIA;PAB;93.57187303694309
EEEY3;LATVIA;MMK;156085.48113521465
EEEY3;ZAMBIA;SLL;826239.013480364
EEEY3;BULGARIA;CRC;13661.669678967688
DGG12;ARUBA;BHD;5671.379174938611
DGG12;HUNGARY;IRR;1011971642.3792752
DGG12;AUSTRALIA;PLN;14889.63541398855
DGG12;SWEDEN;JMD;3621664.3177109384
DGG12;BELIZE;SVC;31895.727910740028
DGG12;CHILE;SBD;62467.416257050114
DGG12;BERMUDA;ANG;25649.97725028329
DGG12;SYRIAN ARAB REPUBLIC;MOP;159778.75274171712
DGG12;MOZAMBIQUE;JOD;11177.229792643891
DGG12;INDIA;LBP;9450600.17887469
DGG12;MOZAMBIQUE;DOP;1035641.5251145147
AAAc1;VANUATU;SAR;3088.786299587295
AAAc1;SUDAN;GNF;25225712.172799855
GJKK2;YEMEN;XOF;867879.9155167476
GJKK2;TOGO;CAD;2549.593294016953
GJKK2;LIBERIA;RON;10819.327211616634
GJKK2;EURO;LAK;44461655.11025137
GJKK2;GAMBIA;STD;35399319.040669106
GJKK2;LATVIA;CZK;5636.595662454618
GJKK2;BAHAMAS;COP;14022321.756453771
GJKK2;VENEZUELA;OMR;921.759717220113
GJKK2;MALAWI;CYP;1737.7657564028996
GJKK2;COSTA RICA;VES;7233.252828683944
GJKK2;MOROCCO;MGA;2307262.5279952167
GJKK2;COLOMBIA;BIF;2784454.350832711
GJKK2;TURKEY;PGK;6920.708823372573
GJKK2;NIGERIA;MAD;19770.63858278943
BDEFV;HAITI;LRD;509861.78567115543
BDEFV;COSTA RICA;MZN;53214.874556294846
BDEFV;CHINA;CZK;81218.35127412218
BDEFV;JAMAICA;SVC;920.7884908072147
BDEFV;HONDURAS;PHP;9777.554440510472
BDEFV;LAO PEOPLE'S DEMOCRATIC REP;CLP;3492299.384497867
BDEFV;NICARAGUA;ZWL;770197.3219485943
BDEFV;DJIBOUTI;RON;17374.27142354089
BDEFV;INDIA;TND;16902.13583108772
BDEFV;TOGO;KYD;4571.542145316013
BDEFV;DJIBOUTI;SOS;2404662.448202997
ADHX2;RUSSIAN FEDERATION;KRW;5929567.639110636
ADHX2;CHINA;DKK;33569.676502226
ADHX2;IRAN (ISLAMIC REPUBLIC OF);TTD;35681.1966346312
ADHX2;RUSSIAN FEDERATION;HKD;47021.192713494325
CCXXb;NEPAL;SVC;12312.46722452438
CCXXb;BOTSWANA;MWK;-16807.898222046606
CCXXb;CAPE VERDE;CZK;7995.491044044958
CCXXb;SOMALIA;XPF;394158.3573522425
CCXXb;EGYPT;BSD;1089.5887634537871
CCXXb;PARAGUAY;BBD;7054.34796079934
CCXXb;GHANA;BZD;8095.257810812812
CCXXb;PERU;PGK;7097.1766676692605
EJV22;SYRIAN ARAB REPUBLIC;MUR;20945.440434978864
EJV22;NETHERLANDS ANTILLES;PGK;2182.098957842487
EJV22;ALGERIA;AWG;843.0623929842427
EJV22;NAMIBIA;BHD;181.30673789608986
EJV22;PANAMA;GBP;903.3233401958441
EJV22;NETHERLANDS ANTILLES;PHP;96466.3308881565
EJV22;EL SALVADOR;SZL;21506.191602123108
EJV22;CHILE;CRC;440970.27392411255
EJV22;PAPUA NEW GUINEA;SAR;1269.8102773064418
EJV22;TANZANIA, UNITED REPUBLIC OF;WST;4051.768490945142
EJV22;TURKEY;NAD;16305.972954583614
EJV22;PHILIPPINES;STD;25877630.0125639
HJLMa;SWITZERLAND;VUV;1109423.0195716347
HJLMa;CENTRAL AFRICAN REPUBLIC;CRC;527352.726062957
HJLMa;NAMIBIA;SVC;25666.57306801522
HJLMa;DENMARK;INR;728406.3528728739
HKVbc;HONG KONG;XOF;1544028.5578569605
HKVbc;BAHRAIN;RON;25824.96987040031
HKVbc;ETHIOPIA;PYG;67324150.8205387
HKVbc;ROMANIA;HNL;91296.97374249532
HKVbc;SINGAPORE;BOB;25767.544015153675
GGGVb;BRUNEI DARUSSALAM;THB;5199.230581208307
GGGVb;JAMAICA;MUR;36247.59202253056
GGGVb;TAIWAN, PROVINCE OF CHINA;ETB;60496.302986996045
GGGVb;URUGUAY;KES;65135.39468151992
GGGVb;KUWAIT;SLL;8660583.223018134
GGGVb;VENEZUELA;PYG;4305614.212107571
GGGVb;SERBIA;NAD;20455.229092714068
EGGYc;BURUNDI;SGD;3729.0610782800877
EGGYc;VENEZUELA;ALL;35450.048532588284
EGGYc;BULGARIA;ALL;109888.77454301422
EGGYc;NETHERLANDS ANTILLES;AUD;3960.7306714782026
EGGYc;CAYMAN ISLANDS;SRD;-76.85384265701985
EGGYc;GUINEA;ARS;173757.1324225151
EGGYc;CROATIA;ANG;494.88733540297017
EGGYc;PAKISTAN;HKD;20348.917930560176
EGGYc;SERBIA;KES;41152.638781773014
EGGYc;CHINA;UYU;2351.2602876214423
EGGYc;BELIZE;GTQ;8099.674964421048
EGGYc;LIBERIA;THB;3534.2699407922914
EGGYc;RWANDA;KWD;145.24403370831232
EGGYc;SOMALIA;ZAR;13827.388813769512
EGGYc;MALDIVES;MRO;374289.29846966296
EGGYc;ANGOLA;PLN;2104.694514234599
EGGYc;SUDAN;CLP;2609538.714520638
EGGYc;DOMINICAN REPUBLIC;BBD;3937.5834343842707
EGGYc;NIGERIA;LKR;749427.8460085648
EGGYc;HAITI;EGP;34374.91218310445
DX113;NAMIBIA;SYP;5662245.190293433
DX113;THAILAND;KWD;69.40540443618606
DX113;LIBERIA;BMD;1336.3793871650396
DX113;TAIWAN, PROVINCE OF CHINA;LAK;151015872.58749697
DX113;CYPRUS;INR;582319.3795869523
DFGLa;CHINA;BND;5756.063695855752
DFGLa;PAKISTAN;HKD;19890.974480916553
DFGLa;IRAN (ISLAMIC REPUBLIC OF);RWF;381228.40389878955
DFGLa;BURUNDI;AUD;5532.186962340566
DGJb1;MALAWI;PGK;47046.68641577146
DGJb1;TURKEY;CVE;1638366.5837731224
DGJb1;BERMUDA;UYU;656904.5561055285
DGJb1;THAILAND;LAK;247588402.12594903
DGJb1;RWANDA;CVE;1472058.0965086175
DGJb1;ARUBA;SDG;9171022.588701716
DGJb1;SWEDEN;SVC;30257.639614095155
DGJb1;PHILIPPINES;AUD;6066.694431966651
DGJb1;ANGOLA;HRK;47012.70664479636
DGJb1;CZECH REPUBLIC;GYD;2771946.653877796
DGJb1;CZECH REPUBLIC;UAH;21312.681773706707
DGJb1;HONG KONG;LYD;67512.20946519886
DGJb1;FIJI;ETB;719211.7273678175
DGJb1;ROMANIA;MMK;1887705.6490669795
DGJb1;ZIMBABWE;ZAR;63333.82497882753
DGJb1;LIBYAN ARAB JAMAHIRIYA;STD;162419399.37479976
DGJb1;SEYCHELLES;NPR;1884736.1431802148
DDDDc;SWEDEN;KHR;2643516.4821710363
DDDDc;TONGA;KRW;442205.98009642813
DDDDc;NORWAY;XAF;1428002.824831622
DDDDc;MYANMAR;DJF;19040.525464015922
DDDDc;NORWAY;TOP;7376.789395856479
