;Client;Country;Currency;Transaction
0;DGGJN;ANGOLA;STD;9883315.283407649
1;DGGJN;MALAWI;MWK;234182.96627104437
2;DGGJN;GAMBIA;BHD;34.25955741416629
3;DGGJN;SOMALIA;PEN;1497.7769716953799
4;DGGJN;SIERRA LEONE;THB;6948.082897053883
5;DGGJN;RWANDA;BYR;9588803.400433782
6;DGGJN;TOGO;LAK;4030308.0796898874
7;DGGJN;DENMARK;MRO;42933.067393522804
8;DGGJN;GUINEA;ISK;1698.7000584648356
9;DGGJN;CHINA;HKD;182.3057927920778
10;DGGJN;LATVIA;HRK;1096.3177238787002
11;DGGJN;NICARAGUA;VUV;8614.700832944125
12;DGGJN;SINGAPORE;TZS;255137.24881531438
13;DGGJN;SOUTH AFRICA;CZK;5926.882152933125
14;DGGJN;CZECH REPUBLIC;JOD;222.81251913703204
15;DGGJN;GUINEA;AZN;108.46580151750703
16;DGGJN;TAIWAN, PROVINCE OF CHINA;BRL;1340.8342984000403
17;DGGJN;ISRAEL;NGN;8586.258830614039
18;DGGJN;BOLIVIA;SVC;1241.706311948116
19;DGGJN;CHINA;HNL;6859.840122639557
20;FFaa2;QATAR;AOA;-1056.4405376182704
21;FFaa2;SURINAME;AWG;5638.4949585147115
22;FFaa2;PERU;ALL;344722.2546406692
23;FFaa2;UGANDA;MUR;17299.1513104963
24;FFaa2;CYPRUS;COP;15532482.883104369
25;FFaa2;ISRAEL;AZN;10997.442104219555
26;FFaa2;SOUTH AFRICA;PHP;289273.44606875157
27;FFaa2;HAITI;NPR;23413.62949800151
28;FFaa2;CAPE VERDE;ALL;612594.0913321482
29;FFaa2;AUSTRALIA;CRC;1476246.304746039
30;FFaa2;MOROCCO;ZAR;100956.63028598028
31;FFaa2;HAITI;FJD;2513.406464738413
32;FFaa2;CZECH REPUBLIC;MRO;556547.8358975385
33;FFaa2;SURINAME;BBD;7954.398880345069
34;FFaa2;JAMAICA;HUF;838482.9383374996
35;FFaa2;SYRIAN ARAB REPUBLIC;RUB;363716.7573109981
36;FFaa2;FIJI;IQD;4671590.07270804
37;FFaa2;TOGO;MXN;93934.02269004028
38;FFaa2;MACAU;WST;1043.3167792729769
39;FFaa2;EGYPT;MMK;12451339.594533913
40;BBVX2;NIGERIA;BMD;920.4056022020579
41;BBVX2;IRAN (ISLAMIC REPUBLIC OF);SGD;884.5069384020817
42;BBVX2;GUINEA;ALL;59983.766096985935
43;BBVX2;SYRIAN ARAB REPUBLIC;PGK;47484.23980324599
44;BBVX2;EL SALVADOR;BDT;545909.6860494245
45;BBVX2;NIGERIA;SEK;93895.96759482914
46;BBVX2;MALAWI;GYD;766990.7712601587
47;BBVX2;HONDURAS;CLP;713564.3625637807
48;BBVX2;NICARAGUA;RWF;7265395.323018931
49;BBVX2;PERU;CHF;8711.641141542064
50;BBVX2;BURUNDI;KHR;12084075.314657234
51;BBVX2;LEBANON;PYG;82062942.06337951
52;BBVX2;MAURITIUS;SGD;2301.6836108196394
53;BBVX2;CZECH REPUBLIC;JPY;2002836.9572863763
54;BBVX2;KOREA, REPUBLIC OF;NAD;85575.76910184274
55;BBVX2;AZERBAIJAN;SYP;2100925.1412715777
56;BBVX2;JORDAN;BZD;27071.589814382012
57;BBVX2;PAPUA NEW GUINEA;SDG;5546914.419631091
58;BBVX2;CAMBODIA;MMK;28422210.32118373
59;BBVX2;SWAZILAND;CHF;3350.2116582828075
60;CDXZb;MALDIVES;PKR;583574.6561107908
61;CDXZb;SWITZERLAND;TRY;41484.12534229885
62;DFJJa;SAO TOME AND PRINCIPE;RSD;606120.9640492782
63;DFJJa;UNITED KINGDOM;SCR;47211.6256352929
64;DFJJa;BARBADOS;BYR;55499577.53045832
65;DFJJa;LEBANON;CZK;55043.95648948427
66;DFJJa;RUSSIAN FEDERATION;IDR;57998116.46102259
67;DFJJa;DOMINICAN REPUBLIC;TZS;10162537.866846496
68;DFJJa;HUNGARY;AUD;-2.910194852621208
69;DFJJa;SINGAPORE;ILS;21538.26510129758
70;DFJJa;JAMAICA;PYG;16797858.95734292
71;BBCZb;SURINAME;MWK;8028552.956001882
72;BBCZb;MALAYSIA;MXN;198675.03101612534
73;BBCZb;ZIMBABWE;LRD;847716.1187043232
74;BBCZb;NIGERIA;SAR;31083.887010207243
75;BBCZb;BAHRAIN;INR;391930.35763965803
76;BBCZb;PAKISTAN;PKR;1761214.9200097253
