;Client;Country;Currency;Transaction
0;AGLa3;INDIA;KHR;22852324.574871406
1;AGLa3;TONGA;MUR;53485.42879029427
2;AGLa3;SIERRA LEONE;SYP;2434063.809790002
3;AGLa3;CZECH REPUBLIC;HKD;20049.104081069407
4;AGLa3;VENEZUELA;ANG;1665.8766057397984
5;AGLa3;LEBANON;ZMW;15740.598849704797
6;AGLa3;KENYA;PEN;15019.231843089616
7;AGLa3;BURUNDI;NZD;1809.817583739232
8;AGLa3;MALAYSIA;PLN;1088.0006010348045
9;AGLa3;MOROCCO;NOK;63538.99971122963
10;AGLa3;MOROCCO;JOD;3180.6381351039267
11;AGLa3;BOTSWANA;PLN;16820.605036742872
12;AGLa3;UNITED KINGDOM;ARS;1189740.895167153
13;AGLa3;UNITED KINGDOM;SZL;90939.83530228431
14;AGLa3;HONDURAS;MAD;25328.536752098324
15;AGLa3;MYANMAR;HKD;22181.044667293143
16;AGLa3;PAPUA NEW GUINEA;EUR;615.4895570308734
17;AGLa3;ANGOLA;TOP;11450.150556129665
18;AGLa3;MALAYSIA;SGD;6415.497500903971
19;AGLa3;BHUTAN;LRD;167792.05418044355
20;IJLaa;BARBADOS;SOS;1246981.4391662667
21;IJLaa;SYRIAN ARAB REPUBLIC;JPY;23466.337638799356
22;IJLaa;TANZANIA, UNITED REPUBLIC OF;LYD;11676.198491838313
23;IJLaa;PARAGUAY;ETB;12684.639991741158
24;IJLaa;RWANDA;NOK;17934.586086544863
25;BCHNb;SAMOA;MVR;5971.314400481968
26;BCHNb;SURINAME;NPR;67633.28938493352
27;BCHNb;BRUNEI DARUSSALAM;CHF;1795.1412194664497
28;BCHNb;CHILE;KWD;209.78052086259646
29;BCHNb;HAITI;MOP;9238.79860821156
30;BCHNb;QATAR;UGX;1454637.0029322833
31;BCHNb;UNITED KINGDOM;ISK;327707.0057487809
32;BCHNb;SWITZERLAND;SYP;1215297.6587751692
33;BCHNb;MEXICO;PEN;1536.6835260089026
34;BCHNb;JAMAICA;GMD;99603.3197662711
35;BCHNb;HAITI;GYD;402625.7331131501
36;BCHNb;VIET NAM;DKK;10984.215037160722
37;BCHNb;IRAQ;BDT;7117.449301350087
38;BCHNb;KAZAKHSTAN;XAF;760180.7972663675
39;BCHNb;MEXICO;BIF;1688975.2024124528
40;BCHNb;HUNGARY;BYR;38545946.373642206
41;BCHNb;POLAND;QAR;2504.8751189340906
42;BCHNb;JAPAN;SOS;283981.964252002
43;BCHNb;BERMUDA;CLP;2380182.1275884337
44;BCHNb;ICELAND;BBD;333.6153279578446
45;IKXZZ;SEYCHELLES;BSD;365.783004340158
46;IKXZZ;JORDAN;LRD;56965.64839959256
47;IKXZZ;BULGARIA;COP;1667552.6070895847
48;IKXZZ;BARBADOS;MVR;4346.583466774757
49;IKXZZ;VIET NAM;BWP;4440.6166346185155
50;IKXZZ;BOTSWANA;LAK;1699400.4425554136
51;IKXZZ;CYPRUS;GMD;11242.181890105769
52;ACEGX;ARGENTINA;QAR;33763.742096608155
53;ACEGX;DOMINICA;ANG;12171.312303867431
54;ACEGX;ROMANIA;TND;6081.670330650812
55;ACEGX;GHANA;ILS;5006.580762659547
56;ACEGX;SOMALIA;TWD;238314.4453073992
57;ACEGX;PERU;DOP;481606.99529119127
58;ACEGX;SOUTH AFRICA;HUF;383784.9227698462
59;ACEGX;BOTSWANA;EGP;210847.6316445109
60;ACEGX;MALDIVES;SEK;11575.198285755772
61;ACEGX;LIBYAN ARAB JAMAHIRIYA;PGK;10486.977896401564
62;ACEGX;SEYCHELLES;SBD;51256.75116928039
63;ACEGX;SWAZILAND;XOF;2285941.8397417837
64;ACEGX;NEW ZEALAND;HRK;88573.81912795578
65;ACEGX;TANZANIA, UNITED REPUBLIC OF;MVR;120594.14323862224
66;ACEGX;ISRAEL;BDT;408525.39002244937
67;ACEGX;INDIA;LVL;7367.541233308344
68;ACEGX;HAITI;FJD;14771.653587826719
69;ACEGX;PAKISTAN;THB;429044.67403782194
70;ACEGX;FRENCH POLYNESIA;KYD;8951.76284067899
71;ACEGX;SUDAN;JPY;1749105.4132034152
72;VVW11;NEW ZEALAND;MMK;35647136.68309376
73;VVW11;VIET NAM;PAB;20540.483816339532
74;VVW11;BRAZIL;LRD;1167854.9515363036
75;VVW11;AUSTRALIA;FJD;45350.01690287686
76;VVW11;CROATIA;MZN;339736.0592620745
77;VVW11;LEBANON;MMK;54508606.24680046
78;VVW11;SWITZERLAND;BIF;27216101.78034579
79;VVW11;SIERRA LEONE;RUB;1510224.1157265007
80;VVW11;KAZAKHSTAN;ZAR;251218.4749704415
81;VVW11;TURKEY;ANG;28748.609724571394
82;VVW11;MADAGASCAR;JMD;2059300.453714158
83;VVW11;NIGERIA;IRR;574967856.2009572
84;VVW11;HAITI;CVE;2006863.4523262538
85;VVW11;BOLIVIA;MAD;202927.10996366708
86;VVW11;PERU;LYD;122998.34314280201
87;VVW11;SAMOA;TOP;57410.12734984729
88;VVW11;MAURITANIA;CLP;11213716.7421053
89;HIJNa;JAMAICA;ARS;252846.96228492173
90;HIJNa;KENYA;ARS;69857.15971711399
91;HIJNa;BURUNDI;DOP;286061.19579869974
92;HIJNa;TURKEY;ILS;8535.313232211452
93;HIJNa;NIGERIA;JPY;755662.8554737408
94;HIJNa;EL SALVADOR;MRO;1576091.1424191217
95;HIJNa;EGYPT;SLL;18710465.4911649
96;HIJNa;SINGAPORE;SLL;80015749.14901106
97;HIJNa;SINGAPORE;OMR;2156.569443135422
98;HIJNa;VIET NAM;AOA;495646.52263995877
99;HIJNa;TANZANIA, UNITED REPUBLIC OF;KZT;318445.1930417633
100;HIJNa;SINGAPORE;KWD;1516.0005531996471
101;HIJNa;FIJI;DKK;31680.954210627548
102;EEFFN;BERMUDA;LYD;13814.389630663427
103;EEFFN;UKRAINE;AWG;14652.10091275916
104;EEFFN;COSTA RICA;ZMW;171239.81722866345
105;EEFFN;CAMBODIA;LAK;28278785.84685493
106;EKNNb;GAMBIA;ETB;183084.84996282993
107;EKNNb;GUINEA;GNF;2583668.99483326
108;EKNNb;MAURITIUS;ETB;177449.75664888884
109;EKNNb;BERMUDA;CAD;2486.8756716340413
110;EKNNb;BELIZE;BBD;921.608862727823
111;EKNNb;NICARAGUA;CZK;-934.3584225596455
112;EKNNb;CAYMAN ISLANDS;INR;207350.72982732573
113;EKNNb;TRINIDAD AND TOBAGO;LYD;17124.275138856192
114;EKNNb;LATVIA;WST;10158.614923246994
115;EKNNb;ETHIOPIA;MUR;145860.8293223865
116;EKNNb;DJIBOUTI;GMD;100071.46953951786
117;EKNNb;URUGUAY;TZS;8229130.758623236
118;EKNNb;MALDIVES;GHS;3968.9448209188395
119;EKNNb;ZAMBIA;KWD;1287.5048243798176
120;CFKc1;LEBANON;DKK;9689.179018484681
121;CFKc1;GUINEA;MYR;7375.65283406808
122;CFKc1;NORWAY;CZK;56016.09074196202
123;CFKc1;CHINA;DJF;249485.98498736677
124;CFKc1;SOLOMON ISLANDS;DZD;131305.4230932993
125;CFKc1;JAPAN;CVE;163283.14365533678
126;CFKc1;TOGO;CVE;359990.01805891364
127;CFKc1;CZECH REPUBLIC;BMD;1935.4661584848332
128;CFKc1;KENYA;BHD;14.599666117566386
129;CFKc1;BOTSWANA;NOK;36526.0250127621
130;CFKc1;BANGLADESH;HKD;10377.768328491733
131;CFKc1;NEPAL;IDR;56076137.715992145
132;CFKc1;RUSSIAN FEDERATION;ALL;118297.02470784231
133;CFKc1;CHILE;TTD;15700.792115351223
134;CFKc1;RUSSIAN FEDERATION;XAF;2236042.963879923
135;CFKc1;NETHERLANDS ANTILLES;LVL;879.297226131408
136;CFKc1;BOLIVIA;XOF;622707.2473801422
137;CFKc1;GUINEA;CHF;1777.0804473525843
138;CFKc1;ALBANIA;HTG;370017.28571208456
139;CEJcc;SINGAPORE;GYD;83807.18269624078
140;CEJcc;UGANDA;SOS;1577.7852416461026
141;CEJcc;SUDAN;AUD;940.846463898081
142;CEJcc;HONG KONG;MUR;27983.582818024217
143;CEJcc;GUYANA;LYD;2287.9452891476903
144;CEJcc;HONG KONG;BSD;495.6253773665173
145;CEJcc;MACAU;BRL;1191.982173754619
146;CEJcc;PHILIPPINES;VES;4895.528869674865
147;CEJcc;HONDURAS;AOA;124039.16611140904
148;CEJcc;RWANDA;PAB;77.92702270494026
149;CEJcc;BAHRAIN;CHF;748.4502070071906
150;CEJcc;JAPAN;NAD;4122.8941421677255
151;DINN1;SWAZILAND;NAD;20678.19221973012
152;DINN1;MOROCCO;BGN;680.8115483110219
153;DINN1;UGANDA;EGP;36491.956724367345
154;HIIJ3;YEMEN;PHP;30766.72899196168
155;HIIJ3;NEPAL;IRR;17972482.95809833
156;HIIJ3;LIBYAN ARAB JAMAHIRIYA;INR;76065.38476711571
157;HIIJ3;MAURITANIA;ISK;105687.6010008448
158;HIIJ3;TOGO;AUD;1389.4074078021538
159;HIIJ3;FRENCH POLYNESIA;BGN;1708.5028085180518
160;HIIJ3;CAMBODIA;PYG;-61454.560332027984
161;HIIJ3;VIET NAM;MRO;217942.18740842456
162;HIIJ3;JORDAN;VES;6035.961593644824
163;LMXXY;GAMBIA;KWD;97.79443867365083
164;LMXXY;RUSSIAN FEDERATION;KRW;181536.03837808847
165;LMXXY;ARUBA;TWD;30383.655104715224
166;LMXXY;RUSSIAN FEDERATION;CHF;2459.835974123351
167;LMXXY;CHINA;XCD;21779.939389375122
168;LMXXY;MYANMAR;SEK;85888.0034913093
169;LMXXY;SOMALIA;RUB;518520.3589781072
170;LMXXY;SINGAPORE;SLL;10676875.786784858
171;LMXXY;SOUTH AFRICA;DJF;222380.9235892536
172;LMXXY;INDIA;INR;217797.5491466945
173;LMXXY;KAZAKHSTAN;OMR;916.6619644923907
174;LMXXY;GUATEMALA;LRD;736504.6246174228
175;CIIKa;SERBIA;VUV;394634.6699559682
176;CIIKa;TAIWAN, PROVINCE OF CHINA;SCR;5992.750394771389
