Client;Country;Currency;Transaction
AKWWa;QATAR;COP;32835730.21492008
AKWWa;GAMBIA;LBP;9947848.520003356
AKWWa;DJIBOUTI;XCD;19419.25545505108
AKWWa;BOLIVIA;UAH;282515.8492549504
AKWWa;CAMBODIA;ZWL;2781040.2527044388
AKWWa;KENYA;MMK;2738690.923427959
AKWWa;PAPUA NEW GUINEA;MUR;203329.9060826029
AKWWa;BELIZE;MWK;15893.177085930629
AKWWa;QATAR;PYG;11504266.358003104
AKWWa;HAITI;LYD;37587.45161602793
AKWWa;TANZANIA, UNITED REPUBLIC OF;TND;6052.067166606726
EEEXX;KOREA, REPUBLIC OF;DJF;66683.73770912383
EEEXX;BHUTAN;BSD;117.80414961910701
EEEXX;JORDAN;QAR;8252.466323761875
MNYaa;PHILIPPINES;FJD;12310.430661032859
MNYaa;DOMINICA;SCR;24837.025815129342
EMYb1;CHINA;LYD;3189.741275566663
EMYb1;AZERBAIJAN;CRC;467290.11290875444
EMYb1;JAMAICA;SAR;668.1437423605789
EMYb1;LEBANON;MZN;95820.17257902575
EMYb1;NAMIBIA;DJF;347108.0414317651
DHIXb;MACAU;MVR;12286.276482209098
DHIXb;SIERRA LEONE;GNF;40261059.0091331
DHIXb;BURUNDI;HRK;-516.0643441595664
DHIXb;MALDIVES;CZK;216869.4304390432
DHIXb;CROATIA;PES;1156121.9036673803
BDKb3;LATVIA;NOK;39646.246886337576
BDKb3;MOZAMBIQUE;BMD;7407.425335237281
BDKb3;UNITED KINGDOM;HRK;11059.28951465929
BDKb3;BAHRAIN;KES;228727.11317321533
BDKb3;BAHAMAS;TND;6755.8255546845085
BDKb3;BRAZIL;THB;243838.20131367937
BDKb3;ALGERIA;SAR;12245.275566042947
BDKb3;DJIBOUTI;SEK;68117.17126535719
BDKb3;ARUBA;DOP;367200.12516246864
BDKb3;ALBANIA;LVL;220.11729854865214
BDKb3;ROMANIA;JPY;854427.0075281649
BDKb3;DOMINICAN REPUBLIC;KYD;1403.4990927660613
BDKb3;BOTSWANA;ILS;4343.411967051351
BDKb3;TONGA;KES;477086.63689379836
BDKb3;NEPAL;SBD;62044.9837431731
BDac2;CAYMAN ISLANDS;MRO;1689888.5996924017
BDac2;ANGOLA;TWD;74692.0236108875
BDac2;SURINAME;MRO;364254.69106116734
BDac2;SRI LANKA;MGA;19265768.231439374
BDac2;BERMUDA;UGX;5876924.278397663
BDac2;BURUNDI;GTQ;23801.33361194299
BDac2;SAO TOME AND PRINCIPE;SGD;1308.2200103376597
BDac2;NAMIBIA;MMK;11418858.891066633
BEHLM;PERU;BZD;3328.327763454505
BEHLM;BELARUS;GHS;41969.28087161615
BEHLM;CYPRUS;UGX;3471735.980982112
BEHLM;SAO TOME AND PRINCIPE;MGA;10113684.467141926
BEHLM;SOMALIA;LKR;1734871.8664866204
BEHLM;SAO TOME AND PRINCIPE;ZWL;1619387.8021335388
BEHLM;URUGUAY;BIF;1289932.699227622
CLabb;PERU;NOK;5092.1838562804505
CLabb;ARGENTINA;SDG;158913.63406951044
CLabb;TURKEY;MYR;1982.3666171851407
CLabb;POLAND;YER;199300.25031798444
CLabb;ZAMBIA;GYD;174475.6233987645
EJLMb;GUYANA;NPR;286568.9658650622
EJLMb;NETHERLANDS ANTILLES;TWD;166403.9445801549
EJLMb;BOTSWANA;THB;15212.780839963361
EJLMb;SIERRA LEONE;LRD;434600.170738879
KMVVb;TRINIDAD AND TOBAGO;CZK;44133.549173348205
KMVVb;DJIBOUTI;MMK;586995.0487140144
KMVVb;THAILAND;SEK;26393.408094205126
KMVVb;ICELAND;BWP;42605.72765170829
KMVVb;AUSTRALIA;BGN;1068.1796912155698
KMVVb;COLOMBIA;NIO;24797.5708793302
KMVVb;SOMALIA;SDG;286526.78051244305
KMVVb;BOLIVIA;SEK;21192.77149929858
KMVVb;KUWAIT;UAH;23264.193645340023
KMVVb;TRINIDAD AND TOBAGO;CNY;17491.74127563672
KKLcc;UKRAINE;SRD;156789.15729567135
KKLcc;MALDIVES;CVE;875824.477898728
KKLcc;MAURITANIA;SEK;21123.07438957322
KKLcc;CYPRUS;NAD;216301.2495740189
KKLcc;SOMALIA;DKK;65675.74914710388
KKLcc;PAPUA NEW GUINEA;TND;2797.344190195889
KMZ12;CHILE;MUR;1219633.1294992662
KMZ12;FRENCH POLYNESIA;ARS;4228292.407198193
KMZ12;BRUNEI DARUSSALAM;DKK;14189.715651190512
DJJMM;SYRIAN ARAB REPUBLIC;PHP;6420.741027747402
DJJMM;BURUNDI;INR;26746.389979264954
DJJMM;VANUATU;DZD;62264.79995360758
DJJMM;KAZAKHSTAN;CZK;8946.348112442995
BXXZb;JAPAN;KYD;543.9109970195599
BXXZb;UKRAINE;HKD;31.5812451786296
BXXZb;LIBERIA;CNY;692.4620532630195
BXXZb;HAITI;DZD;60578.44251331952
BXXZb;LATVIA;TWD;7359.6293050051145
BXXZb;VENEZUELA;BDT;29762.32218592153
BXXZb;ZIMBABWE;BSD;142.62403724056196
BXXZb;LEBANON;KYD;518.7924479251367
BXXZb;CAMBODIA;NAD;9655.392240679106
BXXZb;JORDAN;MMK;514912.3644294892
BXXZb;SURINAME;BMD;463.877005663041
BXXZb;ALGERIA;SBD;-39.691738753195466
BXXZb;PANAMA;MMK;437543.63124258816
