Client;Country;Currency;Transaction
FFFIV;HONDURAS;WST;1866.4159279522223
FFFIV;LIBYAN ARAB JAMAHIRIYA;TTD;894.9222795576715
FFFIV;NORWAY;PEN;3151.614142622266
FFFIV;MALAWI;KRW;3476649.9227049807
FFFIV;SWITZERLAND;UGX;8688615.373349931
FFFIV;GAMBIA;INR;92851.22424762437
FFFIV;BRUNEI DARUSSALAM;THB;28678.11782773778
FFFIV;SWITZERLAND;BOB;3548.187319624868
FFFIV;IRAQ;CLP;1656265.4401037162
FFFIV;SURINAME;KHR;8154146.283382154
FFFIV;HAITI;SCR;3507.6692636519383
FFFIV;SOMALIA;IRR;101225715.65611757
FFFIV;PAKISTAN;MAD;15422.855779051202
FFFIV;KOREA, REPUBLIC OF;TOP;3579.241038105712
FFFIV;CAMBODIA;LRD;283207.04159748653
AEGWW;CANADA;AOA;1155639.0429600258
AEGWW;TOGO;BBD;5909.500657373487
AEGWW;BULGARIA;SDG;1385704.0957662042
AEGWW;BRAZIL;RON;11074.925930083842
AEGWW;LIBERIA;BSD;29.242365559292214
AEGWW;BELIZE;RSD;67480.28333317202
AEGWW;TUNISIA;KES;337710.7932934787
AEGWW;VENEZUELA;TTD;7328.262574954347
AEGWW;TOGO;PAB;1406.8120648416016
AEGWW;AUSTRALIA;AOA;879900.2279684417
AEGWW;GAMBIA;ANG;3499.640476851578
AEGWW;LIBYAN ARAB JAMAHIRIYA;SCR;-355.86941850362047
AEGWW;BULGARIA;PAB;3067.269865730107
AEGWW;SAUDI ARABIA;VND;67043287.44578122
ACXa3;MALAWI;DOP;2072546.4001924293
ACXa3;ICELAND;NGN;9287978.015886696
ACXa3;HUNGARY;QAR;-1647.5616076821836
ACXa3;SRI LANKA;BTN;3131161.6676758085
ACXa3;SOUTH AFRICA;XCD;66980.4083634534
ACXa3;ROMANIA;DOP;2081149.327503691
ACXa3;NICARAGUA;TWD;465935.95956403145
ACXa3;GUINEA;CHF;13902.468562226388
ACXa3;DJIBOUTI;IQD;45088567.1645273
ACXa3;KUWAIT;BND;39969.71109304812
ACXa3;MYANMAR;SGD;60997.57867182321
ACXa3;KENYA;YER;8493166.789472625
ACXa3;HONG KONG;RON;118774.58152717158
ACXa3;SURINAME;BRL;60369.85068253749
ACXa3;KAZAKHSTAN;HNL;907042.283997352
BKNbc;INDIA;EUR;0.8285422595516192
BKNbc;BAHRAIN;RSD;1598.6024651560974
BKNbc;SRI LANKA;KRW;20492.04575742089
BKNbc;LIBERIA;ZWL;5667.509960622284
BLN33;ALBANIA;ISK;493960.9519020759
BLN33;BANGLADESH;YER;1224494.6433802997
BLN33;INDONESIA;TND;18033.3894649762
BLN33;TONGA;XPF;668301.0685686336
BLN33;BANGLADESH;DZD;119096.99752597445
BLN33;BERMUDA;GHS;78137.85699487843
BLN33;BARBADOS;VUV;528326.617187979
BLN33;INDIA;HKD;45333.205184141276
BLN33;EURO;TRY;819.0952965993072
BLN33;SURINAME;TZS;2944754.7248165826
BLN33;SWITZERLAND;STD;113454822.46032193
BLN33;SWITZERLAND;TND;7421.054344771628
BLN33;KAZAKHSTAN;VUV;401804.99511115707
BLN33;UKRAINE;SZL;68163.65878981588
BLN33;TURKEY;MGA;11419755.543592367
BLN33;SWEDEN;SYP;2237030.0419493234
BLN33;AUSTRALIA;EGP;86.21921822899333
BLN33;BAHAMAS;HKD;16531.40203181406
BLN33;EL SALVADOR;VES;104773.43713728822
BLN33;MAURITIUS;MRO;-5964.446229659704
NNXY3;HONG KONG;JPY;131298.62306165992
NNXY3;ALBANIA;SDG;1160255.178700088
DFNYY;INDONESIA;SCR;53213.946492675655
DFNYY;CANADA;BIF;15554936.860270856
DFNYY;NEPAL;LVL;2953.526999898174
DFNYY;SRI LANKA;BTN;663324.6319216277
DFNYY;JAMAICA;HKD;9509.570337287569
DFNYY;KENYA;KYD;403.07322018599524
DFNYY;CHILE;BIF;9949686.94702305
DFNYY;LEBANON;DKK;49320.251322082804
DFNYY;BAHRAIN;VUV;267015.9384853438
NZZZZ;COSTA RICA;LAK;51169304.28304189
DFGHH;NETHERLANDS ANTILLES;TWD;244933.8730670232
DFGHH;SEYCHELLES;AUD;11477.377489794198
DFGHH;HONG KONG;AOA;1367820.0333503662
DFGHH;HUNGARY;TZS;38653916.5384678
DFGHH;JAMAICA;ETB;620805.1236626434
DFGHH;BRAZIL;MUR;940619.9237939683
DFGHH;NICARAGUA;KES;733297.3339586293
DFGHH;MALAYSIA;CAD;13236.441640499628
AGHHI;BURUNDI;TZS;16515456.252029547
AGHHI;DOMINICAN REPUBLIC;COP;16376150.877411991
AGHHI;SURINAME;BRL;41051.51938540008
AGHHI;KOREA, REPUBLIC OF;UGX;4293792.598790934
AGHHI;POLAND;MXN;130181.00577791261
AGHHI;SWAZILAND;SAR;25911.463142531094
AGHHI;PAPUA NEW GUINEA;ZMW;26627.583387549905
