;Client;Country;Currency;Transaction
0;HIL12;SOUTH AFRICA;VES;220380.13998561344
1;HIL12;CAPE VERDE;SGD;33301.59700423071
2;HIL12;BHUTAN;HUF;6160568.067334626
3;HIL12;SAUDI ARABIA;GHS;28687.827236560806
4;HIL12;LAO PEOPLE'S DEMOCRATIC REP;SEK;163782.013161817
5;HIL12;TONGA;KRW;1803203.087021976
6;HIL12;KENYA;GNF;57777875.80298787
7;HIL12;LIBYAN ARAB JAMAHIRIYA;GTQ;147307.67463535827
8;HIL12;EGYPT;PLN;110693.61189466293
9;HIL12;ALGERIA;JMD;2568527.3682164205
10;HIL12;UNITED ARAB EMIRATES;SDG;7282264.20194999
11;ABKVV;URUGUAY;PHP;26526.811217111466
12;ABKVV;MALAWI;SGD;20.393307555778474
13;ABKVV;FIJI;BRL;2423.794969525181
14;ABKVV;UGANDA;BTN;153271.7499487102
15;ABKVV;PERU;KHR;172101.41252214508
16;ABKVV;SINGAPORE;MWK;2052540.1988268695
17;ABKVV;LEBANON;CVE;238520.11779919185
18;ABKVV;BARBADOS;UGX;4324624.500637523
19;ABKVV;SOUTH AFRICA;SLL;29106746.83231142
20;ABKVV;MALAWI;STD;43491028.64348853
21;ABKVV;SIERRA LEONE;TZS;3342521.3594507044
22;ABKVV;MALDIVES;KZT;956213.3705664541
23;ACIZa;ZIMBABWE;SCR;1160.6305030764138
24;ACIZa;BULGARIA;PLN;2586.8845699044273
25;ACIZa;GAMBIA;XOF;352845.95982231514
26;ACIZa;GUYANA;DJF;88651.15309296561
27;ACIZa;INDIA;MGA;1789779.1026849702
28;ACIZa;NETHERLANDS ANTILLES;COP;4198933.271785003
29;ACIZa;VENEZUELA;ZWL;378128.641922531
30;ACIZa;SUDAN;IDR;6515650.887964393
31;ACIZa;UNITED KINGDOM;ISK;90848.09739601896
32;ACIZa;MOROCCO;KWD;214.45463066606035
33;ACIZa;EL SALVADOR;ETB;45050.350400774165
34;ACIZa;SIERRA LEONE;BMD;529.0110550227431
35;ACIZa;TURKEY;SLL;14228435.9167765
36;ACIZa;PERU;BOB;3224.3747664528964
37;DEFaa;GHANA;GHS;70685.64755548513
38;DEFaa;BULGARIA;HKD;43792.92551327913
39;DEFaa;SYRIAN ARAB REPUBLIC;NZD;9997.23361992918
40;DEFaa;SERBIA;NIO;77080.04289898783
41;DEFaa;SAUDI ARABIA;UAH;96235.01894150024
42;DEFaa;BERMUDA;TWD;67848.55903335972
43;DEFaa;SAO TOME AND PRINCIPE;YER;1203660.431697824
44;DEFaa;BRAZIL;MWK;571299.7787528182
45;DEFaa;KAZAKHSTAN;KHR;4901131.96928603
46;DEFaa;ZAMBIA;ZWL;3173902.6563622663
47;DEFaa;BARBADOS;XAF;2594103.2694089254
48;DEFaa;MEXICO;DZD;232352.2338057273
49;DEFaa;POLAND;AOA;1214594.9772119105
50;DEFaa;BULGARIA;MWK;3166672.5342236017
51;DEFaa;GUATEMALA;RWF;5195647.770336274
52;DEFaa;UKRAINE;LRD;957056.9377227521
53;DEFaa;TAIWAN, PROVINCE OF CHINA;CNY;23161.210984719808
54;DEIc3;MALDIVES;XOF;2378124.119796487
55;DEIc3;HAITI;MRO;950809.606662768
56;BNVXc;CAPE VERDE;TTD;67359.25380057307
57;BNVXc;UNITED KINGDOM;LVL;3619.2512954292793
58;BNVXc;ISRAEL;MOP;88512.0110618755
59;BNVXc;FIJI;HKD;36471.91769448114
60;BNVXc;SURINAME;AED;10351.644982552918
61;BNVXc;HAITI;LVL;1001.707719498311
62;BNVXc;MAURITANIA;ZWL;4048945.9005841627
63;BNVXc;ISRAEL;HUF;3576713.824024921
64;HLVXX;BOLIVIA;UAH;5203.838224485959
65;HLVXX;NICARAGUA;KZT;62716.4624033365
66;HLVXX;EL SALVADOR;LKR;39186.96944153123
67;HLVXX;TRINIDAD AND TOBAGO;VUV;1357.0206798407007
68;HLVXX;IRAN (ISLAMIC REPUBLIC OF);XPF;8363.380679451417
69;HLVXX;TRINIDAD AND TOBAGO;NIO;3296.177902180198
70;HLVXX;KENYA;DJF;22792.103645301726
71;HLVXX;VIET NAM;NIO;3219.226486593526
72;HLVXX;BOLIVIA;SBD;299.46589030850265
73;HLVXX;UGANDA;SVC;725.5815367295448
74;HLVXX;BAHAMAS;SOS;367.30161652108205
75;HLVXX;URUGUAY;XAF;30229.270903793775
76;HLVXX;RWANDA;SGD;31.13003811513086
77;HLVXX;GUINEA;LYD;335.19297080449826
78;HLVXX;SRI LANKA;CVE;5104.9124833425285
79;HLVXX;URUGUAY;VND;92037.26046429983
80;HLVXX;MOZAMBIQUE;KHR;170764.61152191344
81;HLVXX;ARUBA;DJF;17689.18968389864
82;HLVXX;MALAYSIA;ANG;170.78632313786565
83;BHHMW;SRI LANKA;GMD;1586505.8171078165
84;BHHMW;OMAN;BOB;284376.5171383422
85;BHHMW;ARUBA;STD;709108460.2450266
86;BHHMW;GAMBIA;MXN;498053.04925449914
87;BHHMW;MADAGASCAR;BOB;67367.95637295526
88;BHHMW;TUNISIA;NZD;59917.33140218441
89;BHHMW;PERU;JOD;18058.45308057811
90;BHHMW;MADAGASCAR;COP;67292798.47636858
91;BHHMW;MOZAMBIQUE;PES;6882296.058922237
92;BHHMW;COLOMBIA;BND;41170.37470407653
93;BHHMW;PAKISTAN;KES;3559004.347057634
94;AAWc2;DENMARK;BOB;10297.03517367179
