Client;Country;Currency;Transaction
BXb22;MAURITIUS;ETB;426215.6775632936
CEINb;COLOMBIA;KRW;831525.9440001077
CEINb;NEW ZEALAND;PKR;13085.78711227762
CEINb;PAPUA NEW GUINEA;TZS;283111.45326247776
DGJVZ;TAIWAN, PROVINCE OF CHINA;LAK;622581687.4486647
DGJVZ;BELIZE;BSD;24948.954560677124
DGJVZ;PAPUA NEW GUINEA;LVL;15585.404816027467
DGJVZ;ISRAEL;BTN;1633436.7137122082
DGJVZ;PARAGUAY;JPY;4064442.732968448
DGJVZ;SEYCHELLES;RUB;448050.20262958395
DGJVZ;SOMALIA;LBP;63825692.65742707
DGJVZ;BHUTAN;EUR;29620.80454853912
DGJVZ;NETHERLANDS ANTILLES;SOS;12668127.692421744
DGJVZ;AUSTRALIA;FJD;17283.050856076745
DGJVZ;RUSSIAN FEDERATION;ZMW;165179.13107579458
DGJVZ;MALDIVES;MOP;375087.4414493738
DGJVZ;EGYPT;RWF;11858956.79282886
DGJVZ;SINGAPORE;BHD;13860.938318463088
DGJVZ;CZECH REPUBLIC;AZN;62957.17911119725
DGJVZ;MACAU;UYU;129059.91470114086
CDDEI;HONG KONG;MUR;553154.7895963272
CDDEI;INDONESIA;SRD;1600200.7415027625
CDDEI;ALGERIA;EUR;20500.457056444095
CDDEI;KAZAKHSTAN;SLL;109112495.57387517
CDDEI;VIET NAM;PKR;2044933.3231204036
CDDEI;EL SALVADOR;TTD;117580.78234540453
CDDEI;BULGARIA;BMD;15470.71925029621
CDDEI;CENTRAL AFRICAN REPUBLIC;PES;6449495.153467181
CDDEI;KUWAIT;SZL;1070172.601509836
CDDEI;BHUTAN;TTD;216232.8402602042
CDDEI;COSTA RICA;EGP;965662.3471528792
CDDEI;TUNISIA;NIO;1591641.4428254976
CDDEI;CYPRUS;BZD;47175.169414593714
CDDEI;PARAGUAY;MMK;88652835.2139076
CDDEI;POLAND;ZWL;3267518.9567505326
FIWa2;NAMIBIA;BBD;24208.00154718547
FIWa2;DENMARK;BBD;16764.573901059903
FIWa2;MAURITANIA;BOB;4988.039949567823
